syl_suffix,signi_suffix,suffix1,suffix2,suffix3,suffix4,suffix5,suffix_phoncat1,suffix_phoncat2,suffix_phoncat3,suffix_phoncat4,suffix_phoncat5,suff_class,syl_praefix,signi_praefix,praefix1,praefix2,praefix3,praefix4,praefix5,praefix_phoncat1,praefix_phoncat2,praefix_phoncat3,praefix_phoncat4,praefix_phoncat5,prae_class,sonority0,sonority1,sonority2,sonority_ratio0,sonority_ratio1,sonority_ratio2,sonority_dir,syl_weight0,syl_weight1,syl_weight2,syl_open0,syl_open1,syl_open2,syl_phoncat0,syl_phoncat1,syl_phoncat2,onset_phoncat0,onset_phoncat1,onset_phoncat2,koda_phoncat0,koda_phoncat1,koda_phoncat2,nucleus_phoncat0,nucleus_phoncat1,nucleus_phoncat2,syl_len0,syl_len1,syl_len2,koda_len0,koda_len1,koda_len2,onset_len0,onset_len1,onset_len2,nucleus_len0,nucleus_len1,nucleus_len2,syl_cv0,syl_cv1,syl_cv2,cv_ratio0,cv_ratio1,cv_ratio2,pos,comp_struct,nomen,comp_len,Word,stress_class
men,ø,n,en,men,mmen,ø,C,KC,CKC,KCKC,CKCKC,ø,aus,aus,a,au,aus,ausk,ø,D,DC,DCC,DCCK,DCCKC,acc,11,7,12,5,3,4,0,light,light,schwa,c,c,c,DC,CK,CKC,,C,C,C,,C,D,K,K,3,3,3,1,1,1,0,1,1,2,1,1,VVC,CVC,CVC,0,2,2,V,V,F,1,auskaemmen,antepaenultima
ø,ø,n,ln,eln,geln,egeln,C,CC,KCC,CKCC,LCKCC,ø,aus,aus,a,au,aus,ausk,ø,D,DC,DCC,DCCL,DCCLC,acc,11,7,14,5,3,3,1,light,light,schwa,c,o,c,DC,CL,CKCC,,C,C,C,,CC,D,L,K,3,2,4,1,0,2,0,1,1,2,2,1,VVC,CVV,CVCC,0,0,3,V,V,F,1,auskegeln,antepaenultima
len,ø,n,en,len,hlen,ehlen,C,KC,CKC,LCKC,CLCKC,ø,aus,aus,a,au,aus,ausk,ø,D,DC,DCC,DCCL,DCCLC,acc,11,7,13,5,3,4,1,light,light,schwa,c,o,c,DC,CL,CKC,,C,C,C,,C,D,L,K,3,3,3,1,0,1,0,1,1,2,2,1,VVC,CVV,CVC,0,0,2,V,N,F,1,auskehlen,antepaenultima
lung,ø,g,ng,ung,lung,hlung,C,KC,CKC,LCKC,CLCKC,ø,Aus,ø,A,Au,Aus,ø,ø,D,DC,DCC,DCCL,DCCLC,acc,11,7,15,5,3,5,2,light,light,light,c,o,c,DC,CL,CKC,,C,C,C,,C,D,L,K,3,3,4,1,0,1,0,1,1,2,2,1,VVC,CVV,CVC,0,0,2,N,V,T,1,Auskehlung,antepaenultima
ren,ø,n,en,ren,hren,ehren,C,KC,CKC,LCKC,CLCKC,ø,aus,aus,a,au,aus,ausk,ø,D,DC,DCC,DCCL,DCCLC,acc,11,7,13,5,3,4,1,light,light,schwa,c,o,c,DC,CL,CKC,,C,C,C,,C,D,L,K,3,3,3,1,0,1,0,1,1,2,2,1,VVC,CVV,CVC,0,0,2,V,V,F,1,auskehren,antepaenultima
ø,ø,t,ø,cht,ø,ø,C,CC,KCC,CKCC,LCKCC,ø,Aus,ø,A,Au,Aus,ø,ø,D,DC,DCC,DCCL,DCCLC,acc,11,7,14,5,3,3,1,light,light,heavy,c,o,c,DC,CL,CKCC,,C,C,C,,CC,D,L,K,3,3,5,1,0,2,0,1,1,2,2,1,VVC,CVV,CVCC,0,0,3,N,N,T,1,Auskehricht,antepaenultima
len,ø,n,en,len,ø,eilen,C,KC,CKC,DCKC,CDCKC,ø,aus,aus,a,au,aus,ausk,ø,D,DC,DCC,DCCD,DCCDC,acc,11,11,13,5,5,4,1,light,light,schwa,c,o,c,DC,CD,CKC,,C,C,C,,C,D,D,K,3,3,3,1,0,1,0,1,1,2,2,1,VVC,CVV,CVC,0,0,2,V,V,F,1,auskeilen,antepaenultima
men,ø,n,en,men,ø,ø,C,KC,CKC,DCKC,CDCKC,ø,aus,aus,a,au,aus,ausk,ø,D,DC,DCC,DCCD,DCCDC,acc,11,11,12,5,5,4,0,light,light,schwa,c,o,c,DC,CD,CKC,,C,C,C,,C,D,D,K,3,3,3,1,0,1,0,1,1,2,2,1,VVC,CVV,CVC,0,0,2,V,V,F,1,auskeimen,antepaenultima
nen,ø,n,en,nen,nnen,ennen,C,KC,CKC,KCKC,CKCKC,ø,aus,aus,a,au,aus,ausk,ø,D,DC,DCC,DCCK,DCCKC,acc,11,7,12,5,3,4,0,light,light,schwa,c,c,c,DC,CK,CKC,,C,C,C,,C,D,K,K,3,3,3,1,1,1,0,1,1,2,1,1,VVC,CVC,CVC,0,2,2,V,V,F,1,auskennen,antepaenultima
ben,ø,n,en,ben,ø,erben,C,KC,CKC,CCKC,KCCKC,ø,aus,aus,a,au,aus,ausk,ø,D,DC,DCC,DCCK,DCCKC,acc,11,11,10,5,3,3,-1,light,light,schwa,c,c,c,DC,CKC,CKC,,C,C,C,C,C,D,K,K,3,3,3,1,1,1,0,1,1,2,1,1,VVC,CVC,CVC,0,2,2,V,V,F,1,auskerben,antepaenultima
