syl_suffix,signi_suffix,suffix1,suffix2,suffix3,suffix4,suffix5,suffix_phoncat1,suffix_phoncat2,suffix_phoncat3,suffix_phoncat4,suffix_phoncat5,suff_class,syl_praefix,signi_praefix,praefix1,praefix2,praefix3,praefix4,praefix5,praefix_phoncat1,praefix_phoncat2,praefix_phoncat3,praefix_phoncat4,praefix_phoncat5,prae_class,sonority0,sonority1,sonority2,sonority_ratio0,sonority_ratio1,sonority_ratio2,sonority_dir,syl_weight0,syl_weight1,syl_weight2,syl_open0,syl_open1,syl_open2,syl_phoncat0,syl_phoncat1,syl_phoncat2,onset_phoncat0,onset_phoncat1,onset_phoncat2,koda_phoncat0,koda_phoncat1,koda_phoncat2,nucleus_phoncat0,nucleus_phoncat1,nucleus_phoncat2,syl_len0,syl_len1,syl_len2,koda_len0,koda_len1,koda_len2,onset_len0,onset_len1,onset_len2,nucleus_len0,nucleus_len1,nucleus_len2,syl_cv0,syl_cv1,syl_cv2,cv_ratio0,cv_ratio1,cv_ratio2,pos,comp_struct,nomen,comp_len,Word,stress_class
ø,ø,s,us,ø,ø,ø,C,KC,CKC,KCKC,CKCKC,ø,A,ø,A,Ab,ø,ø,ø,L,LC,LCK,LCKC,ø,ø,10,7,10,10,3,3,0,light,light,light,o,c,c,L,CK,CKC,,C,C,,,C,L,K,K,1,2,3,0,1,1,0,1,1,2,1,1,VV,CVC,CVC,0,2,2,N,ø,T,0,Abakus,antepaenultima
dern,ø,n,rn,ern,dern,ndern,C,CC,KCC,CKCC,CCKCC,ø,ab,ab,a,ab,ø,ø,ø,K,KC,KCK,KCKC,KCKCC,acc,7,9,14,3,4,3,3,light,light,schwa,c,c,c,KC,KC,CKCC,,,C,C,C,CC,K,K,K,2,2,4,1,1,2,0,0,1,1,1,1,VC,VC,CVCC,1,1,3,V,V,F,1,abaendern,antepaenultima
ø,ø,n,on,ø,ø,ø,N,ø,ø,ø,ø,ø,A,ø,A,Ab,ø,ø,ø,K,KC,ø,ø,ø,ø,6,9,9,6,4,4,1,light,light,light,c,o,o,K,ø,ø,,C,C,,,,K,N,N,1,3,3,1,0,0,0,1,1,1,2,2,VC,CVV,CVV,1,0,0,N,ø,T,0,Abandon,ultima
ten,ø,n,en,ten,ø,ø,C,KC,CKC,CCKC,LCCKC,ø,ab,ab,a,ab,ø,ø,ø,K,KC,KCL,KCLC,ø,acc,7,14,10,3,7,3,1,light,light,schwa,c,c,c,KC,ø,CKC,,,C,C,C,C,K,L,K,2,2,3,1,1,1,0,0,1,1,2,1,VC,ø,CVC,1,0,2,V,V,F,1,abarten,antepaenultima
tig,ø,g,ig,tig,ø,ø,C,KC,CKC,CCKC,LCCKC,noacc,ab,ab,a,ab,ø,ø,ø,K,KC,KCL,KCLC,ø,acc,7,14,10,3,7,3,1,light,light,light,c,c,c,KC,ø,CKC,,,C,C,C,C,K,L,K,2,2,3,1,1,1,0,0,1,1,2,1,VC,ø,CVC,1,0,2,A,N,F,1,abartig,antepaenultima
tung,ø,g,ng,ung,tung,ø,C,KC,CKC,CCKC,LCCKC,ø,Ab,ø,A,Ab,ø,ø,ø,K,KC,KCL,KCLC,ø,acc,7,14,12,3,7,4,2,light,light,light,c,c,c,KC,ø,CKC,,,C,C,C,C,K,L,K,2,2,4,1,1,1,0,0,1,1,2,1,VC,ø,CVC,1,0,2,N,V,T,1,Abartung,antepaenultima
ø,ø,e,ie,ø,ø,ø,L,CL,KCL,CKCL,ø,ø,A,ø,A,Ab,ø,ø,ø,K,KC,KCK,KCKC,ø,ø,6,7,9,6,3,4,1,light,light,light,c,c,o,K,CK,CL,,C,C,,,,K,K,L,1,2,3,1,1,0,0,1,1,1,1,2,VC,CVC,CVV,1,2,0,N,ø,T,0,Abasie,ultima
sten,ø,n,en,ten,sten,ø,C,KC,CKC,CCKC,KCCKC,ø,ab,ab,a,ab,ø,ø,ø,K,KC,KCK,KCKC,KCKCC,acc,7,7,10,3,3,3,1,light,light,schwa,c,c,c,KC,KC,CKC,,,C,C,C,C,K,K,K,2,1,4,1,1,1,0,0,1,1,1,1,VC,VC,CVC,1,1,2,V,V,F,1,abaesten,antepaenultima
en,ø,n,en,uen,auen,ø,C,KC,DKC,CDKC,CCDKC,ø,ab,ab,a,ab,ø,ø,ø,K,KC,KCC,KCCD,KCCDK,acc,7,11,9,3,5,4,1,light,light,schwa,c,o,c,KC,CD,KC,,C,,C,,C,K,D,K,2,3,2,1,0,1,0,1,0,1,2,1,VC,CVV,VC,1,0,1,V,V,F,1,abbauen,antepaenultima
zen,ø,n,en,zen,ø,ø,C,KC,AKC,ø,ø,ø,ab,ab,a,ab,ø,ø,ø,K,KC,KCC,KCCD,ø,acc,7,11,10,3,5,3,1,light,light,schwa,c,o,c,KC,CD,AKC,,C,A,C,,C,K,D,K,2,3,3,1,0,1,0,1,1,1,2,1,VC,CVV,CVC,1,0,2,V,V,F,1,abbeizen,antepaenultima
gen,ø,n,en,gen,egen,iegen,C,KC,CKC,LCKC,CLCKC,ø,ab,ab,a,ab,ø,ø,ø,K,KC,KCC,KCCL,KCCLC,acc,7,9,10,3,4,3,1,light,light,schwa,c,o,c,KC,CL,CKC,,C,C,C,,C,K,L,K,2,3,3,1,0,1,0,1,1,1,2,1,VC,CVV,CVC,1,0,2,V,V,F,1,abbiegen,antepaenultima
den,ø,n,en,den,ø,ø,C,KC,CKC,CCKC,KCCKC,ø,ab,ab,a,ab,ø,ø,ø,K,KC,KCC,KCCK,KCCKC,acc,7,13,10,3,4,3,1,light,light,schwa,c,c,c,KC,CKC,CKC,,C,C,C,C,C,K,K,K,2,3,3,1,1,1,0,1,1,1,1,1,VC,CVC,CVC,1,2,2,V,V,F,1,abbilden,antepaenultima
dung,ø,g,ng,ung,dung,ø,C,KC,CKC,CCKC,KCCKC,ø,Ab,ø,A,Ab,ø,ø,ø,K,KC,KCC,KCCK,KCCKC,acc,7,13,12,3,4,4,2,light,light,light,c,c,c,KC,CKC,CKC,,C,C,C,C,C,K,K,K,2,3,4,1,1,1,0,1,1,1,1,1,VC,CVC,CVC,1,2,2,N,V,T,1,Abbildung,antepaenultima
sen,ø,n,en,sen,ø,ø,C,KC,CKC,CCKC,KCCKC,ø,ab,ab,a,ab,ø,ø,ø,K,KC,KCC,KCCK,KCCKC,acc,7,12,10,3,4,3,1,light,light,schwa,c,c,c,KC,CKC,CKC,,C,C,C,C,C,K,K,K,2,3,3,1,1,1,0,1,1,1,1,1,VC,CVC,CVC,1,2,2,V,V,F,1,abbimsen,antepaenultima
den,ø,n,en,den,nden,inden,C,KC,CKC,CCKC,KCCKC,ø,ab,ab,a,ab,ø,ø,ø,K,KC,KCC,KCCK,KCCKC,acc,7,12,10,3,4,3,1,light,light,schwa,c,c,c,KC,CKC,CKC,,C,C,C,C,C,K,K,K,2,3,3,1,1,1,0,1,1,1,1,1,VC,CVC,CVC,1,2,2,V,V,F,1,abbinden,antepaenultima
ten,ø,n,en,ten,tten,ø,C,KC,CKC,KCKC,CKCKC,ø,ab,ab,a,ab,ø,ø,ø,K,KC,KCC,KCCK,KCCKC,acc,7,9,10,3,4,3,1,light,light,schwa,c,c,c,KC,CK,CKC,,C,C,C,,C,K,K,K,2,3,3,1,1,1,0,1,1,1,1,1,VC,CVC,CVC,1,2,2,V,V,F,1,abbitten,antepaenultima
te,ø,e,te,tte,ø,ø,K,CK,KCK,CKCK,CCKCK,ø,Ab,ø,A,Ab,ø,ø,ø,K,KC,KCC,KCCK,KCCKC,acc,7,9,7,3,4,3,0,light,light,schwa,c,c,o,KC,CK,CK,,C,C,C,,,K,K,K,2,3,2,1,1,0,0,1,1,1,1,1,VC,CVC,CV,1,2,1,N,V,T,1,Abbitte,antepaenultima
sen,ø,n,en,sen,ø,ø,C,KC,CKC,LCKC,CLCKC,ø,ab,ab,a,ab,ø,ø,ø,K,KC,KCC,KCCC,KCCCL,acc,7,15,10,3,5,3,1,light,light,schwa,c,o,c,KC,CCL,CKC,,CC,C,C,,C,K,L,K,2,3,3,1,0,1,0,2,1,1,2,1,VC,CCVV,CVC,1,1,2,V,V,F,1,abblasen,antepaenultima
sen,ø,n,en,sen,ssen,assen,C,KC,CKC,KCKC,CKCKC,ø,ab,ab,a,ab,ø,ø,ø,K,KC,KCC,KCCC,KCCCK,acc,7,11,10,3,3,3,1,light,light,schwa,c,c,c,KC,CCK,CKC,,CC,C,C,,C,K,K,K,2,4,3,1,1,1,0,2,1,1,1,1,VC,CCVC,CVC,1,3,2,V,V,F,1,abblassen,antepaenultima
tern,ø,n,rn,ern,tern,ttern,C,CC,KCC,CKCC,KCKCC,ø,ab,ab,a,ab,ø,ø,ø,K,KC,KCC,KCCC,KCCCK,acc,7,11,14,3,3,3,3,light,light,schwa,c,c,c,KC,CCK,CKCC,,CC,C,C,,CC,K,K,K,2,4,4,1,1,2,0,2,1,1,1,1,VC,CCVC,CVCC,1,3,3,V,V,F,1,abblaettern,antepaenultima
den,ø,n,en,den,nden,enden,C,KC,CKC,CCKC,KCCKC,ø,ab,ab,a,ab,ø,ø,ø,K,KC,KCC,KCCC,KCCCK,acc,7,14,10,3,3,3,1,light,light,schwa,c,c,c,KC,CCKC,CKC,,CC,C,C,C,C,K,K,K,2,4,3,1,1,1,0,2,1,1,1,1,VC,CCVC,CVC,1,3,2,V,V,F,1,abblenden,antepaenultima
zen,ø,n,en,zen,tzen,itzen,C,KC,AKC,KAKC,CKAKC,ø,ab,ab,a,ab,ø,ø,ø,K,KC,KCC,KCCC,KCCCK,acc,7,13,10,3,4,3,1,light,light,schwa,c,c,c,KC,CCK,AKC,,CC,A,C,,C,K,K,K,2,4,3,1,1,1,0,2,1,1,1,1,VC,CCVC,CVC,1,3,2,V,V,F,1,abblitzen,antepaenultima
cken,ø,n,en,ken,cken,ø,C,KC,CKC,KCKC,CKCKC,ø,ab,ab,a,ab,ø,ø,ø,K,KC,KCC,KCCC,KCCCK,acc,7,11,10,3,3,3,1,light,light,schwa,c,c,c,KC,CCK,CKC,,CC,C,C,,C,K,K,K,2,3,4,1,1,1,0,2,1,1,1,1,VC,CCVC,CVC,1,3,2,V,V,F,1,abblocken,antepaenultima
ler,ler,r,er,ler,ø,ø,C,KC,CKC,CCKC,CCCKC,noacc,Ab,ø,A,Ab,ø,ø,ø,K,KC,KCC,KCCC,KCCCK,acc,7,15,14,3,3,4,3,light,heavy,schwa,c,c,c,KC,CCKCC,CKC,,CC,C,C,CC,C,K,K,K,2,5,3,1,2,1,0,2,1,1,1,1,VC,CCVCC,CVC,1,4,2,N,N,T,1,Abbraendler,antepaenultima
chen,chen,n,en,hen,chen,echen,C,KC,CKC,KCKC,CKCKC,ø,ab,ab,a,ab,ø,ø,ø,K,KC,KCC,KCCC,KCCCK,acc,7,11,10,3,3,3,1,light,light,schwa,c,c,c,KC,CCK,CKC,,CC,C,C,,C,K,K,K,2,3,4,1,1,1,0,2,1,1,1,1,VC,CCVC,CVC,1,3,2,V,V,F,1,abbrechen,antepaenultima
sen,ø,n,en,sen,ø,ø,C,KC,CKC,CCKC,KCCKC,ø,ab,ab,a,ab,ø,ø,ø,K,KC,KCC,KCCC,KCCCK,acc,7,14,10,3,3,3,1,light,light,schwa,c,c,c,KC,CCKC,CKC,,CC,C,C,C,C,K,K,K,2,4,3,1,1,1,0,2,1,1,1,1,VC,CCVC,CVC,1,3,2,V,V,F,1,abbremsen,antepaenultima
nen,ø,n,en,nen,nnen,ennen,C,KC,CKC,KCKC,CKCKC,ø,ab,ab,a,ab,ø,ø,ø,K,KC,KCC,KCCC,KCCCK,acc,7,11,12,3,3,4,2,light,light,schwa,c,c,c,KC,CCK,CKC,,CC,C,C,,C,K,K,K,2,4,3,1,1,1,0,2,1,1,1,1,VC,CCVC,CVC,1,3,2,V,V,F,1,abbrennen,antepaenultima
gen,ø,n,en,gen,ngen,ingen,C,KC,CKC,KCKC,CKCKC,ø,ab,ab,a,ab,ø,ø,ø,K,KC,KCC,KCCC,KCCCK,acc,7,13,12,3,4,4,2,light,light,schwa,c,c,c,KC,CCK,CKC,,CC,C,C,,C,K,K,K,2,4,3,1,1,1,0,2,1,1,1,1,VC,CCVC,CVC,1,3,2,V,V,F,1,abbringen,antepaenultima
ø,ø,n,ln,eln,keln,ø,C,CC,KCC,CKCC,KCKCC,ø,ab,ab,a,ab,ø,ø,ø,K,KC,KCC,KCCC,KCCCK,acc,7,11,14,3,3,3,3,light,light,schwa,c,c,c,KC,CCK,CKCC,,CC,C,C,,CC,K,K,K,2,3,5,1,1,2,0,2,1,1,1,1,VC,CCVC,CVCC,1,3,3,V,V,F,1,abbroeckeln,antepaenultima
ø,ø,f,ø,ø,ø,ø,C,DC,CDC,CCDC,KCCDC,ø,ab,ab,a,ab,ø,ø,ø,K,KC,KCC,KCCC,KCCCK,acc,7,14,15,3,3,5,4,light,light,light,c,c,c,KC,CCKC,CDC,,CC,C,C,C,C,K,K,D,2,5,4,1,1,1,0,2,1,1,1,2,VC,CCVC,CVVC,1,3,1,A,N,F,1,abbruchreif,antepaenultima
hen,ø,n,en,hen,ehen,ø,C,KC,LKC,CLKC,CCLKC,ø,ab,ab,a,ab,ø,ø,ø,K,KC,KCC,KCCC,KCCCL,acc,7,13,9,3,4,4,1,light,light,schwa,c,o,c,KC,CCL,KC,,CC,,C,,C,K,L,K,2,3,3,1,0,1,0,2,0,1,2,1,VC,CCVV,VC,1,1,1,V,V,F,1,abbruehen,antepaenultima
chen,chen,n,en,hen,chen,uchen,C,KC,CKC,LCKC,CLCKC,ø,ab,ab,a,ab,ø,ø,ø,K,KC,KCC,KCCL,KCCLC,acc,7,9,10,3,4,3,1,light,light,schwa,c,o,c,KC,CL,CKC,,C,C,C,,C,K,L,K,2,2,4,1,0,1,0,1,1,1,2,1,VC,CVV,CVC,1,0,2,V,V,F,1,abbuchen,antepaenultima
sten,ø,n,en,ten,sten,ø,C,KC,CKC,CCKC,CCCKC,ø,ab,ab,a,ab,ø,ø,ø,K,KC,KCC,KCCK,KCCKC,acc,7,13,11,3,4,2,2,light,light,schwa,c,c,c,KC,CKC,CCKC,,C,CC,C,C,C,K,K,K,2,3,4,1,1,1,0,1,2,1,1,1,VC,CVC,CCVC,1,2,3,V,V,F,1,abbuersten,antepaenultima
cken,ø,n,en,ken,cken,ecken,C,KC,CKC,KCKC,AKCKC,ø,ab,ab,a,ab,ø,ø,ø,K,KC,KCA,KCAK,KCAKC,acc,7,7,10,3,3,3,1,light,light,schwa,c,c,c,KC,AK,CKC,,A,C,C,,C,K,K,K,2,3,4,1,1,1,0,1,1,1,1,1,VC,CVC,CVC,1,2,2,V,V,F,1,abchecken,antepaenultima
chen,chen,n,en,hen,chen,achen,C,KC,CKC,KCKC,CKCKC,ø,ab,ab,a,ab,ø,ø,ø,K,KC,KCC,KCCK,KCCKC,acc,7,7,10,3,3,3,1,light,light,schwa,c,c,c,KC,CK,CKC,,C,C,C,,C,K,K,K,2,2,4,1,1,1,0,1,1,1,1,1,VC,CVC,CVC,1,2,2,V,N,F,1,abdachen,antepaenultima
ø,ø,g,ng,ung,hung,chung,C,KC,CKC,KCKC,CKCKC,ø,Ab,ø,A,Ab,ø,ø,ø,K,KC,KCC,KCCK,KCCKC,acc,7,7,12,3,3,4,2,light,light,light,c,c,c,KC,CK,CKC,,C,C,C,,C,K,K,K,2,2,5,1,1,1,0,1,1,1,1,1,VC,CVC,CVC,1,2,2,N,V,T,1,Abdachung,antepaenultima
fen,ø,n,en,fen,pfen,mpfen,C,KC,AKC,CAKC,KCAKC,ø,ab,ab,a,ab,ø,ø,ø,K,KC,KCC,KCCK,KCCKC,acc,7,10,10,3,3,3,1,light,light,schwa,c,c,c,KC,CKC,AKC,,C,A,C,C,C,K,K,K,2,4,3,1,1,1,0,1,1,1,1,1,VC,CVC,CVC,1,2,2,V,V,F,1,abdampfen,antepaenultima
fen,ø,n,en,fen,pfen,mpfen,C,KC,AKC,CAKC,KCAKC,ø,ab,ab,a,ab,ø,ø,ø,K,KC,KCC,KCCK,KCCKC,acc,7,10,10,3,3,3,1,light,light,schwa,c,c,c,KC,CKC,AKC,,C,A,C,C,C,K,K,K,2,4,3,1,1,1,0,1,1,1,1,1,VC,CVC,CVC,1,2,2,V,V,F,1,abdaempfen,antepaenultima
ken,ø,n,en,ken,nken,ø,C,KC,CKC,CCKC,KCCKC,ø,ab,ab,a,ab,ø,ø,ø,K,KC,KCC,KCCK,KCCKC,acc,7,10,10,3,3,3,1,light,light,schwa,c,c,c,KC,CKC,CKC,,C,C,C,C,C,K,K,K,2,3,3,1,1,1,0,1,1,1,1,1,VC,CVC,CVC,1,2,2,V,V,F,1,abdanken,antepaenultima
ø,ø,g,ng,ung,kung,ø,C,KC,CKC,CCKC,KCCKC,ø,Ab,ø,A,Ab,ø,ø,ø,K,KC,KCC,KCCK,KCCKC,acc,7,10,12,3,3,4,2,light,light,light,c,c,c,KC,CKC,CKC,,C,C,C,C,C,K,K,K,2,3,4,1,1,1,0,1,1,1,1,1,VC,CVC,CVC,1,2,2,N,V,T,1,Abdankung,antepaenultima
cken,ø,n,en,ken,cken,ecken,C,KC,CKC,KCKC,CKCKC,ø,ab,ab,a,ab,ø,ø,ø,K,KC,KCC,KCCK,KCCKC,acc,7,7,10,3,3,3,1,light,light,schwa,c,c,c,KC,CK,CKC,,C,C,C,,C,K,K,K,2,2,4,1,1,1,0,1,1,1,1,1,VC,CVC,CVC,1,2,2,V,V,F,1,abdecken,antepaenultima
ø,ø,r,er,ker,ø,ø,C,KC,CKC,KCKC,CKCKC,ø,Ab,ø,A,Ab,ø,ø,ø,K,KC,KCC,KCCK,KCCKC,acc,7,7,11,3,3,3,2,light,light,schwa,c,c,c,KC,CK,CKC,,C,C,C,,C,K,K,K,2,2,4,1,1,1,0,1,1,1,1,1,VC,CVC,CVC,1,2,2,N,V,T,1,Abdecker,antepaenultima
ø,ø,g,ng,ung,kung,ckung,C,KC,CKC,KCKC,CKCKC,ø,Ab,ø,A,Ab,ø,ø,ø,K,KC,KCC,KCCK,KCCKC,acc,7,7,12,3,3,4,2,light,light,light,c,c,c,KC,CK,CKC,,C,C,C,,C,K,K,K,2,2,5,1,1,1,0,1,1,1,1,1,VC,CVC,CVC,1,2,2,N,V,T,1,Abdeckung,antepaenultima
ø,ø,t,it,ø,ø,ø,C,LC,CLC,LCLC,CLCLC,ø,Ab,ø,A,Ab,ø,ø,ø,K,KC,KCC,KCCL,KCCLC,ø,7,7,13,3,3,4,3,light,light,light,c,o,c,KC,CL,CLC,,C,C,C,,C,K,L,L,2,2,3,1,0,1,0,1,1,1,2,2,VC,CVV,CVVC,1,0,1,N,N,T,1,Abderit,ultima
ten,ø,n,en,ten,hten,chten,C,KC,CKC,CCKC,KCCKC,ø,ab,ab,a,ab,ø,ø,ø,K,KC,KCC,KCCK,KCCKC,acc,7,10,10,3,3,3,1,light,light,schwa,c,c,c,KC,CKC,CKC,,C,C,C,C,C,K,K,K,2,4,3,1,1,1,0,1,1,1,1,1,VC,CVC,CVC,1,2,2,V,V,F,1,abdichten,antepaenultima
tung,ø,g,ng,ung,tung,htung,C,KC,CKC,CCKC,KCCKC,ø,Ab,ø,A,Ab,ø,ø,ø,K,KC,KCC,KCCK,KCCKC,acc,7,10,12,3,3,4,2,light,light,light,c,c,c,KC,CKC,CKC,,C,C,C,C,C,K,K,K,2,4,4,1,1,1,0,1,1,1,1,1,VC,CVC,CVC,1,2,2,N,V,T,1,Abdichtung,antepaenultima
gen,ø,n,en,gen,ngen,ingen,C,KC,CKC,KCKC,CKCKC,ø,ab,ab,a,ab,ø,ø,ø,K,KC,KCC,KCCK,KCCKC,acc,7,9,12,3,4,4,2,light,light,schwa,c,c,c,KC,CK,CKC,,C,C,C,,C,K,K,K,2,3,3,1,1,1,0,1,1,1,1,1,VC,CVC,CVC,1,2,2,V,V,F,1,abdingen,antepaenultima
bar,bar,r,ar,bar,ø,ø,C,LC,CLC,CCLC,KCCLC,ø,ab,ab,a,ab,ø,ø,ø,K,KC,KCC,KCCK,KCCKC,acc,7,12,15,3,4,5,4,light,light,light,c,c,c,KC,CKC,CLC,,C,C,C,C,C,K,K,L,2,4,3,1,1,1,0,1,1,1,1,2,VC,CVC,CVVC,1,2,1,A,V,F,1,abdingbar,antepaenultima
men,ø,n,en,men,ø,ø,C,KC,CKC,LCKC,CLCKC,ø,Ab,ø,A,Ab,ø,ø,ø,K,KC,KCC,KCCL,KCCLC,ø,7,7,12,3,3,4,2,light,light,schwa,c,o,c,KC,CL,CKC,,C,C,C,,C,K,L,K,2,2,3,1,0,1,0,1,1,1,2,1,VC,CVV,CVC,1,0,2,N,ø,T,0,Abdomen,paenultima
ren,ø,n,en,ren,rren,ø,C,KC,CKC,KCKC,CKCKC,ø,ab,ab,a,ab,ø,ø,ø,K,KC,KCC,KCCK,KCCKC,acc,7,7,13,3,3,4,3,light,light,schwa,c,c,c,KC,CK,CKC,,C,C,C,,C,K,K,K,2,3,3,1,1,1,0,1,1,1,1,1,VC,CVC,CVC,1,2,2,V,V,F,1,abdorren,antepaenultima
gen,ø,n,en,gen,ngen,engen,C,KC,CKC,KCKC,CKCKC,ø,ab,ab,a,ab,ø,ø,ø,K,KC,KCC,KCCC,KCCCK,acc,7,11,12,3,3,4,2,light,light,schwa,c,c,c,KC,CCK,CKC,,CC,C,C,,C,K,K,K,2,4,3,1,1,1,0,2,1,1,1,1,VC,CCVC,CVC,1,3,2,V,V,F,1,abdraengen,antepaenultima
hen,ø,n,en,hen,ehen,ø,C,KC,LKC,CLKC,CCLKC,ø,ab,ab,a,ab,ø,ø,ø,K,KC,KCC,KCCC,KCCCL,acc,7,11,9,3,3,4,1,light,light,schwa,c,o,c,KC,CCL,KC,,CC,,C,,C,K,L,K,2,3,3,1,0,1,0,2,0,1,2,1,VC,CCVV,VC,1,1,1,V,V,F,1,abdrehen,antepaenultima
schen,ø,n,en,hen,chen,schen,C,KC,CKC,KCKC,CKCKC,ø,ab,ab,a,ab,ø,ø,ø,K,KC,KCC,KCCC,KCCCK,acc,7,11,10,3,3,3,1,light,light,schwa,c,c,c,KC,CCK,CKC,,CC,C,C,,C,K,K,K,2,3,5,1,1,1,0,2,1,1,1,1,VC,CCVC,CVC,1,3,2,V,V,F,1,abdreschen,antepaenultima
ø,ø,n,ln,eln,seln,ø,C,CC,KCC,CKCC,KCKCC,ø,ab,ab,a,ab,ø,ø,ø,K,KC,KCC,KCCC,KCCCK,acc,7,11,14,3,3,3,3,light,light,schwa,c,c,c,KC,CCK,CKCC,,CC,C,C,,CC,K,K,K,2,4,4,1,1,2,0,2,1,1,1,1,VC,CCVC,CVCC,1,3,3,V,V,F,1,abdrosseln,antepaenultima
cken,ø,n,en,ken,cken,ecken,C,KC,CKC,KCKC,CKCKC,ø,ab,ab,a,ab,ø,ø,ø,K,KC,KCC,KCCC,KCCCK,acc,7,13,10,3,4,3,1,light,light,schwa,c,c,c,KC,CCK,CKC,,CC,C,C,,C,K,K,K,2,3,4,1,1,1,0,2,1,1,1,1,VC,CCVC,CVC,1,3,2,V,V,F,1,abdruecken,antepaenultima
cken,ø,n,en,ken,cken,ø,C,KC,CKC,KCKC,CKCKC,ø,ab,ab,a,ab,ø,ø,ø,K,KC,KCC,KCCC,KCCCK,acc,7,13,10,3,4,3,1,light,light,schwa,c,c,c,KC,CCK,CKC,,CC,C,C,,C,K,K,K,2,3,4,1,1,1,0,2,1,1,1,1,VC,CCVC,CVC,1,3,2,V,V,F,1,abdrucken,antepaenultima
cken,ø,n,en,ken,cken,ø,C,KC,CKC,KCKC,CKCKC,ø,ab,ab,a,ab,ø,ø,ø,K,KC,KCC,KCCK,KCCKC,acc,7,9,10,3,4,3,1,light,light,schwa,c,c,c,KC,CK,CKC,,C,C,C,,C,K,K,K,2,2,4,1,1,1,0,1,1,1,1,1,VC,CVC,CVC,1,2,2,V,V,F,1,abducken,antepaenultima
ø,ø,r,or,tor,ø,ø,C,KC,CKC,CCKC,KCCKC,ø,Ab,ø,A,Ab,ø,ø,ø,K,KC,KCC,KCCK,KCCKC,ø,7,10,11,3,3,3,2,light,light,light,c,c,c,KC,CKC,CKC,,C,C,C,C,C,K,K,K,2,3,3,1,1,1,0,1,1,1,1,1,VC,CVC,CVC,1,2,2,N,R,T,1,Abduktor,paenultima
ben,ø,n,en,ben,ø,ø,C,KC,CKC,KCKC,CKCKC,ø,ab,ab,a,ab,ø,ø,ø,K,KC,KCK,KCKC,ø,acc,7,6,10,3,6,3,1,light,light,schwa,c,c,c,KC,K,CKC,,,C,C,,C,K,K,K,2,2,3,1,1,1,0,0,1,1,1,1,VC,VC,CVC,1,1,2,V,V,F,1,abebben,antepaenultima
sen,ø,n,en,sen,isen,eisen,C,KC,CKC,DCKC,CDCKC,ø,ab,ab,a,ab,ø,ø,ø,K,KC,ø,ø,ø,acc,7,10,10,3,10,3,1,light,light,schwa,c,o,c,KC,D,CKC,,,C,C,,C,K,D,K,2,2,3,1,0,1,0,0,1,1,2,1,VC,VV,CVC,1,0,2,V,V,F,1,abeisen,antepaenultima
lich,ø,h,ch,ich,lich,dlich,C,KC,CKC,CCKC,CCCKC,noacc,a,ø,a,ab,ø,ø,ø,L,LC,LCK,LCKC,LCKCC,ø,10,11,13,10,2,4,1,light,schwa,light,o,c,c,L,CKCC,CKC,,C,C,,CC,C,L,K,K,1,4,4,0,2,1,0,1,1,2,1,1,VV,CVCC,CVC,0,3,2,A,N,F,1,abendlich,antepaenultima
ø,ø,s,ø,ø,ø,ø,C,CC,LCC,CLCC,ø,ø,a,ø,a,ab,ø,ø,ø,L,LC,LCK,LCKC,LCKCC,ø,10,11,18,10,3,4,4,light,schwa,heavy,o,c,c,L,CKC,CLCC,,C,C,,C,CC,L,K,L,1,3,4,0,1,2,0,1,1,2,1,2,VV,CVC,CVVCC,0,2,1,ADV,N,F,1,abermals,antepaenultima
ø,ø,z,ø,ø,ø,ø,A,ø,ø,ø,ø,ø,A,ø,A,Ab,ø,ø,ø,L,LC,LCK,LCKC,LCKCC,ø,10,11,10,10,3,3,0,light,schwa,light,o,c,c,L,CKC,ø,,C,C,,C,A,L,K,K,1,3,4,0,1,1,0,1,1,2,1,1,VV,CVC,CVC,0,2,2,N,N,T,1,Aberwitz,antepaenultima
sen,ø,n,en,sen,ssen,essen,C,KC,CKC,KCKC,CKCKC,ø,ab,ab,a,ab,ø,ø,ø,K,KC,KCK,KCKC,ø,acc,7,6,10,3,6,3,1,light,light,schwa,c,c,c,KC,K,CKC,,,C,C,,C,K,K,K,2,2,3,1,1,1,0,0,1,1,1,1,VC,VC,CVC,1,1,2,V,V,F,1,abessen,antepaenultima
ø,ø,n,ln,eln,keln,ø,C,CC,KCC,CKCC,KCKCC,ø,ab,ab,a,ab,ø,ø,ø,K,KC,KCC,KCCK,KCCKC,acc,7,7,14,3,3,3,3,light,light,schwa,c,c,c,KC,CK,CKCC,,C,C,C,,CC,K,K,K,2,2,5,1,1,2,0,1,1,1,1,1,VC,CVC,CVCC,1,2,3,V,V,F,1,abfackeln,antepaenultima
deln,ø,n,ln,eln,deln,ø,C,CC,KCC,CKCC,LCKCC,ø,ab,ab,a,ab,ø,ø,ø,K,KC,KCC,KCCL,KCCLC,acc,7,7,14,3,3,3,3,light,light,schwa,c,o,c,KC,CL,CKCC,,C,C,C,,CC,K,L,K,2,2,4,1,0,2,0,1,1,1,2,1,VC,CVV,CVCC,1,0,3,V,V,F,1,abfaedeln,antepaenultima
