syl_suffix,signi_suffix,suffix1,suffix2,suffix3,suffix4,suffix5,suffix_phoncat1,suffix_phoncat2,suffix_phoncat3,suffix_phoncat4,suffix_phoncat5,suff_class,syl_praefix,signi_praefix,praefix1,praefix2,praefix3,praefix4,praefix5,praefix_phoncat1,praefix_phoncat2,praefix_phoncat3,praefix_phoncat4,praefix_phoncat5,prae_class,sonority0,sonority1,sonority_ratio0,sonority_ratio1,sonority_dir,syl_weight0,syl_weight1,syl_open0,syl_open1,syl_phoncat0,syl_phoncat1,onset_phoncat0,onset_phoncat1,koda_phoncat0,koda_phoncat1,nucleus_phoncat0,nucleus_phoncat1,syl_len0,syl_len1,koda_len0,koda_len1,onset_len0,onset_len1,nucleus_len0,nucleus_len1,syl_cv0,syl_cv1,cv_ratio0,cv_ratio1,pos,comp_struct,nomen,comp_len,Word,stress_class
stuhl,ø,l,hl,uhl,tuhl,stuhl,C,LC,CLC,CCLC,CCCLC,ø,Lehn,ø,L,Le,Leh,Lehn,Lehns,C,CL,CLC,CLCC,CLCCC,ø,13,14,4,3,1,light,light,c,c,CLC,CCLC,C,CC,C,C,L,L,4,5,1,1,1,2,2,2,CVVC,CCVVC,1,1,N,VN,T,2,Lehnstuhl,paenultima
wort,ø,t,rt,ort,wort,nwort,C,CC,KCC,CKCC,CCKCC,ø,Lehn,ø,L,Le,Leh,Lehn,Lehnw,C,CL,CLC,CLCC,CLCCK,ø,13,12,4,3,0,light,heavy,c,c,CLC,CKCC,C,C,C,CC,L,K,4,4,1,2,1,1,2,1,CVVC,CVCC,1,3,N,VN,T,2,Lehnwort,paenultima
amt,ø,t,mt,amt,ramt,hramt,C,CC,KCC,CKCC,LCKCC,ø,Lehr,ø,L,Le,Leh,Lehr,Lehra,C,CL,CLC,CLCK,CLCKC,ø,14,10,4,3,-2,light,heavy,c,c,CLC,KCC,C,,C,CC,L,K,4,3,1,2,1,0,2,1,CVVC,VCC,1,2,N,VN,T,2,Lehramt,paenultima
brief,ø,f,ef,ief,rief,brief,C,LC,CLC,CCLC,CCCLC,ø,Lehr,ø,L,Le,Leh,Lehr,Lehrb,C,CL,CLC,CLCC,CLCCC,ø,14,14,4,3,0,light,light,c,c,CLC,CCLC,C,CC,C,C,L,L,4,5,1,1,1,2,2,2,CVVC,CCVVC,1,1,N,NN,T,2,Lehrbrief,paenultima
bub,ø,b,ub,bub,rbub,hrbub,C,LC,CLC,CCLC,LCCLC,ø,Lehr,ø,L,Le,Leh,Lehr,Lehrb,C,CL,CLC,CLCC,CLCCL,ø,14,10,4,3,-2,light,light,c,c,CLC,CLC,C,C,C,C,L,L,4,3,1,1,1,1,2,2,CVVC,CVVC,1,1,N,NN,T,2,Lehrbub,paenultima
buch,ø,h,ch,uch,buch,rbuch,C,LC,CLC,CCLC,LCCLC,ø,Lehr,ø,L,Le,Leh,Lehr,Lehrb,C,CL,CLC,CLCC,CLCCL,ø,14,10,4,3,-2,light,light,c,c,CLC,CLC,C,C,C,C,L,L,4,4,1,1,1,1,2,2,CVVC,CVVC,1,1,N,NN,T,2,Lehrbuch,paenultima
jahr,ø,r,hr,ahr,jahr,rjahr,C,LC,CLC,CCLC,LCCLC,ø,Lehr,ø,L,Le,Leh,Lehr,Lehrj,C,CL,CLC,CLCC,CLCCL,ø,14,20,4,6,3,light,light,c,c,CLC,CLC,C,C,C,C,L,L,4,4,1,1,1,1,2,2,CVVC,CVVC,1,1,N,NN,T,2,Lehrjahr,paenultima
plan,ø,n,an,lan,plan,rplan,C,LC,CLC,CCLC,CCCLC,ø,Lehr,ø,L,Le,Leh,Lehr,Lehrp,C,CL,CLC,CLCC,CLCCC,ø,14,18,4,4,2,light,light,c,c,CLC,CCLC,C,CC,C,C,L,L,4,4,1,1,1,2,2,2,CVVC,CCVVC,1,1,N,NN,T,2,Lehrplan,paenultima
satz,ø,z,tz,atz,satz,rsatz,A,KA,CKA,CCKA,LCCKA,ø,Lehr,ø,L,Le,Leh,Lehr,Lehrs,C,CL,CLC,CLCC,CLCCK,ø,14,8,4,2,-3,light,light,c,c,CLC,CKA,C,C,C,A,L,K,4,4,1,1,1,1,2,1,CVVC,CVC,1,2,N,NN,T,2,Lehrsatz,paenultima
stand,ø,d,nd,and,tand,stand,C,CC,KCC,CKCC,CCKCC,ø,Lehr,ø,L,Le,Leh,Lehr,Lehrs,C,CL,CLC,CLCC,CLCCC,ø,14,12,4,2,-1,light,heavy,c,c,CLC,CCKCC,C,CC,C,CC,L,K,4,5,1,2,1,2,2,1,CVVC,CCVCC,1,4,N,VN,T,2,Lehrstand,paenultima
