syl_len0,syl_len1,syl_len2,syl_len3,syl_len4,syl_len5,syl_len6,syl_len7,syl0,syl1,syl2,syl3,syl4,syl5,syl6,syl7,nk_suffix,praefix,basic_pos,comp_struct,sa_struct,prae_class,praefix1,praefix2,praefix3,praefix4,praefix5,suffix1,suffix2,suffix3,suffix4,suffix5,suff_class,rhyme0,rhyme1,rhyme2,rhyme3,rhyme4,rhyme5,rhyme6,rhyme7,cv_ratio0,cv_ratio1,cv_ratio2,cv_ratio3,cv_ratio4,cv_ratio5,cv_ratio6,cv_ratio7,koda_len0,koda_len1,koda_len2,koda_len3,koda_len4,koda_len5,koda_len6,koda_len7,onset_len0,onset_len1,onset_len2,onset_len3,onset_len4,onset_len5,onset_len6,onset_len7,nucleus_len0,nucleus_len1,nucleus_len2,nucleus_len3,nucleus_len4,nucleus_len5,nucleus_len6,nucleus_len7,comp_len,sonority0,sonority1,sonority2,sonority3,sonority4,sonority5,sonority6,sonority7,sonority_ratio0,sonority_ratio1,sonority_ratio2,sonority_ratio3,sonority_ratio4,sonority_ratio5,sonority_ratio6,sonority_ratio7,sonority_dir,syl_class0,syl_class1,syl_class2,syl_class3,syl_class4,syl_class5,syl_class6,syl_class7,onset_class0,onset_class1,onset_class2,onset_class3,onset_class4,onset_class5,onset_class6,onset_class7,koda_class0,koda_class1,koda_class2,koda_class3,koda_class4,koda_class5,koda_class6,koda_class7,nucleus_class0,nucleus_class1,nucleus_class2,nucleus_class3,nucleus_class4,nucleus_class5,nucleus_class6,nucleus_class7,syl_weight0,syl_weight1,syl_weight2,syl_weight3,syl_weight4,syl_weight5,syl_weight6,syl_weight7,nomen,sylcnt,stress_class
2,2,2,2,2,3,4,4,In,fi,ni,te,si,mal,rech,nung,ung,ø,N,ø,SSA,ø,K,KC,KCC,KCCL,KCCLC,C,KC,CKC,CCKC,KCCKC,ø,VC,CVV,CVV,CVV,CVV,CVVC,CVC,CVC,1,0,0,0,0,1,2,2,1,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,2,1001,101,1001,101,101,1011,111,2001,3,3,3,2,3,3,2,3,1,KC,CL,CL,CL,CL,CLC,CKC,CKC,,C,C,C,C,C,C,C,C,,,,,C,C,C,K,L,L,L,L,L,K,K,1,1,1,1,1,1,1,1,T,8,antepaenultima
2,3,2,2,1,2,3,3,In,ter,na,ti,o,na,lis,mus,us,ø,N,A,SA,ø,K,KC,KCC,KCCK,KCCKC,C,KC,CKC,CCKC,KCCKC,noacc,VC,CVC,CVC,CVV,VV,CVV,CVC,CVC,1,2,2,0,0,0,2,2,1,1,1,0,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,2,2,2,1,1,1,1001,111,1001,101,1,1001,111,1101,3,2,3,3,4,4,3,2,1,KC,CKC,CK,AL,L,CL,CKC,CKC,,C,C,A,,C,C,C,C,C,,,,,C,C,K,K,K,L,L,L,K,K,1,0,1,1,1,1,1,1,T,8,paenultima
2,3,2,2,3,3,2,3,In,ter,ro,ga,tiv,pro,no,men,en,ø,N,AN,SS,ø,K,KC,KCC,KCCK,KCCKC,C,KC,CKC,LCKC,CLCKC,ø,VC,CVC,CVV,CVC,CVVC,CCVV,CVV,CVC,1,2,0,2,1,1,0,2,1,1,0,1,1,0,0,1,0,1,1,1,1,2,1,1,1,1,2,1,2,2,2,1,2,1001,111,11,101,201,111,1001,2001,3,2,3,2,2,2,3,2,1,KC,CKC,CL,CK,CLC,CCL,CL,CKC,,C,C,C,C,CC,C,C,C,C,,,C,,,C,K,K,L,K,L,L,L,K,1,1,1,1,1,1,1,0,T,8,undef
2,2,2,3,3,2,3,4,In,va,li,den,ver,si,che,rung,ung,ø,N,NN,SAS,ø,K,KC,KCC,KCCK,KCCKC,C,KC,CKC,KCKC,CKCKC,ø,VC,CVC,CVV,CVC,CVC,CVC,CV,CVC,1,2,0,2,2,2,1,2,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1001,101,11,1101,111,101,101,1011,3,2,4,2,2,3,2,3,-1,KC,CK,CL,CKC,CKC,CK,CK,CKC,,C,C,C,C,C,C,C,C,,,C,C,,,C,K,K,L,K,K,K,K,K,1,1,1,0,1,1,0,1,T,8,undef
2,1,2,2,3,2,3,4,Ko,a,li,ti,ons,re,gie,rung,ung,ø,N,NN,SAS,ø,C,CL,CLK,CLKC,CLKCL,C,KC,CKC,LCKC,CLCKC,ø,CVV,VC,CVV,CVV,VVCC,CVV,CVV,CVC,0,1,0,0,1,0,0,2,0,1,0,0,2,0,0,1,1,0,1,1,0,1,1,1,2,1,2,2,2,2,2,1,2,101,1,11,101,1101,11,101,1011,2,4,4,3,2,3,3,3,1,CL,K,CL,AL,LCC,CL,CL,CKC,C,,C,A,,C,C,C,,,,,CC,,,C,L,K,L,L,L,L,L,K,1,1,1,1,2,1,1,1,T,8,undef
3,2,2,2,2,3,3,3,Kom,mu,ni,ka,ti,ons,mit,tel,el,ø,N,NN,SAS,ø,C,CK,CKC,CKCL,CKCLC,C,KC,CKC,KCKC,CKCKC,ø,CVC,CVV,CVV,CVC,CVV,VVCC,CVC,CVC,2,0,0,2,0,1,2,2,1,0,0,1,0,2,1,1,1,1,1,1,1,0,1,1,1,2,2,1,2,2,1,1,2,101,1001,1001,101,101,1101,1001,111,2,3,3,2,3,2,3,2,1,CK,CL,CL,CK,AL,LCC,CK,CKC,C,C,C,C,A,,C,C,,,,,,CC,,C,K,L,L,K,L,L,K,K,1,1,1,1,1,2,1,0,T,8,antepaenultima
3,3,2,2,2,2,1,3,kon,ter,re,vo,lu,ti,o,n1r,1r,ø,A,A,AS,ø,C,CK,CKC,CKCC,CKCCK,C,LC,CLC,LCLC,LLCLC,ø,CVC,CVC,CVV,CVV,CVV,CVV,VV,CVVC,2,2,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,2,2,2,2,2,2,1,1101,111,11,101,11,101,1,1011,2,2,3,2,4,3,4,3,-1,CKC,CKC,CL,CL,CL,CL,L,CLC,C,C,C,C,C,C,,C,C,C,,,,,,C,K,K,L,L,L,L,L,L,1,0,1,1,1,1,1,1,F,8,prima
3,2,3,3,2,2,2,4,kon,ti,nen,tal,eu,ro,p1,isch,isch,ø,A,ø,SS,ø,C,CK,CKC,CKCC,CKCCL,C,KC,LKC,CLKC,LCLKC,ø,CVC,CVV,CVC,CVVC,VV,CVV,CVV,VC,2,0,2,1,0,0,0,1,1,0,1,1,0,0,0,1,1,1,1,1,0,1,1,0,1,2,1,2,2,2,2,1,2,1101,101,2001,111,1,11,101,101,2,3,2,3,6,3,2,3,-1,CKC,CL,CKC,CLC,D,CL,CL,KC,C,C,C,C,,C,C,,C,,C,C,,,,C,K,L,K,L,D,L,L,K,1,1,1,1,1,1,1,1,F,8,undef
3,3,2,2,3,2,2,3,Kon,ver,sa,ti,ons,le,xi,kon,on,ø,N,NN,SAS,ø,C,CK,CKC,CKCC,CKCCK,C,KC,CKC,LCKC,CLCKC,ø,CVC,CVC,CVC,CVV,VVCC,CVC,CCVV,CVC,2,2,2,0,1,2,1,2,1,1,1,0,2,1,0,1,1,1,1,1,0,1,2,1,1,1,1,2,2,1,2,1,2,1101,111,101,101,1101,11,201,1101,2,2,2,3,2,3,2,2,1,CKC,CKC,CK,AL,LCC,CK,CCL,CKC,C,C,C,A,,C,CC,C,C,C,,,CC,,,C,K,K,K,L,L,K,L,K,1,1,1,1,2,1,1,1,T,8,undef
3,3,3,2,3,2,3,4,Kon,zen,tra,ti,ons,f1,hig,keit,eit,ø,N,NN,SAS,ø,C,CK,CKC,CKCA,CKCAK,C,DC,CDC,CCDC,KCCDC,ø,CVC,CVC,CCVC,CVV,VVCC,CVV,VC,CVVC,2,2,3,0,1,0,1,1,1,1,1,0,2,0,1,1,1,1,2,1,0,1,0,1,1,1,1,2,2,2,1,2,2,1101,1101,111,101,1101,101,101,201,2,2,2,3,2,2,3,2,-1,CKC,AKC,CCK,AL,LCC,CL,KC,CDC,C,A,CC,A,,C,,C,C,C,,,CC,,C,C,K,K,K,L,L,L,K,D,1,1,1,1,2,1,1,1,T,8,undef
4,3,3,2,3,5,6,3,kran,ken,ver,si,che,rungs,pflich,tig,ig,ø,A,NN,ø,ø,C,CC,CCK,CCKC,CCKCC,C,KC,CKC,CCKC,KCCKC,noacc,CCVC,CVC,CVC,CVC,CV,CVCC,CCVC,CVC,3,2,2,2,1,3,3,2,1,1,1,1,0,2,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1111,1101,111,101,101,1111,211,201,2,2,2,3,2,2,2,2,-1,CCKC,CKC,CKC,CK,CK,CKCC,ACKC,CKC,CC,C,C,C,C,C,AC,C,C,C,C,,,CC,C,C,K,K,K,K,K,K,K,K,1,0,1,1,0,2,1,1,F,8,prima
2,3,2,3,2,2,1,2,Le,gis,la,tur,pe,ri,o,de,e,ø,N,NN,SS,ø,C,CL,CLC,CLCK,CLCKC,K,CK,LCK,LLCK,CLLCK,ø,CVV,CVC,CVC,CVVC,CVV,CVV,VV,CV,0,2,2,1,0,0,0,1,0,1,1,1,0,0,0,0,1,1,1,1,1,1,0,1,2,1,1,2,2,2,2,1,2,11,201,11,111,101,11,1,101,3,2,3,3,2,4,4,2,-1,CL,CKC,CK,CLC,CL,CL,L,CK,C,C,C,C,C,C,,C,,C,,C,,,,,L,K,K,L,L,L,L,K,1,1,1,1,1,1,1,0,T,8,undef
2,2,2,2,2,3,3,2,Le,gi,ti,ma,ti,ons,kar,te,e,ø,N,NN,SAS,ø,C,CL,CLC,CLCL,CLCLC,K,CK,CCK,KCCK,CKCCK,ø,CVV,CVV,CVV,CVC,CVV,VVCC,CVC,CV,0,0,0,2,0,1,2,1,0,0,0,1,0,2,1,0,1,1,1,1,1,0,1,1,2,2,2,1,2,2,1,1,2,11,101,101,1001,101,1101,111,101,3,3,3,3,3,2,2,2,1,CL,CL,CL,CK,AL,LCC,CKC,CK,C,C,C,C,A,,C,C,,,,,,CC,C,,L,L,L,K,L,L,K,K,1,1,1,1,1,2,1,0,T,8,antepaenultima
2,2,2,3,3,3,6,4,li,te,ra,tur,wis,sen,schaft,lich,ich,ø,A,N,SA,ø,C,CK,CKC,CKCK,CKCKC,C,KC,CKC,CCKC,CCCKC,noacc,CVC,CV,CVC,CVVC,CVC,CVC,CVCC,CVC,2,1,2,1,2,2,3,2,1,0,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,11,101,11,111,101,1101,301,111,4,2,3,3,3,2,1,3,1,CK,CK,CK,CLC,CK,CKC,CKCC,CKC,C,C,C,C,C,C,C,C,,,,C,,C,CC,C,K,K,K,L,K,K,K,K,1,0,1,1,1,0,2,1,F,8,undef
2,2,1,3,3,3,1,3,Ma,ri,o,net,ten,the,a,ter,er,ø,N,NN,SAS,ø,C,CK,CKC,CKCL,CKCLL,C,KC,CKC,LCKC,LLCKC,ø,CVC,CVV,VV,CVC,CVC,CVV,VV,CVC,2,0,0,2,2,0,0,2,1,0,0,1,1,0,0,1,1,1,0,1,1,1,0,1,1,2,2,1,1,2,2,1,2,1001,11,1,1001,1101,101,1,111,3,4,4,3,2,2,6,2,-1,CK,CL,L,CK,CKC,CL,L,CKC,C,C,,C,C,C,,C,,,,,C,,,C,K,L,L,K,K,L,L,K,1,1,1,1,0,1,1,0,T,8,prima
