syl_len0,syl_len1,syl_len2,syl0,syl1,syl2,nk_suffix,praefix,basic_pos,comp_struct,sa_struct,prae_class,praefix1,praefix2,praefix3,praefix4,praefix5,suffix1,suffix2,suffix3,suffix4,suffix5,suff_class,rhyme0,rhyme1,rhyme2,cv_ratio0,cv_ratio1,cv_ratio2,koda_len0,koda_len1,koda_len2,onset_len0,onset_len1,onset_len2,nucleus_len0,nucleus_len1,nucleus_len2,comp_len,sonority0,sonority1,sonority2,sonority_ratio0,sonority_ratio1,sonority_ratio2,sonority_dir,syl_class0,syl_class1,syl_class2,onset_class0,onset_class1,onset_class2,koda_class0,koda_class1,koda_class2,nucleus_class0,nucleus_class1,nucleus_class2,syl_weight0,syl_weight1,syl_weight2,nomen,sylcnt,stress_class
2,4,4,ab,glei,chen,en,ab,V,V,AS,acc,K,KC,KCC,KCCC,KCCCD,C,KC,CKC,DCKC,CDCKC,ø,VC,CCVV,CVC,1,1,2,1,0,1,0,2,1,1,2,1,1,101,111,1101,2,3,2,1,KC,CCD,CKC,?,CC,C,C,?,C,K,D,K,1,1,0,F,3,antepaenultima
2,3,2,No,vel,le,e,ø,N,N,S,ø,C,CL,CLC,CLCK,CLCKC,K,CK,KCK,CKCK,LCKCK,ø,CVV,CVC,CV,0,2,1,0,1,0,1,1,1,2,1,1,1,1001,101,11,3,2,3,-1,CL,CK,CK,C,C,C,?,?,?,L,K,K,1,1,0,T,3,paenultima
2,2,3,P3,be,lei,ei,ø,N,V,SA,ø,C,CL,CLC,CLCK,CLCKC,D,CD,KCD,CKCD,LCKCD,acc,CVV,CV,CVV,0,1,0,0,0,0,1,1,1,2,1,2,1,101,101,11,2,2,4,-1,CL,CK,CD,C,C,C,?,?,?,L,K,D,1,0,1,T,3,ultima
3,3,3,ver,gla,sen,en,ver,V,N,AS,noacc,C,CK,CKC,CKCC,CKCCC,C,KC,CKC,LCKC,CLCKC,ø,CVC,CCVV,CVC,2,1,2,1,0,1,1,2,1,1,2,1,1,111,111,1101,2,3,2,1,CKC,CCL,CKC,C,CC,C,C,?,C,K,L,K,1,1,0,F,3,paenultima
2,3,4,Al,gra,phie,ie,ø,N,ø,ø,ø,K,KC,KCC,KCCC,KCCCK,L,CL,KCL,CKCL,CCKCL,ø,VC,CCVC,CVV,1,3,0,1,1,0,0,2,1,1,1,2,0,11,111,101,3,2,3,1,KC,CCK,CL,?,CC,C,C,?,?,K,K,L,1,1,1,T,3,ultima
1,2,4,O,mi,kron,on,ø,N,ø,ø,ø,L,LC,LCL,LCLC,LCLCC,C,KC,CKC,CCKC,LCCKC,ø,VV,CVV,CCVC,0,0,3,0,0,1,0,1,2,2,2,1,0,1,1001,1111,4,3,2,1,L,CL,CCKC,?,C,CC,?,?,C,L,L,K,1,1,1,T,3,antepaenultima
5,3,4,stock,fin,ster,er,ø,A,ø,SS,ø,C,CC,CCK,CCKC,CCKCC,C,KC,CKC,CCKC,CCCKC,ø,CCVC,CVC,CCVC,3,2,3,1,1,1,2,1,2,1,1,1,2,301,1101,211,1,2,2,-1,CCKC,CKC,CCKC,CC,C,CC,C,C,C,K,K,K,1,1,0,F,3,multa
2,4,4,An,spie,lung,ung,an,N,V,SA,acc,K,KC,KCC,KCCC,KCCCL,C,KC,CKC,LCKC,CLCKC,ø,VC,CCVV,CVC,1,1,2,1,0,1,0,2,1,1,2,1,1,1001,201,1011,3,2,3,1,KC,CCL,CKC,?,CC,C,C,?,C,K,L,K,1,1,1,T,3,antepaenultima
3,2,3,Kli,ni,ker,er,ø,N,N,SA,ø,C,CC,CCL,CCLC,CCLCL,C,KC,CKC,LCKC,CLCKC,ø,CCVV,CVV,CVC,1,0,2,0,0,1,2,1,1,2,2,1,1,111,1001,111,3,3,2,0,CCL,CL,CKC,CC,C,C,?,?,C,L,L,K,1,1,0,T,3,antepaenultima
3,3,4,zer,pul,vern,ern,zer,V,V,AS,noacc,A,AK,AKC,AKCC,AKCCK,C,CC,KCC,CKCC,CCKCC,ø,CVC,CVC,CVCC,2,2,3,1,1,2,1,1,1,1,1,1,1,111,111,1111,2,3,2,1,AKC,CKC,CKCC,A,C,C,C,C,CC,K,K,K,1,1,0,F,3,paenultima
2,4,3,an,kreu,zen,en,an,V,V,AS,acc,K,KC,KCC,KCCC,KCCCD,C,KC,AKC,DAKC,CDAKC,ø,VC,CCVV,CVC,1,1,2,1,0,1,0,2,1,1,2,1,1,1001,111,1101,3,3,2,1,KC,CCD,AKC,?,CC,A,C,?,C,K,D,K,1,1,0,F,3,antepaenultima
2,3,2,In,ter,ne,e,ø,N,F,S,ø,K,KC,KCC,KCCK,KCCKC,K,CK,CCK,KCCK,CKCCK,ø,VC,CVC,CV,1,2,1,1,1,0,0,1,1,1,1,1,1,1001,111,1001,3,2,3,0,KC,CKC,CK,?,C,C,C,C,?,K,K,K,1,1,0,T,3,paenultima
3,2,3,Tra,g3,din,in,ø,N,N,SA,ø,C,CC,CCK,CCKC,CCKCL,C,KC,CKC,LCKC,CLCKC,ø,CCVC,CVV,CVC,3,0,2,1,0,1,2,1,1,1,2,1,1,111,101,1101,2,2,2,1,CCK,CL,CKC,CC,C,C,?,?,C,K,L,K,1,1,1,T,3,paenultima
4,2,7,Wohl,ge,schmack,ack,ø,N,ø,SS,ø,C,CL,CLC,CLCC,CLCCK,C,KC,CKC,CCKC,KCCKC,ø,CVVC,CV,CCVC,1,1,3,1,0,1,1,1,2,2,1,1,2,111,101,1201,2,2,2,1,CLC,CK,CCKC,C,C,CC,C,?,C,L,K,K,1,0,1,T,3,antepaenultima
3,3,4,Ent,wer,tung,ung,ent,N,V,SA,noacc,K,KC,KCC,KCCC,KCCCL,C,KC,CKC,CCKC,LCCKC,ø,VCC,CVVC,CVC,2,1,2,2,1,1,0,1,1,1,2,1,1,1101,111,1101,2,2,2,0,KCC,CLC,CKC,?,C,C,CC,C,C,K,L,K,2,1,1,T,3,paenultima
3,2,5,kl1,ge,risch,isch,ø,A,V,SA,ø,C,CC,CCL,CCLC,CCLCK,C,KC,CKC,KCKC,CKCKC,ø,CCVV,CV,CVC,1,1,2,0,0,1,2,1,1,2,1,1,1,111,101,111,2,2,3,0,CCL,CK,CKC,CC,C,C,?,?,C,L,K,K,1,0,1,F,3,antepaenultima
4,3,4,bahn,amt,lich,ich,ø,A,NA,SS,ø,C,CL,CLC,CLCK,CLCKC,C,KC,CKC,CCKC,CCCKC,noacc,CVVC,VCC,CVC,1,2,2,1,2,1,1,0,1,2,1,1,2,1101,1101,111,3,2,3,-1,CLC,KCC,CKC,C,?,C,C,CC,C,L,K,K,1,2,1,F,3,antepaenultima
3,1,3,Spi,o,nin,in,ø,N,N,SA,ø,C,CC,CCL,CCLL,CCLLC,C,KC,CKC,LCKC,LLCKC,ø,CCVV,VV,CVC,1,0,2,0,0,1,2,0,1,2,2,1,1,201,1,2001,2,4,3,1,CCL,L,CKC,CC,?,C,?,?,C,L,L,K,1,1,1,T,3,paenultima
3,2,4,Hin,ge,bung,ung,hin,N,V,SA,acc,C,CK,CKC,CKCC,CKCCL,C,KC,CKC,LCKC,CLCKC,ø,CVC,CVV,CVC,2,0,2,1,0,1,1,1,1,1,2,1,1,1101,101,1101,2,2,2,0,CKC,CL,CKC,C,C,C,C,?,C,K,L,K,1,1,1,T,3,antepaenultima
1,2,4,E,mi,nenz,enz,ø,N,R,SA,ø,L,LC,LCL,LCLC,LCLCK,A,CA,KCA,CKCA,LCKCA,ø,VV,CVV,CVCC,0,0,3,0,0,2,0,1,1,2,2,1,1,1,1001,2101,4,3,2,1,L,CL,CKCA,?,C,C,?,?,CA,L,L,K,1,1,2,T,3,ultima
2,4,2,an,stel,le,e,an,ø,N,AS,acc,K,KC,KCC,KCCC,KCCCK,K,CK,KCK,CKCK,CCKCK,ø,VC,CCVC,CV,1,3,1,1,1,0,0,2,1,1,1,1,1,1001,201,11,3,2,3,-1,KC,CCK,CK,?,CC,C,C,?,?,K,K,K,1,1,0,F,3,antepaenultima
4,2,3,Firm,pa,tin,in,ø,N,N,SA,ø,C,CK,CKC,CKCC,CKCCC,C,KC,CKC,LCKC,CLCKC,ø,CVCC,CVV,CVC,3,0,2,2,0,1,1,1,1,1,2,1,1,1111,101,1101,2,3,2,-1,CKCC,CL,CKC,C,C,C,CC,?,C,K,L,K,2,1,1,T,3,ultima
2,2,2,se,ri,3s,3s,ø,A,ø,ø,ø,C,CL,CLC,CLCL,CLCLL,C,LC,LLC,CLLC,LCLLC,ø,CVV,CVV,VVC,0,0,0,0,0,1,1,1,0,2,2,2,0,101,11,101,2,4,2,0,CL,CL,LC,C,C,?,?,?,C,L,L,L,1,1,1,F,3,ultima
