syl_suffix,signi_suffix,suffix1,suffix2,suffix3,suffix4,suffix5,suffix_phoncat1,suffix_phoncat2,suffix_phoncat3,suffix_phoncat4,suffix_phoncat5,suff_class,syl_praefix,signi_praefix,praefix1,praefix2,praefix3,praefix4,praefix5,praefix_phoncat1,praefix_phoncat2,praefix_phoncat3,praefix_phoncat4,praefix_phoncat5,prae_class,sonority0,sonority1,sonority2,sonority3,sonority4,sonority5,sonority_ratio0,sonority_ratio1,sonority_ratio2,sonority_ratio3,sonority_ratio4,sonority_ratio5,sonority_dir,syl_weight0,syl_weight1,syl_weight2,syl_weight3,syl_weight4,syl_weight5,syl_open0,syl_open1,syl_open2,syl_open3,syl_open4,syl_open5,syl_phoncat0,syl_phoncat1,syl_phoncat2,syl_phoncat3,syl_phoncat4,syl_phoncat5,onset_phoncat0,onset_phoncat1,onset_phoncat2,onset_phoncat3,onset_phoncat4,onset_phoncat5,koda_phoncat0,koda_phoncat1,koda_phoncat2,koda_phoncat3,koda_phoncat4,koda_phoncat5,nucleus_phoncat0,nucleus_phoncat1,nucleus_phoncat2,nucleus_phoncat3,nucleus_phoncat4,nucleus_phoncat5,syl_len0,syl_len1,syl_len2,syl_len3,syl_len4,syl_len5,koda_len0,koda_len1,koda_len2,koda_len3,koda_len4,koda_len5,onset_len0,onset_len1,onset_len2,onset_len3,onset_len4,onset_len5,nucleus_len0,nucleus_len1,nucleus_len2,nucleus_len3,nucleus_len4,nucleus_len5,syl_cv0,syl_cv1,syl_cv2,syl_cv3,syl_cv4,syl_cv5,cv_ratio0,cv_ratio1,cv_ratio2,cv_ratio3,cv_ratio4,cv_ratio5,pos,comp_struct,nomen,comp_len,Word,stress_class
ø,ø,k,ø,ø,ø,ø,C,KC,CKC,LCKC,CLCKC,noacc,ø,ø,A,ø,ø,ø,ø,K,ø,ø,ø,ø,ø,6,6,10,9,13,12,6,6,5,4,6,4,1,heavy,light,light,light,light,light,o,o,o,o,o,c,K,ø,CL,CL,CL,CKC,,,C,C,C,C,,,,,,C,K,L,L,L,L,K,1,1,2,2,2,3,0,0,0,0,0,1,0,0,1,1,1,1,1,2,2,2,2,1,ø,ø,CVV,CVV,CVV,CVC,0,0,0,0,0,2,N,R,T,1,Aerodynamik,paenultima
ø,ø,h,ch,sch,isch,ø,C,KC,CKC,LCKC,CLCKC,ø,ø,ø,a,ø,ø,ø,ø,K,ø,ø,ø,ø,ø,6,6,10,9,13,12,6,6,5,4,6,4,1,heavy,light,light,light,light,light,o,o,o,o,o,c,K,ø,CL,CL,CL,CKC,,,C,C,C,C,,,,,,C,K,L,L,L,L,K,1,1,2,2,2,5,0,0,0,0,0,1,0,0,1,1,1,1,1,2,2,2,2,1,ø,ø,CVV,CVV,CVV,CVC,0,0,0,0,0,2,A,R,F,1,aerodynamisch,paenultima
ø,ø,k,ø,ø,ø,ø,C,KC,CKC,LCKC,CLCKC,noacc,ø,ø,A,ø,ø,ø,ø,K,ø,ø,ø,ø,ø,6,6,10,9,11,12,6,6,5,4,5,4,1,heavy,light,light,light,light,light,o,o,o,o,o,c,K,ø,CL,CL,CL,CKC,,,C,C,C,C,,,,,,C,K,L,L,L,L,K,1,1,2,2,3,3,0,0,0,0,0,1,0,0,1,1,1,1,1,2,2,2,2,1,ø,ø,CVV,CVV,CVV,CVC,0,0,0,0,0,2,N,N,T,1,Aeromechanik,paenultima
on,ø,n,on,ion,tion,ation,C,LC,LLC,ALLC,KALLC,ø,ø,ø,A,ø,ø,ø,ø,K,KC,KCL,KCLC,ø,ø,6,9,12,6,9,9,6,4,6,6,4,4,0,light,light,light,light,light,light,c,o,o,c,o,c,K,CL,CL,ø,AL,LC,,C,C,,A,,,,,,,C,K,L,L,K,L,L,2,2,2,1,2,2,1,0,0,1,0,1,0,1,1,0,1,0,1,2,2,1,2,2,VC,CVV,CVV,ø,CVV,VVC,1,0,0,1,0,0,N,R,T,1,Affiliation,ultima
on,ø,n,on,ion,tion,ation,C,LC,LLC,ALLC,KALLC,ø,ø,ø,A,ø,ø,ø,ø,K,KC,KCC,KCCL,KCCLC,ø,6,11,9,10,9,9,6,3,4,5,4,4,0,light,light,light,light,light,light,c,o,o,c,o,c,K,CCL,CL,CK,AL,LC,,CC,C,C,A,,,,,,,C,K,L,L,K,L,L,2,3,2,2,2,2,1,0,0,1,0,1,0,2,1,1,1,0,1,2,2,1,2,2,VC,CCVV,CVV,CVC,CVV,VVC,1,1,0,2,0,0,N,R,T,1,Agglomeration,ultima
on,ø,n,on,ion,tion,ation,C,LC,LLC,ALLC,KALLC,ø,ø,ø,A,ø,ø,ø,ø,K,KC,KCC,KCCL,KCCLC,ø,6,13,9,9,9,9,6,4,4,4,4,4,0,light,light,light,light,light,light,c,o,o,c,o,c,K,CCL,CL,CK,AL,LC,,CC,C,C,A,,,,,,,C,K,L,L,K,L,L,2,3,2,2,2,2,1,0,0,1,0,1,0,2,1,1,1,0,1,2,2,1,2,2,VC,CCVV,CVV,CVC,CVV,VVC,1,1,0,2,0,0,N,R,T,1,Agglutination,ultima
ren,ø,n,en,ren,eren,ieren,C,KC,CKC,LCKC,CLCKC,ø,ø,ø,a,ø,ø,ø,ø,K,KC,KCC,KCCL,KCCLC,ø,6,13,9,9,9,13,6,4,4,4,4,4,0,light,light,light,light,light,schwa,c,o,c,o,o,c,K,CCL,CK,CL,CL,CKC,,CC,C,C,C,C,,,,,,C,K,L,K,L,L,K,2,3,2,2,3,3,1,0,1,0,0,1,0,2,1,1,1,1,1,2,1,2,2,1,VC,CCVV,CVC,CVV,CVV,CVC,1,1,2,0,0,2,V,R,F,1,akklimatisieren,paenultima
ø,ø,g,ø,ung,rung,erung,C,KC,CKC,LCKC,CLCKC,ø,ø,ø,A,ø,ø,ø,ø,K,KC,KCC,KCCL,KCCLC,ø,6,13,9,9,9,15,6,4,4,4,4,5,0,light,light,light,light,light,light,c,o,c,o,o,c,K,CCL,CK,CL,CL,CKC,,CC,C,C,C,C,,,,,,C,K,L,K,L,L,K,2,3,2,2,3,4,1,0,1,0,0,1,0,2,1,1,1,1,1,2,1,2,2,1,VC,CCVV,CVC,CVV,CVV,CVC,1,1,2,0,0,2,N,V,T,1,Akklimatisierung,paenultima
on,ø,n,on,ion,tion,ation,C,LC,LLC,ALLC,KALLC,ø,ø,ø,A,ø,ø,ø,ø,K,KC,ø,ø,ø,ø,6,13,9,10,9,9,6,4,4,5,4,4,0,light,light,light,light,light,light,c,c,o,c,o,c,K,CKC,CL,CK,AL,LC,,C,C,C,A,,,C,,,,C,K,K,L,K,L,L,2,3,2,2,2,2,1,1,0,1,0,1,0,1,1,1,1,0,1,1,2,1,2,2,VC,CVC,CVV,CVC,CVV,VVC,1,2,0,2,0,0,N,R,T,1,Akkulturation,ultima
on,ø,n,on,ion,tion,ation,C,LC,LLC,ALLC,KALLC,ø,ø,ø,A,ø,ø,ø,ø,K,KC,KCL,KCLC,ø,ø,6,9,11,10,9,9,6,4,5,5,4,4,0,light,light,light,light,light,light,c,o,o,c,o,c,K,CL,CL,CK,AL,LC,,C,C,C,A,,,,,,,C,K,L,L,K,L,L,2,2,2,2,2,2,1,0,0,1,0,1,0,1,1,1,1,0,1,2,2,1,2,2,VC,CVV,CVV,CVC,CVV,VVC,1,0,0,2,0,0,N,R,T,1,Akkumulation,ultima
