syl_suffix,signi_suffix,suffix1,suffix2,suffix3,suffix4,suffix5,suffix_phoncat1,suffix_phoncat2,suffix_phoncat3,suffix_phoncat4,suffix_phoncat5,suff_class,syl_praefix,signi_praefix,praefix1,praefix2,praefix3,praefix4,praefix5,praefix_phoncat1,praefix_phoncat2,praefix_phoncat3,praefix_phoncat4,praefix_phoncat5,prae_class,sonority0,sonority1,sonority2,sonority3,sonority_ratio0,sonority_ratio1,sonority_ratio2,sonority_ratio3,sonority_dir,syl_weight0,syl_weight1,syl_weight2,syl_weight3,syl_open0,syl_open1,syl_open2,syl_open3,syl_phoncat0,syl_phoncat1,syl_phoncat2,syl_phoncat3,onset_phoncat0,onset_phoncat1,onset_phoncat2,onset_phoncat3,koda_phoncat0,koda_phoncat1,koda_phoncat2,koda_phoncat3,nucleus_phoncat0,nucleus_phoncat1,nucleus_phoncat2,nucleus_phoncat3,syl_len0,syl_len1,syl_len2,syl_len3,koda_len0,koda_len1,koda_len2,koda_len3,onset_len0,onset_len1,onset_len2,onset_len3,nucleus_len0,nucleus_len1,nucleus_len2,nucleus_len3,syl_cv0,syl_cv1,syl_cv2,syl_cv3,cv_ratio0,cv_ratio1,cv_ratio2,cv_ratio3,pos,comp_struct,nomen,comp_len,Word,stress_class
ren,ø,n,en,ren,eren,ieren,C,KC,CKC,LCKC,CLCKC,ø,de,ø,d,de,ø,ø,ø,C,CL,CLC,CLCL,CLCLC,ø,7,7,12,13,3,3,6,4,2,light,light,light,schwa,o,o,o,c,CL,CL,CL,CKC,C,C,C,C,,,,C,L,L,L,K,2,2,3,3,0,0,0,1,1,1,1,1,2,2,2,1,CVV,CVV,CVV,CVC,0,0,0,2,V,N,F,1,dekorieren,paenultima
ren,ø,n,en,ren,eren,ieren,C,KC,CKC,LCKC,CLCKC,ø,de,ø,d,de,ø,ø,ø,C,CL,CLC,CLCL,CLCLC,ø,7,10,9,13,3,5,4,4,1,light,light,light,schwa,o,o,o,c,CL,CL,CL,CKC,C,C,C,C,,,,C,L,L,L,K,2,2,3,3,0,0,0,1,1,1,1,1,2,2,2,1,CVV,CVV,CVV,CVC,0,0,0,2,V,R,F,1,delegieren,paenultima
rung,ø,g,ng,ung,rung,erung,C,KC,CKC,LCKC,CLCKC,ø,De,ø,D,ø,ø,ø,ø,C,CL,CLC,CLCL,CLCLC,ø,7,10,9,15,3,5,4,5,2,light,light,light,light,o,o,o,c,CL,CL,CL,CKC,C,C,C,C,,,,C,L,L,L,K,2,2,3,4,0,0,0,1,1,1,1,1,2,2,2,1,CVV,CVV,CVV,CVC,0,0,0,2,N,V,T,1,Delegierung,paenultima
ren,ø,n,en,ren,eren,ieren,C,KC,CKC,LCKC,CLCKC,ø,de,ø,d,de,ø,ø,ø,C,CL,CLC,CLCL,CLCLC,ø,7,12,12,13,3,6,6,4,1,light,light,light,schwa,o,o,o,c,CL,CL,CL,CKC,C,C,C,C,,,,C,L,L,L,K,2,2,3,3,0,0,0,1,1,1,1,1,2,2,2,1,CVV,CVV,CVV,CVC,0,0,0,2,V,ø,F,0,delirieren,paenultima
ø,3s,s,ø,oes,ø,ø,C,LC,LLC,ALLC,ø,ø,de,ø,d,de,ø,ø,ø,C,CL,CLC,CLCL,CLCLA,ø,7,12,9,7,3,6,4,3,-1,light,light,light,light,o,o,o,c,CL,CL,AL,LC,C,C,A,,,,,C,L,L,L,L,2,2,2,2,0,0,0,1,1,1,1,0,2,2,2,2,CVV,CVV,CVV,VVC,0,0,0,0,A,ø,F,0,delizioes,ultima
ren,ø,n,en,ren,eren,ieren,C,KC,CKC,LCKC,CLCKC,ø,de,ø,d,de,ø,ø,ø,C,CL,CLC,CLCL,CLCLC,ø,7,10,9,13,3,5,4,4,1,light,light,light,schwa,o,o,o,c,CL,CL,CL,CKC,C,C,C,C,,,,C,L,L,L,K,2,2,3,3,0,0,0,1,1,1,1,1,2,2,2,1,CVV,CVV,CVV,CVC,0,0,0,2,V,ø,F,0,delogieren,paenultima
mig,ø,g,ig,mig,rmig,ermig,C,KC,CKC,CCKC,KCCKC,noacc,ø,ø,d,de,ø,ø,ø,C,CK,CKC,CKCC,CKCCL,ø,11,11,11,12,3,5,3,4,0,light,light,light,light,c,o,c,c,CKC,CL,CKC,CKC,C,C,C,C,C,,C,C,K,L,K,K,3,2,3,3,1,0,1,1,1,1,1,1,1,2,1,1,CVC,CVV,CVC,CVC,2,0,2,2,A,NN,F,2,deltafoermig,prima
ø,ø,d,ø,ø,ø,ø,C,LC,LLC,CLLC,ø,ø,De,ø,D,ø,ø,ø,ø,C,CL,CLC,CLCK,CLCKC,ø,7,12,7,9,3,4,3,4,0,light,light,light,light,o,c,o,c,CL,CKC,CL,LC,C,C,C,,,C,,C,L,K,L,L,2,3,2,2,0,1,0,1,1,1,1,0,2,1,2,2,CVV,CVC,CVV,VVC,0,2,0,0,N,ø,T,0,Demantoid,ultima
ren,ø,n,en,ren,eren,ieren,C,KC,CKC,LCKC,CLCKC,ø,de,ø,d,de,ø,ø,ø,C,CL,CLC,CLCK,CLCKC,ø,7,13,9,13,3,4,4,4,1,light,light,light,schwa,o,c,o,c,CL,CKC,CL,CKC,C,C,C,C,,C,,C,L,K,L,K,2,3,3,3,0,1,0,1,1,1,1,1,2,1,2,1,CVV,CVC,CVV,CVC,0,2,0,2,V,V,F,1,demarkieren,paenultima
ren,ø,n,en,ren,eren,ieren,C,KC,CKC,LCKC,CLCKC,ø,de,ø,d,de,ø,ø,ø,C,CL,CLC,CLCK,CLCKC,ø,7,10,9,13,3,3,4,4,1,light,light,light,schwa,o,c,o,c,CL,CKC,CL,CKC,C,C,C,C,,C,,C,L,K,L,K,2,2,4,3,0,1,0,1,1,1,1,1,2,1,2,1,CVV,CVC,CVV,CVC,0,2,0,2,V,V,F,1,demaskieren,paenultima
