syl_suffix,signi_suffix,suffix1,suffix2,suffix3,suffix4,suffix5,suffix_phoncat1,suffix_phoncat2,suffix_phoncat3,suffix_phoncat4,suffix_phoncat5,suff_class,syl_praefix,signi_praefix,praefix1,praefix2,praefix3,praefix4,praefix5,praefix_phoncat1,praefix_phoncat2,praefix_phoncat3,praefix_phoncat4,praefix_phoncat5,prae_class,sonority0,sonority1,sonority2,sonority3,sonority4,sonority_ratio0,sonority_ratio1,sonority_ratio2,sonority_ratio3,sonority_ratio4,sonority_dir,syl_weight0,syl_weight1,syl_weight2,syl_weight3,syl_weight4,syl_open0,syl_open1,syl_open2,syl_open3,syl_open4,syl_phoncat0,syl_phoncat1,syl_phoncat2,syl_phoncat3,syl_phoncat4,onset_phoncat0,onset_phoncat1,onset_phoncat2,onset_phoncat3,onset_phoncat4,koda_phoncat0,koda_phoncat1,koda_phoncat2,koda_phoncat3,koda_phoncat4,nucleus_phoncat0,nucleus_phoncat1,nucleus_phoncat2,nucleus_phoncat3,nucleus_phoncat4,syl_len0,syl_len1,syl_len2,syl_len3,syl_len4,koda_len0,koda_len1,koda_len2,koda_len3,koda_len4,onset_len0,onset_len1,onset_len2,onset_len3,onset_len4,nucleus_len0,nucleus_len1,nucleus_len2,nucleus_len3,nucleus_len4,syl_cv0,syl_cv1,syl_cv2,syl_cv3,syl_cv4,cv_ratio0,cv_ratio1,cv_ratio2,cv_ratio3,cv_ratio4,pos,comp_struct,nomen,comp_len,Word,stress_class
te,ø,e,te,lte,elte,ielte,K,CK,CCK,LCCK,CLCCK,ø,so,ø,s,so,sou,soun,sound,C,CL,CLK,CLKC,CLKCC,ø,7,12,7,13,7,3,4,3,4,3,0,light,heavy,light,light,schwa,o,c,o,c,o,CL,KCC,CL,CLC,CK,C,,C,C,C,,CC,,C,,L,K,L,L,K,2,3,2,4,2,0,2,0,1,0,1,0,1,1,1,2,1,2,2,1,CVV,VCC,CVV,CVVC,CV,0,2,0,1,1,X,ø,F,2,soundsovielte,multa
nackt,ø,t,kt,ckt,ackt,nackt,C,CC,KCC,CKCC,CCKCC,ø,split,ø,s,sp,spl,spli,split,C,CC,CCC,CCCK,CCCKC,ø,14,11,11,11,11,3,3,5,3,2,-1,light,schwa,light,schwa,heavy,c,c,o,c,c,CCCK,CKC,CL,CKC,CKCC,CCC,C,C,C,C,,C,,C,CC,K,K,L,K,K,5,3,2,3,5,1,1,0,1,2,3,1,1,1,1,1,1,2,1,1,CCCVC,CVC,CVV,CVC,CVCC,4,2,0,2,3,A,NA,F,2,splitterfasernackt,multa
lig,ø,g,ig,lig,ilig,eilig,C,KC,CKC,DCKC,CDCKC,noacc,ster,ø,s,st,ste,ster,sterb,C,CC,CCK,CCKC,CCKCC,ø,12,11,13,11,13,3,2,4,5,4,0,light,schwa,light,light,light,c,c,c,o,c,CCKC,CKCC,CKC,CD,CKC,CC,C,C,C,C,C,CC,C,,C,K,K,K,D,K,4,4,4,3,3,1,2,1,0,1,2,1,1,1,1,1,1,1,2,1,CCVC,CVCC,CVC,CVV,CVC,3,3,2,0,2,A,ø,F,2,sterbenslangweilig,multa
tisch,ø,h,ch,sch,isch,tisch,C,KC,CKC,LCKC,LLCKC,ø,s2d,ø,s,su,sue,sued,sueda,C,CL,CLC,CLCK,CLCKC,ø,10,6,9,10,10,3,6,4,10,3,0,light,light,light,light,light,c,c,o,o,c,CLC,K,CL,L,CKC,C,,C,,C,C,,,,C,L,K,L,L,K,3,1,2,1,5,1,1,0,0,1,1,0,1,0,1,2,1,2,2,1,CVVC,VC,CVV,VV,CVC,1,1,0,0,2,A,ø,F,0,suedasiatisch,multa
isch,isch,h,ch,sch,isch,eisch,C,KC,LKC,CLKC,LCLKC,ø,s2d,ø,s,su,sue,sued,suede,C,CL,CLC,CLCD,CLCDC,ø,10,10,10,7,9,3,10,5,3,4,-1,light,light,light,light,light,c,o,o,o,c,CLC,D,CL,CL,KC,C,,C,C,,C,,,,C,L,D,L,L,K,3,2,2,2,4,1,0,0,0,1,1,0,1,1,0,2,2,2,2,1,CVVC,VV,CVV,CVV,VC,1,0,0,0,1,A,NN,F,2,suedeuropaeisch,multa
se,ø,e,se,ise,eise,weise,K,CK,DCK,CDCK,CCDCK,ø,t3,ø,t,to,toe,toer,toeri,C,CL,CLC,CLCK,CLCKC,ø,7,13,11,11,7,3,4,3,5,3,-1,light,light,schwa,light,schwa,o,c,c,o,o,CL,CKC,CKC,CD,CK,C,C,C,C,C,,C,C,,,L,K,K,D,K,2,4,3,3,2,0,1,1,0,0,1,1,1,1,1,2,1,1,2,1,CVV,CVC,CVC,CVV,CV,0,2,2,0,1,ADV,A,F,1,toerichterweise,multa
se,ø,e,se,ise,eise,weise,K,CK,DCK,CDCK,CCDCK,ø,2b,ø,u,ue,ueb,uebl,uebli,L,LC,LCC,LCCK,LCCKC,ø,9,12,11,11,7,4,6,3,5,3,-1,light,light,schwa,light,schwa,c,c,c,o,o,LC,CK,CKC,CD,CK,,C,C,C,C,C,,C,,,L,K,K,D,K,2,2,4,3,2,1,1,1,0,0,0,1,1,1,1,2,1,1,2,1,VVC,CVC,CVC,CVV,CV,0,2,2,0,1,ADV,A,F,1,ueblicherweise,multa
se,ø,e,se,ise,eise,weise,K,CK,DCK,CDCK,CCDCK,ø,un,ø,u,un,unn,unnu,unnue,K,KC,KCC,KCCK,KCCKA,ø,11,11,11,11,7,5,5,3,5,3,-1,light,light,schwa,light,schwa,c,c,c,o,o,KC,CK,AKC,CD,CK,,C,A,C,C,C,,C,,,K,K,K,D,K,2,3,3,3,2,1,1,1,0,0,0,1,1,1,1,1,1,1,2,1,VC,CVC,CVC,CVV,CV,1,2,2,0,1,ADV,A,F,1,unnuetzerweise,multa
chen,chen,n,en,hen,chen,ichen,C,KC,CKC,DCKC,CDCKC,ø,un,ø,u,un,uns,unse,unser,K,KC,KCC,KCCK,KCCKC,ø,11,7,11,15,10,5,3,3,5,3,0,light,schwa,schwa,light,schwa,c,o,c,o,c,KC,CK,CKC,CCD,CKC,,C,C,CC,C,C,,C,,C,K,K,K,D,K,2,2,3,4,4,1,0,1,0,1,0,1,1,2,1,1,1,1,2,1,VC,CV,CVC,CCVV,CVC,1,1,2,1,2,X,ø,F,2,unseresgleichen,multa
isch,isch,h,ch,sch,isch,aisch,C,KC,LKC,CLKC,CCLKC,ø,u,ø,u,ur,ura,ural,urala,L,LC,LCL,LCLC,LCLCK,ø,8,18,10,11,9,8,6,5,5,4,-1,light,light,light,light,light,o,c,c,o,c,L,CLC,KC,CL,KC,,C,,C,,,C,C,,C,L,L,K,L,K,1,3,2,2,4,0,1,1,0,1,0,1,0,1,0,2,2,1,2,1,VV,CVVC,VC,CVV,VC,0,1,1,0,1,A,A,F,1,uralaltaisch,multa
$en,ø,n,en,sen,ssen,assen,C,KC,CKC,LCKC,CLCKC,ø,ver,ver,v,ve,ver,verd,verdi,C,CK,CKC,CKCC,CKCCL,ø,11,12,11,13,10,3,4,3,6,3,-1,light,light,schwa,light,schwa,c,c,c,o,c,CKC,CLC,CKC,CL,CKC,C,C,C,C,C,C,C,C,,C,K,L,K,L,K,3,4,3,2,3,1,1,1,0,1,1,1,1,1,1,1,2,1,2,1,CVC,CVVC,CVC,CVV,CVC,2,1,2,0,2,ADV,A,F,1,verdientermassen,multa
lei,ø,i,ei,lei,rlei,erlei,D,CD,CCD,KCCD,CKCCD,ø,ver,ver,v,ve,ver,vers,versc,C,CK,CKC,CKCC,CKCCL,ø,11,9,7,13,14,3,4,3,4,7,1,light,light,schwa,schwa,light,c,o,o,c,o,CKC,CL,CK,CKC,CD,C,C,C,C,C,C,,,C,,K,L,K,K,D,3,5,2,3,3,1,0,0,1,0,1,1,1,1,1,1,2,1,1,2,CVC,CVV,CV,CVC,CVV,2,0,1,2,0,X,A,F,1,verschiedenerlei,multa
isch,isch,h,ch,sch,isch,eisch,C,KC,LKC,CLKC,LCLKC,ø,west,ø,w,we,wes,west,weste,C,CK,CKC,CKCC,CKCCD,ø,9,10,10,7,9,2,10,5,3,4,-1,heavy,light,light,light,light,c,o,o,o,c,CKCC,D,CL,CL,KC,C,,C,C,,CC,,,,C,K,D,L,L,K,4,2,2,2,4,2,0,0,0,1,1,0,1,1,0,1,2,2,2,1,CVCC,VV,CVV,CVV,VC,3,0,0,0,1,A,ø,F,0,westeuropaeisch,multa
falls,ø,s,ls,lls,alls,falls,C,CC,KCC,CKCC,CCKCC,ø,zu,zu,z,zu,zut,zutr,zutre,A,AL,ALC,ALCC,ALCCK,ø,9,11,10,10,12,4,3,3,3,3,0,light,light,schwa,schwa,heavy,o,c,c,c,c,AL,CCK,CKC,CKC,CKCC,A,CC,C,C,C,,,C,C,CC,L,K,K,K,K,2,4,3,3,5,0,1,1,1,2,1,2,1,1,1,2,1,1,1,1,CVV,CCVC,CVC,CVC,CVCC,0,3,2,2,3,ADV,AN,F,2,zutreffendenfalls,multa
