syl_suffix,signi_suffix,suffix1,suffix2,suffix3,suffix4,suffix5,suffix_phoncat1,suffix_phoncat2,suffix_phoncat3,suffix_phoncat4,suffix_phoncat5,suff_class,syl_praefix,signi_praefix,praefix1,praefix2,praefix3,praefix4,praefix5,praefix_phoncat1,praefix_phoncat2,praefix_phoncat3,praefix_phoncat4,praefix_phoncat5,prae_class,sonority0,sonority1,sonority2,sonority3,sonority_ratio0,sonority_ratio1,sonority_ratio2,sonority_ratio3,sonority_dir,syl_weight0,syl_weight1,syl_weight2,syl_weight3,syl_open0,syl_open1,syl_open2,syl_open3,syl_phoncat0,syl_phoncat1,syl_phoncat2,syl_phoncat3,onset_phoncat0,onset_phoncat1,onset_phoncat2,onset_phoncat3,koda_phoncat0,koda_phoncat1,koda_phoncat2,koda_phoncat3,nucleus_phoncat0,nucleus_phoncat1,nucleus_phoncat2,nucleus_phoncat3,syl_len0,syl_len1,syl_len2,syl_len3,koda_len0,koda_len1,koda_len2,koda_len3,onset_len0,onset_len1,onset_len2,onset_len3,nucleus_len0,nucleus_len1,nucleus_len2,nucleus_len3,syl_cv0,syl_cv1,syl_cv2,syl_cv3,cv_ratio0,cv_ratio1,cv_ratio2,cv_ratio3,pos,comp_struct,nomen,comp_len,Word,stress_class
dukt,ø,t,kt,ukt,dukt,odukt,C,CC,KCC,CKCC,LCKCC,ø,Ab,ø,A,Ab,Abf,Abfa,Abfal,K,KC,KCC,KCCK,KCCKC,acc,7,11,11,11,3,3,3,2,1,light,light,light,heavy,c,c,o,c,KC,CKC,CCL,CKCC,,C,CC,C,C,C,,CC,K,K,L,K,2,4,3,4,1,1,0,2,0,1,2,1,1,1,2,1,VC,CVC,CCVV,CVCC,1,2,1,3,N,VN,T,2,Abfallprodukt,prima
tel,ø,l,el,tel,ttel,ittel,C,KC,CKC,KCKC,CKCKC,ø,Ab,ø,A,Ab,Abf,Abfu,Abfue,K,KC,KCC,KCCL,KCCLC,acc,7,13,11,11,3,4,5,3,1,light,light,light,schwa,c,c,c,c,KC,CLC,CK,CKC,,C,C,C,C,C,,C,K,L,K,K,2,4,3,3,1,1,1,1,0,1,1,1,1,2,1,1,VC,CVVC,CVC,CVC,1,1,2,2,N,VN,T,2,Abfuehrmittel,prima
soll,ø,l,ll,oll,soll,esoll,C,KC,CKC,KCKC,CKCKC,ø,Ab,ø,A,Ab,Abg,Abga,Abgab,K,KC,KCC,KCCL,KCCLC,acc,7,11,7,11,3,5,3,3,0,light,light,schwa,light,c,o,o,c,KC,CL,CK,CKC,,C,C,C,C,,,C,K,L,K,K,2,2,2,4,1,0,0,1,0,1,1,1,1,2,1,1,VC,CVV,CV,CVC,1,0,1,2,N,NN,T,2,Abgabesoll,prima
nis,nis,s,is,nis,gnis,ugnis,C,KC,CKC,CCKC,DCCKC,noacc,Ab,ø,A,Ab,Abg,Abga,Abgan,K,KC,KCC,KCCK,KCCKC,acc,7,11,12,12,3,2,4,4,1,light,heavy,light,light,c,c,c,c,KC,CKCC,ADC,CKC,,C,A,C,C,CC,C,C,K,K,D,K,2,5,4,3,1,2,1,1,0,1,1,1,1,1,2,1,VC,CVCC,CVVC,CVC,1,3,1,2,N,NN,T,2,Abgangszeugnis,prima
ge,ø,e,ge,nge,ange,lange,K,CK,KCK,CKCK,CCKCK,ø,Ab,ø,A,Ab,Abg,Abgo,Abgot,K,KC,KCC,KCCK,KCCKC,acc,7,8,11,9,3,2,3,4,1,light,light,light,schwa,c,c,c,o,KC,CKC,CCK,CK,,C,CC,C,C,C,,,K,K,K,K,2,4,6,2,1,1,1,0,0,1,2,1,1,1,1,1,VC,CVC,CCVC,CV,1,2,3,1,N,NN,T,2,Abgottschlange,prima
platz,ø,z,tz,atz,latz,platz,A,KA,CKA,CCKA,KCCKA,ø,Ab,ø,A,Ab,Abl,Abla,Ablad,K,KC,KCC,KCCL,KCCLC,acc,7,14,7,12,3,7,3,3,0,light,light,schwa,light,c,o,o,c,KC,CL,CK,CCKA,,C,C,CC,C,,,A,K,L,K,K,2,2,2,5,1,0,0,1,0,1,1,2,1,2,1,1,VC,CVV,CV,CCVC,1,0,1,3,N,VN,T,2,Abladeplatz,prima
ne,ø,e,ne,nne,inne,rinne,K,CK,KCK,CKCK,CCKCK,ø,Ab,ø,A,Ab,Abl,Abla,Ablau,K,KC,KCC,KCCD,KCCDC,acc,7,15,12,9,3,5,6,4,0,light,light,light,schwa,c,c,c,o,KC,CDC,CK,CK,,C,C,C,C,C,,,K,D,K,K,2,4,3,2,1,1,1,0,0,1,1,1,1,2,1,1,VC,CVVC,CVC,CV,1,1,2,1,N,VN,T,2,Ablaufrinne,prima
reit,ø,t,it,eit,reit,ereit,C,DC,CDC,KCDC,CKCDC,ø,ab,ab,a,ab,abm,abma,abmar,K,KC,KCC,KCCK,KCCKC,acc,7,14,7,15,3,3,3,5,1,light,heavy,schwa,light,c,c,o,c,KC,CKCC,CK,CDC,,C,C,C,C,CC,,C,K,K,K,D,2,6,2,4,1,2,0,1,0,1,1,1,1,1,1,2,VC,CVCC,CV,CVVC,1,3,1,1,A,NA,F,2,abmarschbereit,prima
land,ø,d,nd,and,land,rland,C,CC,KCC,CKCC,CCKCC,ø,Ab,ø,A,Ab,Abn,Abne,Abneh,K,KC,KCC,KCCL,KCCLC,acc,7,9,13,14,3,4,4,3,2,light,light,schwa,heavy,c,o,c,c,KC,CL,CKC,CKCC,,C,C,C,C,,C,CC,K,L,K,K,2,3,3,4,1,0,1,2,0,1,1,1,1,2,1,1,VC,CVV,CVC,CVCC,1,0,2,3,N,NN,T,2,Abnehmerland,prima
reit,ø,t,it,eit,reit,ereit,C,DC,CDC,KCDC,CKCDC,ø,ab,ab,a,ab,abr,abru,abruf,K,KC,KCC,KCCL,KCCLC,acc,7,13,7,15,3,4,3,5,1,light,light,schwa,light,c,c,o,c,KC,CLC,CK,CDC,,C,C,C,C,C,,C,K,L,K,D,2,3,2,4,1,1,0,1,0,1,1,1,1,2,1,2,VC,CVVC,CV,CVVC,1,1,1,1,A,ø,F,2,abrufbereit,prima
biet,ø,t,et,iet,biet,ebiet,C,LC,CLC,KCLC,CKCLC,ø,Ab,ø,A,Ab,Abs,Absa,Absat,K,KC,KCC,KCCK,KCCKA,acc,7,8,7,10,3,2,3,3,0,light,light,schwa,light,c,c,o,c,KC,CKA,CK,CLC,,C,C,C,C,A,,C,K,K,K,L,2,4,2,4,1,1,0,1,0,1,1,1,1,1,1,2,VC,CVC,CV,CVVC,1,2,1,1,N,NN,T,2,Absatzgebiet,prima
se,ø,e,se,ise,eise,weise,K,CK,DCK,CDCK,ACDCK,ø,ab,ab,a,ab,abs,absa,absat,K,KC,KCC,KCCK,KCCKA,acc,7,8,11,7,3,2,5,3,0,light,light,light,schwa,c,c,o,o,KC,CKA,CD,CK,,C,C,C,C,A,,,K,K,D,K,2,4,3,2,1,1,0,0,0,1,1,1,1,1,2,1,VC,CVC,CVV,CV,1,2,0,1,ADV,ø,F,2,absatzweise,prima
such,ø,h,ch,uch,such,esuch,C,LC,CLC,KCLC,CKCLC,ø,Ab,ø,A,Ab,Abs,Absc,Absch,K,KC,KCC,KCCL,KCCLA,acc,7,10,7,10,3,3,3,3,0,light,light,schwa,light,c,c,o,c,KC,CLA,CK,CLC,,C,C,C,C,A,,C,K,L,K,L,2,7,2,4,1,1,0,1,0,1,1,1,1,2,1,2,VC,CVVC,CV,CVVC,1,1,1,1,N,NN,T,2,Abschiedsbesuch,prima
lung,ø,g,ng,ung,lung,hlung,C,KC,CKC,LCKC,ALCKC,ø,Ab,ø,A,Ab,Abs,Absc,Absch,K,KC,KCC,KCCC,KCCCL,acc,7,17,11,15,3,3,5,5,1,light,heavy,light,light,c,c,o,c,KC,CCLCC,AL,CKC,,CC,A,C,C,CC,,C,K,L,L,K,2,7,3,4,1,2,0,1,0,2,1,1,1,2,2,1,VC,CCVVCC,CVV,CVC,1,2,0,2,N,NN,T,2,Abschlagszahlung,prima
fung,ø,g,ng,ung,fung,efung,C,KC,CKC,LCKC,CLCKC,ø,Ab,ø,A,Ab,Abs,Absc,Absch,K,KC,KCC,KCCC,KCCCK,acc,7,14,13,12,3,3,4,4,1,light,light,light,light,c,c,o,c,KC,CCKC,CCL,CKC,,CC,CC,C,C,C,,C,K,K,L,K,2,6,3,4,1,1,0,1,0,2,2,1,1,1,2,1,VC,CCVC,CCVV,CVC,1,3,1,2,N,NN,T,2,Abschlusspruefung,prima
tag,ø,g,ag,tag,htag,chtag,C,LC,CLC,CCLC,KCCLC,ø,Ab,ø,A,Ab,Abs,Absc,Absch,K,KC,KCC,KCCC,KCCCK,acc,7,14,11,12,3,3,2,4,1,light,light,light,light,c,c,c,c,KC,CCKC,CCKC,CLC,,CC,CC,C,C,C,C,C,K,K,K,L,2,6,5,3,1,1,1,1,0,2,2,1,1,1,1,2,VC,CCVC,CCVC,CVVC,1,3,3,1,N,NN,T,2,Abschlussstichtag,prima
se,ø,e,se,ise,eise,weise,K,CK,DCK,CDCK,ACDCK,ø,ab,ab,a,ab,abs,absc,absch,K,KC,KCC,KCCC,KCCCK,ø,7,13,11,7,3,3,5,3,-1,light,light,light,schwa,c,c,o,o,KC,CCKA,CD,CK,,CC,C,C,C,A,,,K,K,D,K,2,8,3,2,1,1,0,0,0,2,1,1,1,1,2,1,VC,CCVC,CVV,CV,1,3,0,1,ADV,ø,F,2,abschnittsweise,prima
pe,ø,e,pe,mpe,ampe,rampe,K,CK,CCK,KCCK,CKCCK,ø,Ab,ø,A,Ab,Abs,Absc,Absch,K,KC,KCC,KCCK,KCCKC,acc,7,10,13,7,3,3,4,3,0,light,light,light,schwa,c,c,c,o,KC,CKC,CKC,CK,,C,C,C,C,C,C,,K,K,K,K,2,5,3,2,1,1,1,0,0,1,1,1,1,1,1,1,VC,CVC,CVC,CV,1,2,2,1,N,NN,T,2,Abschussrampe,prima
