syl_len0,syl_len1,syl_len2,syl_len3,syl_len4,syl_len5,syl_len6,syl0,syl1,syl2,syl3,syl4,syl5,syl6,nk_suffix,praefix,basic_pos,comp_struct,sa_struct,prae_class,praefix1,praefix2,praefix3,praefix4,praefix5,suffix1,suffix2,suffix3,suffix4,suffix5,suff_class,rhyme0,rhyme1,rhyme2,rhyme3,rhyme4,rhyme5,rhyme6,cv_ratio0,cv_ratio1,cv_ratio2,cv_ratio3,cv_ratio4,cv_ratio5,cv_ratio6,koda_len0,koda_len1,koda_len2,koda_len3,koda_len4,koda_len5,koda_len6,onset_len0,onset_len1,onset_len2,onset_len3,onset_len4,onset_len5,onset_len6,nucleus_len0,nucleus_len1,nucleus_len2,nucleus_len3,nucleus_len4,nucleus_len5,nucleus_len6,comp_len,sonority0,sonority1,sonority2,sonority3,sonority4,sonority5,sonority6,sonority_ratio0,sonority_ratio1,sonority_ratio2,sonority_ratio3,sonority_ratio4,sonority_ratio5,sonority_ratio6,sonority_dir,syl_class0,syl_class1,syl_class2,syl_class3,syl_class4,syl_class5,syl_class6,onset_class0,onset_class1,onset_class2,onset_class3,onset_class4,onset_class5,onset_class6,koda_class0,koda_class1,koda_class2,koda_class3,koda_class4,koda_class5,koda_class6,nucleus_class0,nucleus_class1,nucleus_class2,nucleus_class3,nucleus_class4,nucleus_class5,nucleus_class6,syl_weight0,syl_weight1,syl_weight2,syl_weight3,syl_weight4,syl_weight5,syl_weight6,nomen,sylcnt,stress_class
2,2,3,2,3,3,3,An,ti,qui,t1,ten,han,del,el,ø,N,NN,SAS,ø,K,KC,KCC,KCCL,KCCLC,C,KC,CKC,CCKC,KCCKC,ø,VC,CVV,CCVV,CVV,CVC,CVC,CVC,1,0,1,0,2,2,2,1,0,0,0,1,1,1,0,1,2,1,1,1,1,1,2,2,2,1,1,1,2,1001,101,201,101,1101,1101,111,3,3,2,2,2,2,2,1,KC,CL,CCL,CL,CKC,CKC,CKC,,C,CC,C,C,C,C,C,,,,C,C,C,K,L,L,L,K,K,K,1,1,1,1,0,1,0,T,7,undef
2,3,2,2,3,2,5,Ap,pel,la,ti,ons,ge,richt,icht,ø,N,NN,SAS,ø,K,KC,KCK,KCKC,KCKCK,C,CC,KCC,CKCC,KCKCC,ø,VC,CVC,CVC,CVV,VVCC,CV,CVCC,1,2,2,0,1,1,3,1,1,1,0,2,0,2,0,1,1,1,0,1,1,1,1,1,2,2,1,1,2,1,101,11,101,1101,101,211,4,2,3,3,2,2,2,1,K,CK,CK,AL,LCC,CK,CKCC,,C,C,A,,C,C,,,,,CC,,CC,K,K,K,L,L,K,K,1,1,1,1,2,0,2,T,7,antepaenultima
2,2,2,2,3,3,4,Ar,te,ri,en,ver,kal,kung,ung,ø,N,NV,ø,ø,K,KC,KCC,KCCL,KCCLC,C,KC,CKC,CCKC,KCCKC,ø,VC,CVV,CVV,VC,CVC,CVC,CVC,1,0,0,1,2,2,2,1,0,0,1,1,1,1,0,1,1,0,1,1,1,1,2,2,1,1,1,1,2,11,101,11,1001,111,111,1101,3,2,4,3,2,2,2,1,KC,CL,CL,KC,CKC,CKC,CKC,,C,C,,C,C,C,C,,,C,C,C,C,K,L,L,K,K,K,K,1,1,1,0,1,1,1,T,7,sekunda
2,2,2,2,3,2,2,Ar,te,ri,os,kle,ro,se,e,ø,N,NN,SS,ø,K,KC,KCC,KCCL,KCCLC,K,CK,LCK,CLCK,LCLCK,ø,VC,CVV,CVV,VV,CCCVV,CVV,CV,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,3,1,1,1,2,2,2,2,2,1,2,11,101,11,1,211,11,101,3,2,4,4,2,3,2,1,KC,CL,CL,L,CCCL,CL,CK,,C,C,,CCC,C,C,C,,,,,,,K,L,L,L,L,L,K,1,1,1,1,1,1,0,T,7,paenultima
2,2,2,2,3,2,5,ar,te,ri,os,kle,ro,tisch,isch,ø,A,R,SA,ø,K,KC,KCC,KCCL,KCCLC,C,KC,CKC,LCKC,CLCKC,ø,VC,CVV,CVV,VV,CCCVV,CVV,CVC,1,0,0,0,1,0,2,1,0,0,0,0,0,1,0,1,1,0,3,1,1,1,2,2,2,2,2,1,1,11,101,11,1,211,11,201,3,2,4,4,2,3,2,1,KC,CL,CL,L,CCCL,CL,CKC,,C,C,,CCC,C,C,C,,,,,,C,K,L,L,L,L,L,K,1,1,1,1,1,1,1,F,7,paenultima
2,2,4,3,1,3,5,At,mo,sph1,ren,2,ber,druck,uck,ø,N,NN,SAS,ø,K,KC,KCC,KCCL,KCCLC,C,KC,CKC,CCKC,CCCKC,ø,VC,CVV,CCVV,CVC,VV,CVC,CCVC,1,0,1,2,0,2,3,1,0,0,1,0,1,1,0,1,2,1,0,1,2,1,2,2,1,2,1,1,2,101,1001,201,1011,1,111,211,2,3,2,3,5,2,2,-1,KC,CL,CCL,CKC,L,CKC,CCKC,,C,CC,C,,C,CC,C,,,C,,C,C,K,L,L,K,L,K,K,1,1,1,0,1,0,1,T,7,undef
3,3,2,5,2,4,3,aus,bes,se,rungs,be,d2rf,tig,ig,aus,A,NA,SAS,acc,D,DC,DCC,DCCK,DCCKC,C,KC,CKC,CCKC,CCCKC,ø,VVC,CVC,CV,CVCC,CV,CVCC,CVC,0,2,1,3,1,3,2,1,1,0,2,0,2,1,0,1,1,1,1,1,1,2,1,1,1,1,1,1,2,101,101,101,1111,101,211,201,3,2,2,2,2,2,2,1,DC,CK,CK,CKCC,CK,CKCC,CKC,,C,C,C,C,C,C,C,,,CC,,CC,C,D,K,K,K,K,K,K,1,1,0,2,0,2,1,F,7,prima
3,2,4,3,3,2,3,aus,ge,spro,che,ner,ma,$en,en,ø,ADV,A,SAA,ø,D,DC,DCC,DCCK,DCCKC,C,KC,CKC,LCKC,CLCKC,ø,VVC,CV,CCCVC,CV,CVC,CVV,CVC,0,1,4,1,2,0,2,1,0,1,0,1,0,1,0,1,3,1,1,1,1,2,1,1,1,1,2,1,1,101,101,211,101,1011,1001,1101,3,2,2,2,3,4,2,1,DC,CK,CCCK,CK,CKC,CL,CKC,,C,CCC,C,C,C,C,C,,,,C,,C,D,K,K,K,K,L,K,1,0,1,0,0,1,0,F,7,prima
3,3,2,2,3,2,4,Aus,rei,se,ge,neh,mi,gung,ung,aus,N,NV,ø,acc,D,DC,DCC,DCCD,DCCDC,C,KC,CKC,KCKC,CKCKC,ø,VVC,CVV,CV,CV,CVV,CVC,CVC,0,0,1,1,0,2,2,1,0,0,0,0,1,1,0,1,1,1,1,1,1,2,2,1,1,2,1,1,2,101,11,101,101,1001,1001,1101,3,4,2,2,3,3,2,1,DC,CD,CK,CK,CL,CK,CKC,,C,C,C,C,C,C,C,,,,,,C,D,D,K,K,L,K,K,1,1,0,0,1,1,1,T,7,prima
2,3,3,4,2,2,3,Au,$en,han,dels,po,li,tik,ik,aus,N,NN,SAS,acc,D,DC,DCK,DCKC,DCKCC,C,LC,CLC,LCLC,CLCLC,noacc,VV,CVC,CVC,CVCC,CVV,CVV,CVVC,0,2,2,3,0,0,1,0,1,1,2,0,0,1,0,1,1,1,1,1,1,2,1,1,1,2,2,2,2,1,1101,1101,211,101,11,201,6,2,2,2,2,4,2,-1,D,CKC,CKC,CKCC,CL,CL,CLC,,C,C,C,C,C,C,,C,C,CC,,,C,D,K,K,K,L,L,L,1,0,1,0,1,1,1,T,7,prima
2,3,2,2,3,2,2,Au,$en,mi,ni,ste,ri,um,um,aus,N,ø,SS,acc,D,DC,DCK,DCKC,DCKCC,C,KC,LKC,CLKC,LCLKC,ø,VV,CVC,CVV,CVC,CVV,CVV,VC,0,2,0,2,0,0,1,0,1,0,1,0,0,1,0,1,1,1,1,1,0,2,1,2,1,2,2,1,2,1,1101,1001,1101,101,11,1001,6,2,3,2,2,4,3,-1,D,CKC,CL,CKC,CL,CL,KC,,C,C,C,C,C,,,C,,C,,,C,D,K,L,K,L,L,K,1,0,1,1,1,1,1,T,7,prima
2,3,3,2,3,2,5,au,$er,par,la,men,ta,risch,isch,ø,A,ø,SS,ø,D,DC,DCK,DCKC,DCKCC,C,KC,CKC,LCKC,CLCKC,ø,VV,CVC,CVC,CVC,CVC,CVV,CVC,0,2,2,2,2,0,2,0,1,1,1,1,0,1,0,1,1,1,1,1,1,2,1,1,1,1,2,1,2,1,111,111,11,2001,101,111,6,2,2,3,2,3,3,1,D,CKC,CKC,CK,CKC,CL,CKC,,C,C,C,C,C,C,,C,C,,C,,C,D,K,K,K,K,L,K,1,0,1,1,1,1,1,F,7,prima
2,2,2,3,2,4,4,Au,to,ma,ten,re,stau,rant,ant,ø,N,NN,SAS,ø,D,DC,DCL,DCLC,DCLCL,N,CN,LCN,CLCN,CCLCN,ø,VV,CVV,CVV,CVC,CVVC,CVV,CVV,0,0,0,2,1,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,2,2,2,1,2,2,2,2,1,101,1001,1101,111,101,11,6,2,4,2,2,2,4,-1,D,CL,CL,CKC,CLC,CL,CN,,C,C,C,C,C,C,,,,C,C,,,D,L,L,K,L,L,N,1,1,1,0,1,1,1,T,7,undef
2,2,2,3,2,2,5,Au,to,mo,bil,in,du,strie,ie,ø,N,NN,SS,ø,D,DC,DCL,DCLC,DCLCL,L,CL,CCL,CCCL,KCCCL,ø,VV,CVV,CVV,CVVC,VC,CVC,CCVV,0,0,0,1,1,2,1,0,0,0,1,1,1,0,0,1,1,1,0,1,2,2,2,2,2,1,1,2,2,1,101,1001,111,1001,201,111,6,2,3,3,3,2,3,1,D,CL,CL,CLC,KC,CKC,CCL,,C,C,C,,C,CC,,,,C,C,C,,D,L,L,L,K,K,L,1,1,1,1,1,1,1,T,7,undef
3,2,2,2,2,4,3,bak,te,ri,en,be,st1n,dig,ig,ø,A,NA,SAS,ø,C,CK,CKC,CKCC,CKCCL,C,KC,CKC,CCKC,KCCKC,noacc,CVC,CVV,CVV,VC,CV,CCVC,CVC,2,0,0,1,1,3,2,1,0,0,1,0,1,1,1,1,1,0,1,2,1,1,2,2,1,1,1,1,2,201,101,11,1001,101,1201,201,2,2,4,3,2,2,2,1,CKC,CL,CL,KC,CK,CCKC,CKC,C,C,C,,C,CC,C,C,,,C,,C,C,K,L,L,K,K,K,K,1,1,1,0,0,1,1,F,7,sekunda
2,2,3,2,3,2,4,Be,am,ten,be,lei,di,gung,ung,ø,N,NV,ø,ø,C,CK,CKK,CKKC,CKKCC,C,KC,CKC,KCKC,CKCKC,ø,CV,VC,CVC,CV,CVV,CVC,CVC,1,1,2,1,0,2,2,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1,1,2,101,1001,1101,101,11,101,1101,2,3,2,2,4,3,2,1,CK,KC,CKC,CK,CD,CK,CKC,C,,C,C,C,C,C,,C,C,,,,C,K,K,K,K,D,K,K,0,1,0,0,1,1,1,T,7,sekunda
2,1,2,2,2,2,2,Be,a,ti,fi,ka,ti,on,on,ø,N,ø,ø,ø,C,CL,CLK,CLKC,CLKCL,C,LC,LLC,ALLC,KALLC,ø,CVV,VC,CVV,CVV,CVC,CVV,VVC,0,1,0,0,2,0,0,0,1,0,0,1,0,1,1,0,1,1,1,1,0,2,1,2,2,1,2,2,0,101,1,101,101,101,101,1001,2,4,3,3,2,3,3,1,CL,K,CL,CL,CK,AL,LC,C,,C,C,C,A,,,,,,,,C,L,K,L,L,K,L,L,1,1,1,1,1,1,1,T,7,ultima
2,3,2,2,4,3,2,be,da2,er,li,cher,wei,se,e,be,ADV,ø,SAS,noacc,C,CK,CKC,CKCD,CKCDK,K,CK,DCK,CDCK,CCDCK,ø,CV,CVV,VC,CVC,CVC,CVV,CV,1,0,1,2,2,0,1,0,0,1,1,1,0,0,1,1,0,1,1,1,1,1,2,1,1,1,2,1,2,101,101,11,11,111,101,101,2,3,3,4,2,3,2,1,CK,CD,KC,CK,CKC,CD,CK,C,C,,C,C,C,C,,,C,,C,,,K,D,K,K,K,D,K,0,1,0,1,0,1,0,F,7,paenultima
2,2,2,5,2,3,3,Be,er,di,gungs,in,sti,tut,ut,be,N,NN,SAS,noacc,C,CK,CKL,CKLC,CKLCC,C,LC,CLC,LCLC,CLCLC,ø,CV,VVC,CVC,CVCC,VC,CCVV,CVVC,1,0,2,3,1,1,1,0,1,1,2,1,0,1,1,0,1,1,0,2,1,1,2,1,1,1,2,2,2,101,11,101,1201,1001,201,201,2,3,3,2,3,2,2,1,CK,LC,CK,CKCC,KC,CCL,CLC,C,,C,C,,CC,C,,C,,CC,C,,C,K,L,K,K,K,L,L,0,1,1,2,1,1,1,T,7,sekunda
2,2,3,5,2,2,2,Be,fe,sti,gungs,an,la,ge,e,be,N,NN,SAS,noacc,C,CK,CKC,CKCK,CKCKC,K,CK,LCK,CLCK,CCLCK,ø,CV,CVC,CVC,CVCC,VC,CVV,CV,1,2,2,3,1,0,1,0,1,1,2,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,2,1,2,101,201,101,1201,1001,11,101,2,2,3,2,3,4,2,1,CK,CKC,CK,CKCC,KC,CL,CK,C,C,C,C,,C,C,,C,,CC,C,,,K,K,K,K,K,L,K,0,1,1,2,1,1,0,T,7,sekunda
