syl_suffix,signi_suffix,suffix1,suffix2,suffix3,suffix4,suffix5,suffix_phoncat1,suffix_phoncat2,suffix_phoncat3,suffix_phoncat4,suffix_phoncat5,suff_class,syl_praefix,signi_praefix,praefix1,praefix2,praefix3,praefix4,praefix5,praefix_phoncat1,praefix_phoncat2,praefix_phoncat3,praefix_phoncat4,praefix_phoncat5,prae_class,sonority0,sonority1,sonority2,sonority3,sonority4,sonority_ratio0,sonority_ratio1,sonority_ratio2,sonority_ratio3,sonority_ratio4,sonority_dir,syl_weight0,syl_weight1,syl_weight2,syl_weight3,syl_weight4,syl_open0,syl_open1,syl_open2,syl_open3,syl_open4,syl_phoncat0,syl_phoncat1,syl_phoncat2,syl_phoncat3,syl_phoncat4,onset_phoncat0,onset_phoncat1,onset_phoncat2,onset_phoncat3,onset_phoncat4,koda_phoncat0,koda_phoncat1,koda_phoncat2,koda_phoncat3,koda_phoncat4,nucleus_phoncat0,nucleus_phoncat1,nucleus_phoncat2,nucleus_phoncat3,nucleus_phoncat4,syl_len0,syl_len1,syl_len2,syl_len3,syl_len4,koda_len0,koda_len1,koda_len2,koda_len3,koda_len4,onset_len0,onset_len1,onset_len2,onset_len3,onset_len4,nucleus_len0,nucleus_len1,nucleus_len2,nucleus_len3,nucleus_len4,syl_cv0,syl_cv1,syl_cv2,syl_cv3,syl_cv4,cv_ratio0,cv_ratio1,cv_ratio2,cv_ratio3,cv_ratio4,pos,comp_struct,nomen,comp_len,Word,stress_class
me,ø,e,me,mme,umme,summe,K,CK,KCK,CKCK,CCKCK,ø,Ab,ø,A,Ab,Abf,Abfi,Abfin,K,KC,KCC,KCCK,KCCKC,acc,7,12,13,9,9,3,4,3,4,4,0,light,light,heavy,light,schwa,c,c,c,c,o,KC,CKC,CKCC,CK,CK,,C,C,C,C,C,C,CC,,,K,K,K,K,K,2,3,5,3,2,1,1,2,1,0,0,1,1,1,1,1,1,1,1,1,VC,CVC,CVCC,CVC,CV,1,2,3,2,1,N,NN,T,2,Abfindungssumme,prima
tig,ø,g,ig,tig,htig,chtig,C,KC,CKC,CCKC,KCCKC,noacc,ab,ab,a,ab,abg,abga,abgab,K,KC,KCC,KCCL,KCCLC,acc,7,11,10,14,10,3,5,3,3,3,0,light,light,schwa,light,light,c,o,c,c,c,KC,CL,CKC,ACKC,CKC,,C,C,AC,C,C,,C,C,C,K,L,K,K,K,2,2,3,6,3,1,0,1,1,1,0,1,1,2,1,1,2,1,1,1,VC,CVV,CVC,CCVC,CVC,1,0,2,3,2,A,NN,F,2,abgabenpflichtig,prima
te,ø,e,te,ete,nete,dnete,K,CK,KCK,CKCK,CCKCK,ø,Ab,ø,A,Ab,Abg,Abge,Abgeo,K,KC,KCC,KCCK,KCCKK,ø,7,7,10,10,7,3,3,5,3,3,0,light,schwa,light,schwa,schwa,c,o,c,o,o,KC,CK,KC,CCK,CK,,C,,CC,C,C,,C,,,K,K,K,K,K,2,2,3,2,2,1,0,1,0,0,0,1,0,2,1,1,1,1,1,1,VC,CV,VC,CCV,CV,1,1,1,2,1,N,F,T,1,Abgeordnete,prima
heit,heit,t,it,eit,heit,nheit,C,DC,CDC,CCDC,KCCDC,ø,Ab,ø,A,Ab,Abg,Abge,Abges,K,KC,KCC,KCCK,KCCKC,ø,7,7,9,10,12,3,3,4,3,4,1,light,schwa,light,schwa,light,c,o,o,c,c,KC,CK,CL,CKC,CDC,,C,C,C,C,C,,,C,C,K,K,L,K,D,2,2,5,3,4,1,0,0,1,1,0,1,1,1,1,1,1,2,1,2,VC,CV,CVV,CVC,CVVC,1,1,0,2,1,N,A,T,1,Abgeschiedenheit,prima
heit,heit,t,it,eit,heit,nheit,C,DC,CDC,CCDC,KCCDC,ø,Ab,ø,A,Ab,Abg,Abge,Abgew,K,KC,KCC,KCCK,KCCKC,ø,7,7,7,10,12,3,3,3,3,4,1,light,schwa,light,schwa,light,c,o,o,c,c,KC,CK,CL,CKC,CDC,,C,C,C,C,C,,,C,C,K,K,L,K,D,2,2,2,3,4,1,0,0,1,1,0,1,1,1,1,1,1,2,1,2,VC,CV,CVV,CVC,CVVC,1,1,0,2,1,N,A,T,1,Abgewogenheit,prima
ent,ent,t,nt,ent,ient,rient,C,CC,KCC,LKCC,CLKCC,ø,Ab,ø,A,Ab,Abi,Abit,Abitu,K,KC,KCL,KCLC,KCLCL,ø,6,9,9,12,10,6,4,4,6,3,1,light,light,light,light,heavy,c,o,o,o,c,K,CL,CL,CL,KCC,,C,C,C,,,,,,CC,K,L,L,L,K,2,1,2,2,3,1,0,0,0,2,0,1,1,1,0,1,2,2,2,1,VC,CVV,CVV,CVV,VCC,1,0,0,0,2,N,N,T,1,Abiturient,ultima
ren,ø,n,en,ren,eren,ieren,C,KC,CKC,LCKC,ALCKC,ø,ab,ab,a,ab,abj,abju,abjud,K,KC,KCC,KCCL,KCCLC,acc,7,14,9,9,13,3,7,4,4,4,0,light,light,light,light,schwa,c,o,o,o,c,KC,CL,CL,AL,CKC,,C,C,A,C,C,,,,C,K,L,L,L,K,2,2,2,3,3,1,0,0,0,1,0,1,1,1,1,1,2,2,2,1,VC,CVV,CVV,CVV,CVC,1,0,0,0,2,V,V,F,1,abjudizieren,paenultima
ren,ø,n,en,ren,eren,ieren,C,KC,CKC,LCKC,CLCKC,ø,ab,ab,a,ab,abk,abko,abkom,K,KC,KCC,KCCK,KCCKC,acc,7,7,12,9,13,3,3,4,4,4,1,light,light,light,light,schwa,c,c,c,o,c,KC,CK,CKC,CL,CKC,,C,C,C,C,C,,C,,C,K,K,K,L,K,2,3,3,3,3,1,1,1,0,1,0,1,1,1,1,1,1,1,2,1,VC,CVC,CVC,CVV,CVC,1,2,2,0,2,V,V,F,1,abkommandieren,prima
en,ø,n,en,ien,eien,feien,C,KC,DKC,CDKC,CCDKC,ø,ab,ab,a,ab,abk,abko,abkon,K,KC,KCC,KCCK,KCCKC,acc,7,10,11,11,9,3,3,3,5,4,0,light,light,schwa,light,schwa,c,c,c,o,c,KC,CKC,CKC,CD,KC,,C,C,C,,C,C,C,,C,K,K,K,D,K,2,3,3,3,2,1,1,1,0,1,0,1,1,1,0,1,1,1,2,1,VC,CVC,CVC,CVV,VC,1,2,2,0,1,V,V,F,1,abkonterfeien,prima
che,ø,e,he,che,ache,rache,K,CK,LCK,CLCK,CCLCK,ø,Ab,ø,A,Ab,Abk,Abku,Abkue,K,KC,KCC,KCCK,KCCKC,acc,7,13,13,16,7,3,4,3,4,3,0,light,light,heavy,light,schwa,c,c,c,o,o,KC,CKC,AKCC,CCCL,CK,,C,A,CCC,C,C,C,CC,,,K,K,K,L,K,2,3,5,4,3,1,1,2,0,0,0,1,1,3,1,1,1,1,2,1,VC,CVC,CVCC,CCCVV,CV,1,2,3,1,1,N,NN,T,2,Abkuerzungssprache,prima
chen,chen,n,en,hen,chen,ichen,C,KC,CKC,DCKC,ADCKC,ø,Ab,ø,A,Ab,Abk,Abku,Abkue,K,KC,KCC,KCCK,KCCKC,acc,7,13,13,11,10,3,4,3,5,3,0,light,light,heavy,light,schwa,c,c,c,o,c,KC,CKC,AKCC,AD,CKC,,C,A,A,C,C,C,CC,,C,K,K,K,D,K,2,3,5,3,4,1,1,2,0,1,0,1,1,1,1,1,1,1,2,1,VC,CVC,CVCC,CVV,CVC,1,2,3,0,2,N,NN,T,2,Abkuerzungszeichen,prima
be,ø,e,be,lbe,ilbe,silbe,K,CK,CCK,KCCK,CKCCK,ø,Ab,ø,A,Ab,Abl,Able,Ablei,K,KC,KCC,KCCD,KCCDC,acc,7,14,13,13,7,3,7,3,4,3,-1,light,light,heavy,light,schwa,c,o,c,c,o,KC,CD,CKCC,CKC,CK,,C,C,C,C,C,,CC,C,,K,D,K,K,K,2,3,5,3,2,1,0,2,1,0,0,1,1,1,1,1,2,1,1,1,VC,CVV,CVCC,CVC,CV,1,0,3,2,1,N,NN,T,2,Ableitungssilbe,prima
soll,ø,l,ll,oll,soll,ssoll,C,KC,CKC,CCKC,CCCKC,ø,Ab,ø,A,Ab,Abl,Abli,Ablie,K,KC,KCC,KCCL,KCCLC,acc,7,12,7,16,11,3,6,3,4,3,1,light,light,schwa,heavy,light,c,o,o,c,c,KC,CL,CK,CKCC,CKC,,C,C,C,C,C,,,CC,C,K,L,K,K,K,2,3,2,5,4,1,0,0,2,1,0,1,1,1,1,1,2,1,1,1,VC,CVV,CV,CVCC,CVC,1,0,1,3,2,N,NN,T,2,Ablieferungssoll,prima
bra,ø,a,ra,bra,abra,dabra,L,CL,CCL,LCCL,CLCCL,ø,A,ø,A,Ab,Abr,Abra,Abrak,L,LC,LCC,LCCK,LCCKC,ø,10,11,7,11,15,10,3,3,5,5,1,light,light,light,light,light,o,c,c,o,o,L,CCK,CK,CL,CCL,,CC,C,C,CC,,,,,,L,K,K,L,L,1,3,2,2,3,0,1,1,0,0,0,2,1,1,2,2,1,1,2,2,VV,CCVC,CVC,CVV,CCVV,0,3,2,0,1,N,ø,T,0,Abrakadabra,paenultima
ren,ø,n,en,ren,eren,ieren,C,KC,CKC,LCKC,CLCKC,ø,ab,ab,a,ab,abr,abre,abrea,K,KC,KCC,KCCL,KCCLK,acc,7,10,6,9,13,3,5,6,4,4,1,light,light,light,light,schwa,c,o,c,o,c,KC,CL,K,CL,CKC,,C,,C,C,C,,,,C,K,L,K,L,K,2,2,1,3,3,1,0,1,0,1,0,1,0,1,1,1,2,1,2,1,VC,CVV,VC,CVV,CVC,1,0,1,0,2,V,V,F,1,abreagieren,prima
der,ø,r,er,der,nder,ender,C,KC,CKC,CCKC,KCCKC,ø,Ab,ø,A,Ab,Abr,Abre,Abrei,K,KC,KCC,KCCD,KCCDC,acc,7,15,7,13,11,3,5,3,4,3,0,light,light,light,light,schwa,c,c,c,c,c,KC,CDC,CK,CKC,CKC,,C,C,C,C,C,C,,C,C,K,D,K,K,K,2,4,2,3,3,1,1,1,1,1,0,1,1,1,1,1,2,1,1,1,VC,CVVC,CVC,CVC,CVC,1,1,2,2,2,N,VN,T,2,Abreisskalender,prima
gend,ø,d,nd,end,gend,egend,C,CC,KCC,CKCC,LCKCC,ø,ab,ab,a,ab,abs,absc,absch,K,KC,KCC,KCCD,KCCDK,acc,7,11,10,10,11,3,5,5,5,2,0,light,light,light,light,schwa,c,o,c,o,c,KC,CD,KC,CL,CKCC,,C,,C,C,C,,C,,CC,K,D,K,L,K,2,5,2,2,4,1,0,1,0,2,0,1,0,1,1,1,2,1,2,1,VC,CVV,VC,CVV,CVCC,1,0,1,0,3,A,NF,F,2,abscheuerregend,prima
men,ø,n,en,men,amen,xamen,C,KC,CKC,LCKC,CLCKC,ø,Ab,ø,A,Ab,Abs,Absc,Absch,K,KC,KCC,KCCC,KCCCK,acc,7,14,6,12,12,3,3,6,4,4,0,light,light,light,light,schwa,c,c,c,o,c,KC,CCKC,K,CCL,CKC,,CC,,CC,C,C,C,,,C,K,K,K,L,K,2,6,2,1,3,1,1,1,0,1,0,2,0,2,1,1,1,1,2,1,VC,CCVC,VC,CCVV,CVC,1,3,1,1,2,N,NN,T,2,Abschlussexamen,prima
fe,ø,e,fe,afe,rafe,trafe,K,CK,LCK,CLCK,CCLCK,ø,Ab,ø,A,Ab,Abs,Absc,Absch,K,KC,KCC,KCCC,KCCCK,acc,7,11,13,16,7,3,3,3,4,3,0,light,light,heavy,light,schwa,c,c,c,o,o,KC,CCK,CKCC,CCCL,CK,,CC,C,CCC,C,C,,CC,,,K,K,K,L,K,2,5,6,4,2,1,1,2,0,0,0,2,1,3,1,1,1,1,2,1,VC,CCVC,CVCC,CCCVV,CV,1,3,3,1,1,N,NN,T,2,Abschreckungsstrafe,prima
rung,ø,g,ng,ung,rung,erung,C,KC,CKC,LCKC,CLCKC,ø,Ab,ø,A,Ab,Abs,Absi,Absic,K,KC,KCC,KCCK,KCCKC,acc,7,11,10,11,15,3,2,5,3,5,1,light,heavy,light,light,light,c,c,c,o,c,KC,CKCA,KC,CCL,CKC,,C,,CC,C,C,CA,C,,C,K,K,K,L,K,2,6,2,3,4,1,2,1,0,1,0,1,0,2,1,1,1,1,2,1,VC,CVCC,VC,CCVV,CVC,1,3,1,1,2,N,NV,T,2,Absichtserklaerung,prima
on,ø,n,on,ion,tion,ution,C,LC,LLC,ALLC,LALLC,ø,Ab,ø,A,Ab,Abs,Abso,Absol,K,KC,KCC,KCCL,KCCLC,ø,7,7,12,9,9,3,3,6,4,4,0,light,light,light,light,light,c,o,o,o,c,KC,CL,CL,AL,LC,,C,C,A,,C,,,,C,K,L,L,L,L,2,2,2,2,2,1,0,0,0,1,0,1,1,1,0,1,2,2,2,2,VC,CVV,CVV,CVV,VVC,1,0,0,0,0,N,R,T,1,Absolution,ultima
mus,ø,s,us,mus,smus,ismus,C,KC,CKC,CCKC,KCCKC,noacc,Ab,ø,A,Ab,Abs,Abso,Absol,K,KC,KCC,KCCL,KCCLC,ø,7,7,12,10,12,3,3,6,3,4,1,light,light,light,light,light,c,o,o,c,c,KC,CL,CL,CKC,CKC,,C,C,C,C,C,,,C,C,K,L,L,K,K,2,2,2,3,3,1,0,0,1,1,0,1,1,1,1,1,2,2,1,1,VC,CVV,CVV,CVC,CVC,1,0,0,2,2,N,A,T,1,Absolutismus,paenultima
stisch,ø,h,ch,sch,isch,tisch,C,KC,CKC,CCKC,KCCKC,ø,ab,ab,a,ab,abs,abso,absol,K,KC,KCC,KCCL,KCCLC,ø,7,7,12,10,10,3,3,6,3,3,0,light,light,light,light,light,c,o,o,c,c,KC,CL,CL,CKC,CKC,,C,C,C,C,C,,,C,C,K,L,L,K,K,2,2,2,2,6,1,0,0,1,1,0,1,1,1,1,1,2,2,1,1,VC,CVV,CVV,CVC,CVC,1,0,0,2,2,A,A,F,1,absolutistisch,paenultima
keit,keit,t,it,eit,keit,hkeit,C,DC,CDC,CCDC,KCCDC,ø,Ab,ø,A,Ab,Abs,Abso,Abson,K,KC,KCC,KCCK,KCCKC,acc,7,10,11,13,12,3,3,3,4,4,1,light,light,schwa,light,light,c,c,c,c,c,KC,CKC,CKC,CKC,CDC,,C,C,C,C,C,C,C,C,C,K,K,K,K,D,2,3,3,4,4,1,1,1,1,1,0,1,1,1,1,1,1,1,1,2,VC,CVC,CVC,CVC,CVVC,1,2,2,2,1,N,A,T,1,Absonderlichkeit,sekunda
m1$,ø,s,ss,ess,aess,maess,C,LC,CLC,KCLC,CKCLC,ø,ab,ab,a,ab,abs,absp,abspr,K,KC,KCC,KCCC,KCCCC,acc,7,16,7,7,10,3,4,3,3,3,-1,light,light,schwa,schwa,light,c,o,o,o,c,KC,CCCL,CK,CK,CLC,,CCC,C,C,C,C,,,,C,K,L,K,K,L,2,4,3,2,3,1,0,0,0,1,0,3,1,1,1,1,2,1,1,2,VC,CCCVV,CV,CV,CVVC,1,1,1,1,1,A,NA,F,2,absprachegemaess,prima
tier,ø,r,er,ier,tier,rtier,C,LC,CLC,CCLC,KCCLC,ø,Ab,ø,A,Ab,Abs,Abst,Abste,K,KC,KCC,KCCC,KCCCD,acc,7,12,7,12,13,3,4,3,3,4,1,light,light,schwa,light,light,c,o,o,c,c,KC,CCD,CK,CCKC,CLC,,CC,C,CC,C,C,,,C,C,K,D,K,K,L,2,4,2,4,4,1,0,0,1,1,0,2,1,2,1,1,2,1,1,2,VC,CCVV,CV,CCVC,CVVC,1,1,1,3,1,N,NN,T,2,Absteigequartier,prima
det,ø,t,et,det,rdet,hrdet,C,KC,CKC,CCKC,LCCKC,ø,ab,ab,a,ab,abs,abst,absti,K,KC,KCC,KCCC,KCCCL,acc,7,12,7,11,8,3,2,3,3,2,0,light,heavy,schwa,light,schwa,c,c,o,c,c,KC,CCLCC,CK,CLC,CKC,,CC,C,C,C,C,CC,,C,C,K,L,K,L,K,2,6,2,4,3,1,2,0,1,1,0,2,1,1,1,1,2,1,2,1,VC,CCVVCC,CV,CVVC,CVC,1,2,1,1,2,A,NF,F,2,abstiegsgefaehrdet,prima
se,ø,e,se,hse,chse,achse,K,CK,CCK,KCCK,CKCCK,ø,Ab,ø,A,Ab,Abs,Absz,Abszi,K,KC,KCC,KCCA,KCCAK,ø,8,9,10,7,7,2,4,3,3,3,-1,heavy,light,schwa,light,schwa,c,c,c,c,o,KCC,AK,CKC,KC,CK,,A,C,,C,CC,,C,C,,K,K,K,K,K,2,4,3,3,2,2,1,1,1,0,0,1,1,0,1,1,1,1,1,1,VCC,CVC,CVC,VC,CV,2,2,2,1,1,N,NN,T,2,Abszissenachse,sekunda
ter,ø,r,er,ter,iter,eiter,C,KC,CKC,DCKC,CDCKC,ø,Ab,ø,A,Ab,Abt,Abte,Abtei,K,KC,KCC,KCCD,KCCDC,acc,7,11,16,14,11,3,5,4,7,3,1,light,light,heavy,light,schwa,c,o,c,o,c,KC,CD,CKCC,CD,CKC,,C,C,C,C,C,,CC,,C,K,D,K,D,K,2,3,5,3,3,1,0,2,0,1,0,1,1,1,1,1,2,1,2,1,VC,CVV,CVCC,CVV,CVC,1,0,3,0,2,N,NV,T,2,Abteilungsleiter,prima
ren,ø,n,en,ren,eren,ieren,C,KC,CKC,LCKC,CLCKC,ø,ab,ab,a,ab,abt,abtr,abtra,K,KC,KCC,KCCC,KCCCK,acc,7,15,11,9,13,3,3,3,4,4,0,light,heavy,light,light,schwa,c,c,c,o,c,KC,CCKCC,CKC,CL,CKC,,CC,C,C,C,C,CC,C,,C,K,K,K,L,K,2,5,3,3,3,1,2,1,0,1,0,2,1,1,1,1,1,1,2,1,VC,CCVCC,CVC,CVV,CVC,1,4,2,0,2,V,V,F,1,abtransportieren,prima
se,ø,e,se,rse,erse,ferse,K,CK,CCK,KCCK,CKCCK,ø,A,ø,A,Ac,Ach,Achi,Achil,K,KC,KCK,KCKC,KCKCK,ø,6,9,11,11,7,6,4,3,3,3,0,light,light,light,light,schwa,c,c,c,c,o,K,CK,CKC,CKC,CK,,C,C,C,C,,,C,C,,K,K,K,K,K,1,4,3,3,2,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,VC,CVC,CVC,CVC,CV,1,2,2,2,1,N,ø,T,0,Achillesferse,sekunda
ne,ø,e,ne,hne,ehne,sehne,K,CK,LCK,CLCK,CCLCK,ø,A,ø,A,Ac,Ach,Achi,Achil,K,KC,KCK,KCKC,KCKCK,ø,6,9,11,7,9,6,4,3,3,4,0,light,light,light,light,schwa,c,c,c,o,o,K,CK,CKC,CL,CK,,C,C,C,C,,,C,,,K,K,K,L,K,1,4,3,3,2,1,1,1,0,0,0,1,1,1,1,1,1,1,2,1,VC,CVC,CVC,CVV,CV,1,2,2,0,1,N,ø,T,0,Achillessehne,sekunda
sie,ø,e,ie,sie,psie,opsie,L,CL,CCL,KCCL,CKCCL,ø,A,ø,A,Ac,Ach,Achr,Achro,K,KC,KCC,KCCL,KCCLC,ø,6,11,9,7,10,6,3,4,3,3,0,light,light,light,light,light,c,o,c,c,o,K,CCL,CK,CK,CCL,,CC,C,C,CC,,,,,,K,L,K,K,L,1,4,2,3,3,1,0,1,1,0,0,2,1,1,2,1,2,1,1,2,VC,CCVV,CVC,CVC,CCVV,1,1,2,2,1,N,ø,T,0,Achromatopsie,ultima
der,ø,r,er,der,nder,inder,C,KC,CKC,CCKC,KCCKC,ø,Ach,ø,A,Ac,Ach,Achs,Achse,K,KC,KCC,KCCK,KCCKC,ø,7,10,9,15,11,3,3,4,5,3,1,light,schwa,light,light,schwa,c,c,o,c,c,KC,CKC,AL,CKC,CKC,,C,A,C,C,C,C,,C,C,K,K,L,K,K,3,3,2,3,3,1,1,0,1,1,0,1,1,1,1,1,1,2,1,1,VC,CVC,CVV,CVC,CVC,1,2,0,2,2,N,NN,T,2,Achsenzylinder,prima
ter,ø,r,er,ter,eter,meter,C,KC,CKC,LCKC,CLCKC,ø,Achs,ø,A,Ac,Ach,Achs,Achsk,K,KC,KCC,KCCC,KCCCL,ø,8,9,10,9,11,2,4,5,4,3,0,heavy,light,light,light,schwa,c,o,o,o,c,KCC,CL,CL,CL,CKC,,C,C,C,C,CC,,,,C,K,L,L,L,K,4,2,2,2,3,2,0,0,0,1,0,1,1,1,1,1,2,2,2,1,VCC,CVV,CVV,CVV,CVC,2,0,0,0,2,N,NN,T,2,Achskilometer,prima
ke,ø,e,ke,rke,arke,marke,K,CK,CCK,KCCK,CKCCK,ø,Acht,ø,A,Ac,Ach,Acht,Achtp,K,KC,KCC,KCCA,KCCAK,ø,8,7,12,13,7,2,3,4,4,3,0,heavy,light,light,light,schwa,c,c,c,c,o,KCC,AK,CKC,CKC,CK,,A,C,C,C,CC,,C,C,,K,K,K,K,K,4,4,3,3,2,2,1,1,1,0,0,1,1,1,1,1,1,1,1,1,VCC,CVC,CVC,CVC,CV,2,2,2,2,1,N,ø,T,2,Achtpfennigmarke,sekunda
