syl_suffix,signi_suffix,suffix1,suffix2,suffix3,suffix4,suffix5,suffix_phoncat1,suffix_phoncat2,suffix_phoncat3,suffix_phoncat4,suffix_phoncat5,suff_class,syl_praefix,signi_praefix,praefix1,praefix2,praefix3,praefix4,praefix5,praefix_phoncat1,praefix_phoncat2,praefix_phoncat3,praefix_phoncat4,praefix_phoncat5,prae_class,sonority0,sonority1,sonority_ratio0,sonority_ratio1,sonority_dir,syl_weight0,syl_weight1,syl_open0,syl_open1,syl_phoncat0,syl_phoncat1,onset_phoncat0,onset_phoncat1,koda_phoncat0,koda_phoncat1,nucleus_phoncat0,nucleus_phoncat1,syl_len0,syl_len1,koda_len0,koda_len1,onset_len0,onset_len1,nucleus_len0,nucleus_len1,syl_cv0,syl_cv1,cv_ratio0,cv_ratio1,pos,comp_struct,nomen,comp_len,Word,stress_class
dist,ø,t,st,ist,dist,rdist,C,CC,KCC,CKCC,CCKCC,acc,Gar,ø,G,Ga,Gar,Gard,Gardi,C,CK,CKC,CKCC,CKCCK,ø,11,11,3,2,0,light,heavy,c,c,CKC,CKCC,C,C,C,CC,K,K,3,4,1,2,1,1,1,1,CVC,CVCC,2,3,N,N,T,1,Gardist,paenultima
rig,ø,g,ig,rig,erig,aerig,C,KC,CKC,LCKC,CLCKC,noacc,g1,ø,g,ga,gae,gaer,gaeri,C,CL,CLC,CLCK,CLCKC,ø,7,13,3,4,3,light,light,o,c,CL,CKC,C,C,,C,L,K,2,3,0,1,1,1,2,1,CVV,CVC,0,2,A,V,F,1,gaerig,paenultima
stig,ø,g,ig,tig,stig,rstig,C,KC,CKC,CCKC,CCCKC,ø,gar,ø,g,ga,gar,gars,garst,C,CK,CKC,CKCC,CKCCC,ø,11,11,3,2,0,light,light,c,c,CKC,CCKC,C,CC,C,C,K,K,3,4,1,1,1,2,1,1,CVC,CCVC,2,3,A,A,F,1,garstig,paenultima
stoff,ø,f,ff,off,toff,stoff,C,KC,CKC,CCKC,CCCKC,ø,G1r,ø,G,Ga,Gae,Gaer,Gaers,C,CL,CLC,CLCC,CLCCC,ø,11,9,3,2,-1,light,light,c,c,CLC,CCKC,C,CC,C,C,L,K,3,5,1,1,1,2,2,1,CVVC,CCVC,1,3,N,VN,T,2,Gaerstoff,paenultima
chen,chen,n,en,hen,chen,tchen,C,KC,CKC,CCKC,CCCKC,ø,G1rt,ø,G,Ga,Gae,Gaer,Gaert,C,CK,CKC,CKCC,CKCCC,ø,12,10,3,3,-1,heavy,schwa,c,c,CKCC,CKC,C,C,CC,C,K,K,4,4,2,1,1,1,1,1,CVCC,CVC,3,2,N,N,T,1,Gaertchen,paenultima
ten,ø,n,en,ten,rten,arten,C,KC,CKC,CCKC,LCCKC,ø,Gar,ø,G,Ga,Gar,Gart,Garte,C,CL,CLC,CLCC,CLCCK,ø,15,10,5,3,-2,light,schwa,c,c,CLC,CKC,C,C,C,C,L,K,3,3,1,1,1,1,2,1,CVVC,CVC,1,2,N,N,T,1,Garten,paenultima
ner,ø,r,er,ner,tner,rtner,C,KC,CKC,CCKC,CCCKC,ø,G1rt,ø,G,Ga,Gae,Gaer,Gaert,C,CL,CLC,CLCC,CLCCC,ø,11,14,3,3,2,light,schwa,c,c,CLC,CCKC,C,CC,C,C,L,K,4,3,1,1,1,2,2,1,CVVC,CCVC,1,3,N,N,T,1,Gaertner,paenultima
rung,ø,g,ng,ung,rung,erung,C,KC,CKC,LCKC,CLCKC,ø,G1,ø,G,Ga,Gae,Gaer,Gaeru,C,CL,CLC,CLCK,CLCKC,ø,7,15,3,5,4,light,light,o,c,CL,CKC,C,C,,C,L,K,2,4,0,1,1,1,2,1,CVV,CVC,0,2,N,V,T,1,Gaerung,paenultima
zeit,ø,t,it,eit,zeit,rzeit,C,DC,ADC,CADC,LCADC,ø,Gar,ø,G,Ga,Gar,Garz,Garze,C,CL,CLC,CLCA,CLCAD,ø,15,12,5,4,-1,light,light,c,c,CLC,ADC,C,A,C,C,L,D,3,4,1,1,1,1,2,2,CVVC,CVVC,1,1,N,VN,T,2,Garzeit,paenultima
sen,ø,n,en,sen,asen,gasen,C,KC,CKC,LCKC,CLCKC,ø,ga,ø,g,ga,gas,gase,gasen,C,CL,CLC,CLCK,CLCKC,ø,11,10,5,3,0,light,schwa,o,c,CL,CKC,C,C,,C,L,K,2,3,0,1,1,1,2,1,CVV,CVC,0,2,V,N,F,1,gasen,paenultima
herd,ø,d,rd,erd,herd,sherd,C,CC,LCC,CLCC,CCLCC,ø,Gas,ø,G,Ga,Gas,Gash,Gashe,C,CL,CLC,CLCC,CLCCL,ø,12,12,4,3,0,light,heavy,c,c,CLC,CLCC,C,C,C,CC,L,L,3,4,1,2,1,1,2,2,CVVC,CVVCC,1,1,N,NN,T,2,Gasherd,paenultima
sig,ø,g,ig,sig,asig,gasig,C,KC,CKC,LCKC,CLCKC,noacc,ga,ø,g,ga,gas,gasi,gasig,C,CL,CLC,CLCK,CLCKC,ø,11,10,5,3,0,light,light,o,c,CL,CKC,C,C,,C,L,K,2,3,0,1,1,1,2,1,CVV,CVC,0,2,A,N,F,1,gasig,paenultima
chen,chen,n,en,hen,chen,schen,C,KC,CKC,CCKC,KCCKC,ø,G1$,ø,G,Ga,Gae,Gaes,Gaess,C,CK,CKC,CKCC,CKCCK,ø,8,10,2,3,1,light,schwa,c,c,CKC,CKC,C,C,C,C,K,K,3,4,1,1,1,1,1,1,CVC,CVC,2,2,N,N,T,1,Gaesschen,paenultima
se,ø,e,se,sse,asse,Gasse,K,CK,KCK,CKCK,ø,ø,Gas,ø,G,Ga,Gas,Gass,Gasse,C,CK,CKC,CKCK,ø,ø,7,7,3,3,0,light,schwa,c,o,CK,CK,C,C,,,K,K,3,2,1,0,1,1,1,1,CVC,CV,2,1,N,N,T,1,Gasse,paenultima
lein,lein,n,in,ein,lein,slein,C,DC,CDC,CCDC,KCCDC,ø,G1$,ø,G,Ga,Gae,Gaes,Gaess,C,CK,CKC,CKCC,CKCCD,ø,8,17,2,5,5,light,light,c,c,CKC,CDC,C,C,C,C,K,D,3,4,1,1,1,1,1,2,CVC,CVVC,2,1,N,N,T,1,Gaesslein,paenultima
frei,ø,i,ei,rei,frei,tfrei,D,CD,CCD,CCCD,CCCCD,ø,gast,ø,g,ga,gas,gast,gastf,C,CK,CKC,CKCC,CKCCC,ø,9,15,2,5,3,heavy,light,c,o,CKCC,CCD,C,CC,CC,,K,D,4,4,2,0,1,2,1,2,CVCC,CCVV,3,1,A,NA,F,2,gastfrei,paenultima
haus,ø,s,us,aus,haus,thaus,C,DC,CDC,CCDC,CCCDC,ø,Gast,ø,G,Ga,Gas,Gast,Gasth,C,CK,CKC,CKCC,CKCCC,ø,9,12,2,4,2,heavy,light,c,c,CKCC,CDC,C,C,CC,C,K,D,4,4,2,1,1,1,1,2,CVCC,CVVC,3,1,N,NN,T,2,Gasthaus,paenultima
hof,ø,f,of,hof,thof,sthof,C,LC,CLC,CCLC,CCCLC,ø,Gast,ø,G,Ga,Gas,Gast,Gasth,C,CK,CKC,CKCC,CKCCC,ø,9,8,2,2,0,heavy,light,c,c,CKCC,CLC,C,C,CC,C,K,L,4,3,2,1,1,1,1,2,CVCC,CVVC,3,1,N,NN,T,2,Gasthof,paenultima
lich,ø,h,ch,ich,lich,tlich,C,KC,CKC,CCKC,CCCKC,noacc,gast,ø,g,ga,gas,gast,gastl,C,CK,CKC,CKCC,CKCCC,ø,9,13,2,4,2,heavy,light,c,c,CKCC,CKC,C,C,CC,C,K,K,4,4,2,1,1,1,1,1,CVCC,CVC,3,2,A,N,F,1,gastlich,paenultima
spiel,ø,l,el,iel,piel,spiel,C,LC,CLC,CCLC,CCCLC,ø,Gast,ø,G,Ga,Gas,Gast,Gasts,C,CK,CKC,CKCC,CKCCC,ø,9,14,2,3,3,heavy,light,c,c,CKCC,CCLC,C,CC,CC,C,K,L,4,5,2,1,1,2,1,2,CVCC,CCVVC,3,1,N,NN,T,2,Gastspiel,paenultima
