syl_suffix,signi_suffix,suffix1,suffix2,suffix3,suffix4,suffix5,suffix_phoncat1,suffix_phoncat2,suffix_phoncat3,suffix_phoncat4,suffix_phoncat5,syl_praefix,signi_praefix,praefix1,praefix2,praefix3,praefix4,praefix5,praefix_phoncat1,praefix_phoncat2,praefix_phoncat3,praefix_phoncat4,praefix_phoncat5,sonority0,sonority1,sonority_ratio0,sonority_ratio1,sonority_dir,syl_weight0,syl_weight1,syl_open0,syl_open1,syl_phoncat0,syl_phoncat1,onset_phoncat0,onset_phoncat1,koda_phoncat0,koda_phoncat1,nucleus_phoncat0,nucleus_phoncat1,syl_len0,syl_len1,koda_len0,koda_len1,onset_len0,onset_len1,nucleus_len0,nucleus_len1,syl_cv0,syl_cv1,cv_ratio0,cv_ratio1,pos,comp_struct,nomen,comp_len,Word,stress_class
ri,ø,i,ri,ori,Lori,ø,L,CL,LCL,CLCL,ø,Lo,ø,L,Lo,Lor,Lori,ø,C,CL,CLC,CLCL,ø,10,12,5,6,1,light,light,o,o,CL,CL,C,C,,,L,L,2,2,0,0,1,1,2,2,CVV,CVV,0,0,N,N,T,1,Lori,paenultima
sen,ø,n,en,sen,osen,losen,C,KC,CKC,LCKC,CLCKC,lo,ø,l,lo,los,lose,losen,C,CL,CLC,CLCK,CLCKC,10,10,5,3,0,light,schwa,o,c,CL,CKC,C,C,,C,L,K,2,3,0,1,1,1,2,1,CVV,CVC,0,2,V,N,F,1,losen,paenultima
sen,ø,n,en,sen,esen,oesen,C,KC,CKC,LCKC,CLCKC,l3,ø,l,lo,loe,loes,loese,C,CL,CLC,CLCK,CLCKC,10,10,5,3,0,light,schwa,o,c,CL,CKC,C,C,,C,L,K,2,3,0,1,1,1,2,1,CVV,CVC,0,2,V,B,F,1,loesen,paenultima
bar,bar,r,ar,bar,sbar,esbar,C,LC,CLC,CCLC,LCCLC,l3s,ø,l,lo,loe,loes,loesb,C,CL,CLC,CLCC,CLCCL,11,15,3,5,2,light,light,c,c,CLC,CLC,C,C,C,C,L,L,3,3,1,1,1,1,2,2,CVVC,CVVC,1,1,A,V,F,1,loesbar,paenultima
schen,ø,n,en,hen,chen,schen,C,KC,CKC,KCKC,CKCKC,l3,ø,l,lo,loe,loes,loesc,C,CK,CKC,CKCK,CKCKC,10,10,5,3,0,light,schwa,c,c,CK,CKC,C,C,,C,K,K,2,5,1,1,1,1,1,1,CVC,CVC,2,2,V,V,F,1,loeschen,paenultima
bar,bar,r,ar,bar,hbar,chbar,C,LC,CLC,CCLC,KCCLC,l3sch,ø,l,lo,loe,loes,loesc,C,CK,CKC,CKCC,CKCCL,11,15,3,5,2,light,light,c,c,CKC,CLC,C,C,C,C,K,L,5,3,1,1,1,1,1,2,CVC,CVVC,2,1,A,V,F,1,loeschbar,paenultima
schung,ø,g,ng,ung,hung,chung,C,KC,CKC,KCKC,CKCKC,L3,ø,L,Lo,Loe,Loes,Loesc,C,CK,CKC,CKCK,CKCKC,10,12,5,4,1,light,light,c,c,CK,CKC,C,C,,C,K,K,2,6,1,1,1,1,1,1,CVC,CVC,2,2,N,V,T,1,Loeschung,paenultima
kauf,ø,f,uf,auf,kauf,skauf,C,DC,CDC,CCDC,LCCDC,Los,ø,L,Lo,Los,Losk,Loska,C,CL,CLC,CLCC,CLCCD,11,12,3,4,1,light,light,c,c,CLC,CDC,C,C,C,C,L,D,3,4,1,1,1,1,2,2,CVVC,CVVC,1,1,N,V,T,1,Loskauf,paenultima
lich,ø,h,ch,ich,lich,slich,C,KC,CKC,CCKC,LCCKC,l3s,ø,l,lo,loe,loes,loesl,C,CL,CLC,CLCC,CLCCK,11,13,3,4,1,light,light,c,c,CLC,CKC,C,C,C,C,L,K,3,4,1,1,1,1,2,1,CVVC,CVC,1,2,A,V,F,1,loeslich,paenultima
$ig,ø,g,ig,sig,ssig,essig,C,KC,CKC,KCKC,CKCKC,l3,ø,l,lo,loe,loes,loess,C,CK,CKC,CKCK,CKCKC,10,10,5,3,0,light,light,c,c,CK,CKC,C,C,,C,K,K,2,3,1,1,1,1,1,1,CVC,CVC,2,2,A,N,F,1,loessig,paenultima
sung,ø,g,ng,ung,sung,osung,C,KC,CKC,LCKC,CLCKC,Lo,ø,L,Lo,Los,Losu,Losun,C,CL,CLC,CLCK,CLCKC,10,12,5,4,1,light,light,o,c,CL,CKC,C,C,,C,L,K,2,4,0,1,1,1,2,1,CVV,CVC,0,2,N,V,T,1,Losung,paenultima
sung,ø,g,ng,ung,sung,esung,C,KC,CKC,LCKC,CLCKC,L3,ø,L,Lo,Loe,Loes,Loesu,C,CL,CLC,CLCK,CLCKC,10,12,5,4,1,light,light,o,c,CL,CKC,C,C,,C,L,K,2,4,0,1,1,1,2,1,CVV,CVC,0,2,N,V,T,1,Loesung,paenultima
ten,ø,n,en,ten,oten,loten,C,KC,CKC,LCKC,CLCKC,lo,ø,l,lo,lot,lote,loten,C,CL,CLC,CLCK,CLCKC,10,10,5,3,0,light,schwa,o,c,CL,CKC,C,C,,C,L,K,2,3,0,1,1,1,2,1,CVV,CVC,0,2,V,N,F,1,loten,paenultima
ten,ø,n,en,ten,eten,oeten,C,KC,CKC,LCKC,CLCKC,l3,ø,l,lo,loe,loet,loete,C,CL,CLC,CLCK,CLCKC,10,10,5,3,0,light,schwa,o,c,CL,CKC,C,C,,C,L,K,2,3,0,1,1,1,2,1,CVV,CVC,0,2,V,N,F,1,loeten,paenultima
tos,ø,s,os,tos,otos,Lotos,C,KC,CKC,LCKC,CLCKC,Lo,ø,L,Lo,Lot,Loto,Lotos,C,CL,CLC,CLCK,CLCKC,10,8,5,2,-1,light,light,o,c,CL,CKC,C,C,,C,L,K,2,3,0,1,1,1,2,1,CVV,CVC,0,2,N,N,T,1,Lotos,paenultima
sen,ø,n,en,sen,tsen,otsen,C,KC,AKC,LAKC,CLAKC,lot,ø,l,lo,lot,lots,lotse,C,CL,CLA,CLAK,CLAKC,10,10,5,3,0,light,schwa,o,c,CL,AKC,C,A,,C,L,K,3,3,0,1,1,1,2,1,CVV,CVC,0,2,V,N,F,1,lotsen,paenultima
se,ø,e,se,tse,otse,Lotse,K,AK,LAK,CLAK,ø,Lot,ø,L,Lo,Lot,Lots,Lotse,C,CL,CLA,CLAK,ø,10,7,5,3,-1,light,schwa,o,o,CL,AK,C,A,,,L,K,3,2,0,0,1,1,2,1,CVV,CV,0,1,N,N,T,1,Lotse,paenultima
tern,ø,n,rn,ern,tern,ttern,C,CC,KCC,CKCC,KCKCC,lot,ø,l,lo,lot,lott,lotte,C,CK,CKC,CKCK,CKCKC,10,14,5,3,2,light,schwa,c,c,CK,CKCC,C,C,,CC,K,K,3,4,1,2,1,1,1,1,CVC,CVCC,2,3,V,V,F,1,lottern,paenultima
to,ø,o,to,tto,otto,Lotto,L,CL,KCL,CKCL,ø,Lot,ø,L,Lo,Lot,Lott,Lotto,C,CK,CKC,CKCL,ø,10,7,5,3,-1,light,light,c,o,CK,CL,C,C,,,K,L,3,2,1,0,1,1,1,2,CVC,CVV,2,0,N,ø,T,0,Lotto,paenultima
trig,ø,g,ig,rig,trig,ttrig,C,KC,CKC,CCKC,KCCKC,lot,ø,l,lo,lot,lott,lottr,C,CK,CKC,CKCC,CKCCK,11,13,3,4,1,light,light,c,c,CKC,CKC,C,C,C,C,K,K,3,4,1,1,1,1,1,1,CVC,CVC,2,2,A,V,F,1,lottrig,paenultima
tung,ø,g,ng,ung,tung,etung,C,KC,CKC,LCKC,CLCKC,L3,ø,L,Lo,Loe,Loet,Loetu,C,CL,CLC,CLCK,CLCKC,10,12,5,4,1,light,light,o,c,CL,CKC,C,C,,C,L,K,2,4,0,1,1,1,2,1,CVV,CVC,0,2,N,V,T,1,Loetung,paenultima
tus,ø,s,us,tus,otus,Lotus,C,KC,CKC,LCKC,CLCKC,Lo,ø,L,Lo,Lot,Lotu,Lotus,C,CL,CLC,CLCK,CLCKC,10,10,5,3,0,light,light,o,c,CL,CKC,C,C,,C,L,K,2,3,0,1,1,1,2,1,CVV,CVC,0,2,N,N,T,1,Lotus,paenultima
we,ø,e,we,ewe,oewe,Loewe,K,CK,LCK,CLCK,ø,L3,ø,L,Lo,Loe,Loew,Loewe,C,CL,CLC,CLCK,ø,10,7,5,3,-1,light,schwa,o,o,CL,CK,C,C,,,L,K,2,2,0,0,1,1,2,1,CVV,CV,0,1,N,N,T,1,Loewe,paenultima
win,ø,n,in,win,ewin,oewin,C,KC,CKC,LCKC,CLCKC,L3,ø,L,Lo,Loe,Loew,Loewi,C,CL,CLC,CLCK,CLCKC,10,12,5,4,1,light,light,o,c,CL,CKC,C,C,,C,L,K,2,3,0,1,1,1,2,1,CVV,CVC,0,2,N,N,T,1,Loewin,paenultima
sen,ø,n,en,sen,hsen,chsen,C,KC,CKC,CCKC,KCCKC,luch,ø,l,lu,luc,luch,luchs,C,CK,CKC,CKCC,CKCCK,13,10,4,3,-1,light,schwa,c,c,CKC,CKC,C,C,C,C,K,K,4,3,1,1,1,1,1,1,CVC,CVC,2,2,V,N,F,1,luchsen,paenultima
chen,chen,n,en,hen,chen,kchen,C,KC,CKC,CCKC,KCCKC,L2ck,ø,L,Lu,Lue,Luec,Lueck,C,CK,CKC,CKCC,CKCCK,13,10,4,3,-1,light,schwa,c,c,CKC,CKC,C,C,C,C,K,K,4,4,1,1,1,1,1,1,CVC,CVC,2,2,N,N,T,1,Lueckchen,paenultima
cke,ø,e,ke,cke,ecke,uecke,K,CK,KCK,CKCK,ø,L2,ø,L,Lu,Lue,Luec,Lueck,C,CK,CKC,CKCK,ø,12,7,6,3,-2,light,schwa,c,o,CK,CK,C,C,,,K,K,2,3,1,0,1,1,1,1,CVC,CV,2,1,N,N,T,1,Luecke,paenultima
dern,ø,n,rn,ern,dern,udern,C,CC,KCC,CKCC,LCKCC,lu,ø,l,lu,lud,lude,luder,C,CL,CLC,CLCK,CLCKC,12,14,6,3,1,light,schwa,o,c,CL,CKCC,C,C,,CC,L,K,2,4,0,2,1,1,2,1,CVV,CVCC,0,3,V,V,F,1,ludern,paenultima
