syl_suffix,signi_suffix,suffix1,suffix2,suffix3,suffix4,suffix5,suffix_phoncat1,suffix_phoncat2,suffix_phoncat3,suffix_phoncat4,suffix_phoncat5,syl_praefix,signi_praefix,praefix1,praefix2,praefix3,praefix4,praefix5,praefix_phoncat1,praefix_phoncat2,praefix_phoncat3,praefix_phoncat4,praefix_phoncat5,sonority0,sonority1,sonority2,sonority3,sonority4,sonority5,sonority6,sonority7,sonority8,sonority_ratio0,sonority_ratio1,sonority_ratio2,sonority_ratio3,sonority_ratio4,sonority_ratio5,sonority_ratio6,sonority_ratio7,sonority_ratio8,sonority_dir,syl_weight0,syl_weight1,syl_weight2,syl_weight3,syl_weight4,syl_weight5,syl_weight6,syl_weight7,syl_weight8,syl_open0,syl_open1,syl_open2,syl_open3,syl_open4,syl_open5,syl_open6,syl_open7,syl_open8,syl_phoncat0,syl_phoncat1,syl_phoncat2,syl_phoncat3,syl_phoncat4,syl_phoncat5,syl_phoncat6,syl_phoncat7,syl_phoncat8,onset_phoncat0,onset_phoncat1,onset_phoncat2,onset_phoncat3,onset_phoncat4,onset_phoncat5,onset_phoncat6,onset_phoncat7,onset_phoncat8,koda_phoncat0,koda_phoncat1,koda_phoncat2,koda_phoncat3,koda_phoncat4,koda_phoncat5,koda_phoncat6,koda_phoncat7,koda_phoncat8,nucleus_phoncat0,nucleus_phoncat1,nucleus_phoncat2,nucleus_phoncat3,nucleus_phoncat4,nucleus_phoncat5,nucleus_phoncat6,nucleus_phoncat7,nucleus_phoncat8,syl_len0,syl_len1,syl_len2,syl_len3,syl_len4,syl_len5,syl_len6,syl_len7,syl_len8,koda_len0,koda_len1,koda_len2,koda_len3,koda_len4,koda_len5,koda_len6,koda_len7,koda_len8,onset_len0,onset_len1,onset_len2,onset_len3,onset_len4,onset_len5,onset_len6,onset_len7,onset_len8,nucleus_len0,nucleus_len1,nucleus_len2,nucleus_len3,nucleus_len4,nucleus_len5,nucleus_len6,nucleus_len7,nucleus_len8,syl_cv0,syl_cv1,syl_cv2,syl_cv3,syl_cv4,syl_cv5,syl_cv6,syl_cv7,syl_cv8,cv_ratio0,cv_ratio1,cv_ratio2,cv_ratio3,cv_ratio4,cv_ratio5,cv_ratio6,cv_ratio7,cv_ratio8,pos,comp_struct,nomen,comp_len,Word,stress_class
del,ø,l,el,del,ndel,andel,C,KC,CKC,CCKC,KCCKC,An,ø,A,An,Ant,Anti,Antiq,K,KC,KCC,KCCL,KCCLC,9,9,10,7,10,10,11,0,0,4,4,3,3,3,3,3,0,0,0,light,light,light,light,schwa,light,schwa,ø,ø,c,o,o,o,c,c,c,ø,ø,KC,CL,CCL,CL,CKC,CKC,CKC,ø,ø,,C,CC,C,C,C,C,ø,ø,C,,,,C,C,C,ø,ø,K,L,L,L,K,K,K,ø,ø,2,2,3,2,3,3,3,0,0,1,0,0,0,1,1,1,0,0,0,1,2,1,1,1,1,0,0,1,2,2,2,1,1,1,0,0,VC,CVV,CCVV,CVV,CVC,CVC,CVC,ø,ø,1,0,1,0,2,2,2,0,0,N,NN,T,2,Antiquitaetenhandel,undef
gend,ø,d,nd,end,gend,egend,C,CC,KCC,CKCC,LCKCC,ap,ø,a,ap,app,appe,appet,K,KC,KCL,KCLC,KCLCL,6,7,10,9,10,11,0,0,0,6,3,3,4,5,2,0,0,0,0,light,light,light,light,light,schwa,ø,ø,ø,c,o,c,c,o,c,ø,ø,ø,K,CL,CLC,KC,CL,CKCC,ø,ø,ø,,C,C,,C,C,ø,ø,ø,,,C,C,,CC,ø,ø,ø,K,L,L,K,L,K,ø,ø,ø,2,2,3,2,2,4,0,0,0,1,0,1,1,0,2,0,0,0,0,1,1,0,1,1,0,0,0,1,2,2,1,2,1,0,0,0,VC,CVV,CVVC,VC,CVV,CVCC,ø,ø,ø,1,0,1,1,0,3,0,0,0,A,NA,F,2,appetitanregend,undef
keit,keit,t,it,eit,keit,gkeit,C,DC,CDC,CCDC,KCCDC,Ap,ø,A,Ap,App,Appe,Appet,K,KC,KCL,KCLC,KCLCL,6,7,10,10,10,12,0,0,0,6,3,3,5,3,4,0,0,0,1,light,light,light,light,light,light,ø,ø,ø,c,o,c,o,c,c,ø,ø,ø,K,CL,CLC,CL,CKC,CDC,ø,ø,ø,,C,C,C,C,C,ø,ø,ø,,,C,,C,C,ø,ø,ø,K,L,L,L,K,D,ø,ø,ø,2,2,3,2,3,4,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,1,1,1,0,0,0,1,2,2,2,1,2,0,0,0,VC,CVV,CVVC,CVV,CVC,CVVC,ø,ø,ø,1,0,1,0,2,1,0,0,0,N,A,T,1,Appetitlosigkeit,undef
de,ø,e,de,ade,lade,elade,K,CK,LCK,CLCK,KCLCK,A,ø,A,Ap,Apr,Apri,Aprik,K,KC,KCC,KCCL,KCCLC,6,13,7,10,13,9,14,7,0,6,4,3,3,4,4,7,3,0,0,light,light,light,schwa,light,schwa,light,schwa,ø,c,o,o,c,c,o,o,o,ø,K,CCL,CL,CKC,CKC,CK,CL,CK,ø,,CC,C,C,C,C,C,C,ø,,,,C,C,,,,ø,K,L,L,K,K,K,L,K,ø,1,3,2,3,3,2,2,2,0,1,0,0,1,1,0,0,0,0,0,2,1,1,1,1,1,1,0,1,2,2,1,1,1,2,1,0,VC,CCVV,CVV,CVC,CVC,CV,CVV,CV,ø,1,1,0,2,2,1,0,1,0,N,NN,T,2,Aprikosenmarmelade,undef
den,ø,n,en,den,aden,faden,C,KC,CKC,LCKC,CLCKC,A,ø,A,Ar,Ari,Aria,Ariad,K,KC,KCL,KCLL,KCLLC,6,12,10,10,11,10,0,0,0,6,6,10,3,5,3,0,0,0,0,light,light,light,schwa,light,schwa,ø,ø,ø,c,o,o,o,o,c,ø,ø,ø,K,CL,L,CCK,CL,CKC,ø,ø,ø,,C,,CC,C,C,ø,ø,ø,,,,,,C,ø,ø,ø,K,L,L,K,L,K,ø,ø,ø,1,2,2,2,2,3,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,2,1,1,0,0,0,1,2,2,1,2,1,0,0,0,VC,CVV,VV,CCV,CVV,CVC,ø,ø,ø,1,0,0,2,0,2,0,0,0,N,ø,T,0,Ariadnefaden,undef
cke,ø,e,ke,cke,ocke,locke,K,CK,KCK,CKCK,CCKCK,Ar,ø,A,Ar,Arm,Arme,Armes,K,KC,KCC,KCCK,KCCKC,10,9,12,11,11,7,0,0,0,5,4,4,3,3,3,0,0,0,-1,light,schwa,light,schwa,light,schwa,ø,ø,ø,c,o,c,c,c,o,ø,ø,ø,KC,CK,CKC,CKC,CCK,CK,ø,ø,ø,,C,C,C,CC,C,ø,ø,ø,C,,C,C,,,ø,ø,ø,K,K,K,K,K,K,ø,ø,ø,2,2,3,3,3,3,0,0,0,1,0,1,1,1,0,0,0,0,0,1,1,1,2,1,0,0,0,1,1,1,1,1,1,0,0,0,VC,CV,CVC,CVC,CCVC,CV,ø,ø,ø,1,1,2,2,3,1,0,0,0,N,NN,T,2,Armesuenderglocke,undef
druck,ø,k,ck,uck,ruck,druck,C,KC,CKC,CCKC,CCCKC,At,ø,A,At,Atm,Atmo,Atmos,K,KC,KCC,KCCL,KCCLC,7,9,8,13,8,11,14,0,0,3,4,2,4,8,3,3,0,0,0,light,light,light,schwa,light,schwa,light,ø,ø,c,o,o,c,o,c,c,ø,ø,KC,CL,CCL,CKC,L,CKC,CCKC,ø,ø,,C,CC,C,,C,CC,ø,ø,C,,,C,,C,C,ø,ø,K,L,L,K,L,K,K,ø,ø,2,2,4,3,1,3,5,0,0,1,0,0,1,0,1,1,0,0,0,1,2,1,0,1,2,0,0,1,2,2,1,2,1,1,0,0,VC,CVV,CCVV,CVC,VV,CVC,CCVC,ø,ø,1,0,1,2,0,2,3,0,0,N,NN,T,2,Atmosphaerenueberdruck,undef
$en,ø,n,en,sen,ssen,issen,C,KC,CKC,DCKC,CDCKC,auf,auf,a,au,auf,aufe,aufei,D,DC,DCD,DCDC,DCDCK,11,13,9,11,11,10,0,0,0,5,6,4,3,5,3,0,0,0,-1,light,light,light,schwa,light,schwa,ø,ø,ø,c,c,c,c,o,c,ø,ø,ø,DC,DC,KC,CKC,CD,CKC,ø,ø,ø,,,,C,C,C,ø,ø,ø,C,C,C,C,,C,ø,ø,ø,D,D,K,K,D,K,ø,ø,ø,3,3,2,3,3,3,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,2,2,1,1,2,1,0,0,0,VVC,VVC,VC,CVC,CVV,CVC,ø,ø,ø,0,0,1,2,0,2,0,0,0,V,BV,F,2,aufeinanderbeissen,undef
gen,ø,n,en,gen,lgen,olgen,C,KC,CKC,CCKC,KCCKC,auf,auf,a,au,auf,aufe,aufei,D,DC,DCD,DCDC,DCDCK,11,13,9,11,11,10,0,0,0,5,6,4,3,3,3,0,0,0,-1,light,light,light,schwa,light,schwa,ø,ø,ø,c,c,c,c,c,c,ø,ø,ø,DC,DC,KC,CKC,CKC,CKC,ø,ø,ø,,,,C,C,C,ø,ø,ø,C,C,C,C,C,C,ø,ø,ø,D,D,K,K,K,K,ø,ø,ø,3,3,2,3,3,3,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,2,2,1,1,1,1,0,0,0,VVC,VVC,VC,CVC,CVC,CVC,ø,ø,ø,0,0,1,2,2,2,0,0,0,V,BV,F,2,aufeinanderfolgen,undef
gen,ø,n,en,gen,egen,legen,C,KC,CKC,LCKC,CLCKC,auf,auf,a,au,auf,aufe,aufei,D,DC,DCD,DCDC,DCDCK,11,13,9,11,10,10,0,0,0,5,6,4,3,5,3,0,0,0,-1,light,light,light,schwa,light,schwa,ø,ø,ø,c,c,c,c,o,c,ø,ø,ø,DC,DC,KC,CKC,CL,CKC,ø,ø,ø,,,,C,C,C,ø,ø,ø,C,C,C,C,,C,ø,ø,ø,D,D,K,K,L,K,ø,ø,ø,3,3,2,3,2,3,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,2,2,1,1,2,1,0,0,0,VVC,VVC,VC,CVC,CVV,CVC,ø,ø,ø,0,0,1,2,0,2,0,0,0,V,BV,F,2,aufeinanderlegen,undef
len,ø,n,en,len,llen,allen,C,KC,CKC,KCKC,CKCKC,auf,auf,a,au,auf,aufe,aufei,D,DC,DCD,DCDC,DCDCK,11,13,9,11,11,13,0,0,0,5,6,4,3,3,4,0,0,0,0,light,light,light,schwa,light,schwa,ø,ø,ø,c,c,c,c,c,c,ø,ø,ø,DC,DC,KC,CKC,CCK,CKC,ø,ø,ø,,,,C,CC,C,ø,ø,ø,C,C,C,C,,C,ø,ø,ø,D,D,K,K,K,K,ø,ø,ø,3,3,2,3,4,3,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,2,1,0,0,0,2,2,1,1,1,1,0,0,0,VVC,VVC,VC,CVC,CCVC,CVC,ø,ø,ø,0,0,1,2,3,2,0,0,0,V,BV,F,2,aufeinanderprallen,undef
sen,ø,n,en,sen,ssen,essen,C,KC,CKC,KCKC,CKCKC,auf,auf,a,au,auf,aufe,aufei,D,DC,DCD,DCDC,DCDCK,11,13,9,11,11,10,0,0,0,5,6,4,3,3,3,0,0,0,-1,light,light,light,schwa,light,schwa,ø,ø,ø,c,c,c,c,c,c,ø,ø,ø,DC,DC,KC,CKC,CCK,CKC,ø,ø,ø,,,,C,CC,C,ø,ø,ø,C,C,C,C,,C,ø,ø,ø,D,D,K,K,K,K,ø,ø,ø,3,3,2,3,4,3,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,2,1,0,0,0,2,2,1,1,1,1,0,0,0,VVC,VVC,VC,CVC,CCVC,CVC,ø,ø,ø,0,0,1,2,3,2,0,0,0,V,BV,F,2,aufeinanderpressen,undef
$en,ø,n,en,sen,ssen,ossen,C,KC,CKC,LCKC,CLCKC,auf,auf,a,au,auf,aufe,aufei,D,DC,DCD,DCDC,DCDCK,11,13,9,11,8,10,0,0,0,5,6,4,3,2,3,0,0,0,-1,light,light,light,schwa,light,schwa,ø,ø,ø,c,c,c,c,o,c,ø,ø,ø,DC,DC,KC,CKC,CCL,CKC,ø,ø,ø,,,,C,CC,C,ø,ø,ø,C,C,C,C,,C,ø,ø,ø,D,D,K,K,L,K,ø,ø,ø,3,3,2,3,3,3,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,2,1,0,0,0,2,2,1,1,2,1,0,0,0,VVC,VVC,VC,CVC,CCVV,CVC,ø,ø,ø,0,0,1,2,1,2,0,0,0,V,BV,F,2,aufeinanderstossen,undef
fen,ø,n,en,fen,ffen,effen,C,KC,CKC,KCKC,CKCKC,auf,auf,a,au,auf,aufe,aufei,D,DC,DCD,DCDC,DCDCK,11,13,9,11,11,10,0,0,0,5,6,4,3,3,3,0,0,0,-1,light,light,light,schwa,light,schwa,ø,ø,ø,c,c,c,c,c,c,ø,ø,ø,DC,DC,KC,CKC,CCK,CKC,ø,ø,ø,,,,C,CC,C,ø,ø,ø,C,C,C,C,,C,ø,ø,ø,D,D,K,K,K,K,ø,ø,ø,3,3,2,3,4,3,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,2,1,0,0,0,2,2,1,1,1,1,0,0,0,VVC,VVC,VC,CVC,CCVC,CVC,ø,ø,ø,0,0,1,2,3,2,0,0,0,V,BV,F,2,aufeinandertreffen,undef
men,ø,n,en,men,rmen,ermen,C,KC,CKC,CCKC,KCCKC,auf,auf,a,au,auf,aufe,aufei,D,DC,DCD,DCDC,DCDCK,11,13,9,11,13,12,0,0,0,5,6,4,3,4,4,0,0,0,0,light,light,light,schwa,light,schwa,ø,ø,ø,c,c,c,c,c,c,ø,ø,ø,DC,DC,KC,CKC,CKC,CKC,ø,ø,ø,,,,C,C,C,ø,ø,ø,C,C,C,C,C,C,ø,ø,ø,D,D,K,K,K,K,ø,ø,ø,3,3,2,3,3,3,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,2,2,1,1,1,1,0,0,0,VVC,VVC,VC,CVC,CVC,CVC,ø,ø,ø,0,0,1,2,2,2,0,0,0,V,BV,F,2,aufeinandertuermen,undef
chen,chen,n,en,hen,chen,echen,C,KC,CKC,KCKC,CKCKC,aus,aus,a,au,aus,ause,ausei,D,DC,DCD,DCDC,DCDCK,11,13,9,11,11,10,0,0,0,5,6,4,3,3,3,0,0,0,-1,light,light,light,schwa,light,schwa,ø,ø,ø,c,c,c,c,c,c,ø,ø,ø,DC,DC,KC,CKC,CCK,CKC,ø,ø,ø,,,,C,CC,C,ø,ø,ø,C,C,C,C,,C,ø,ø,ø,D,D,K,K,K,K,ø,ø,ø,3,3,2,3,3,4,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,2,1,0,0,0,2,2,1,1,1,1,0,0,0,VVC,VVC,VC,CVC,CCVC,CVC,ø,ø,ø,0,0,1,2,3,2,0,0,0,V,BV,F,2,auseinanderbrechen,undef
ren,ø,n,en,ren,eren,ieren,C,KC,CKC,LCKC,CLCKC,aus,aus,a,au,aus,ause,ausei,D,DC,DCD,DCDC,DCDCK,11,13,9,11,9,9,9,13,0,5,6,4,3,4,4,4,4,0,-1,light,light,light,schwa,light,light,light,schwa,ø,c,c,c,c,o,o,o,c,ø,DC,DC,KC,CKC,CL,CL,CL,CKC,ø,,,,C,C,C,C,C,ø,C,C,C,C,,,,C,ø,D,D,K,K,L,L,L,K,ø,3,3,2,3,2,2,3,3,0,1,1,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,0,2,2,1,1,2,2,2,1,0,VVC,VVC,VC,CVC,CVV,CVV,CVV,CVC,ø,0,0,1,2,0,0,0,2,0,V,BV,F,2,auseinanderdividieren,undef
len,ø,n,en,len,llen,allen,C,KC,CKC,KCKC,CKCKC,aus,aus,a,au,aus,ause,ausei,D,DC,DCD,DCDC,DCDCK,11,13,9,11,7,13,0,0,0,5,6,4,3,3,4,0,0,0,-1,light,light,light,schwa,light,schwa,ø,ø,ø,c,c,c,c,c,c,ø,ø,ø,DC,DC,KC,CKC,CK,CKC,ø,ø,ø,,,,C,C,C,ø,ø,ø,C,C,C,C,,C,ø,ø,ø,D,D,K,K,K,K,ø,ø,ø,3,3,2,3,3,3,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,2,2,1,1,1,1,0,0,0,VVC,VVC,VC,CVC,CVC,CVC,ø,ø,ø,0,0,1,2,2,2,0,0,0,V,BV,F,2,auseinanderfallen,undef
