syl_suffix,signi_suffix,suffix1,suffix2,suffix3,suffix4,suffix5,suffix_phoncat1,suffix_phoncat2,suffix_phoncat3,suffix_phoncat4,suffix_phoncat5,syl_praefix,signi_praefix,praefix1,praefix2,praefix3,praefix4,praefix5,praefix_phoncat1,praefix_phoncat2,praefix_phoncat3,praefix_phoncat4,praefix_phoncat5,sonority0,sonority1,sonority2,sonority_ratio0,sonority_ratio1,sonority_ratio2,sonority_dir,syl_weight0,syl_weight1,syl_weight2,syl_open0,syl_open1,syl_open2,syl_phoncat0,syl_phoncat1,syl_phoncat2,onset_phoncat0,onset_phoncat1,onset_phoncat2,koda_phoncat0,koda_phoncat1,koda_phoncat2,nucleus_phoncat0,nucleus_phoncat1,nucleus_phoncat2,syl_len0,syl_len1,syl_len2,koda_len0,koda_len1,koda_len2,onset_len0,onset_len1,onset_len2,nucleus_len0,nucleus_len1,nucleus_len2,syl_cv0,syl_cv1,syl_cv2,cv_ratio0,cv_ratio1,cv_ratio2,pos,comp_struct,nomen,comp_len,Word,stress_class
ge,ø,e,ge,ige,rige,urige,K,CK,KCK,CKCK,DCKCK,eu,ø,e,eu,eur,euri,eurig,D,DC,DCK,DCKC,DCKCK,10,12,7,10,6,3,-2,light,light,schwa,o,c,o,D,CK,CK,,C,C,,,,D,K,K,2,2,2,0,1,0,0,1,1,2,1,1,VV,CVC,CV,0,2,1,X,ø,F,1,eurige,antepaenultima
pa,ø,a,pa,opa,ropa,uropa,L,CL,LCL,CLCL,DCLCL,Eu,ø,E,Eu,Eur,Euro,Europ,D,DC,DCL,DCLC,DCLCL,10,10,11,10,5,5,0,light,light,light,o,o,o,D,CL,CL,,C,C,,,,D,L,L,2,2,2,0,0,0,0,1,1,2,2,2,VV,CVV,CVV,0,0,0,N,ø,T,0,Europa,paenultima
dent,ø,t,nt,ent,dent,ident,C,CC,KCC,CKCC,LCKCC,e,ø,e,ev,evi,evid,evide,L,LC,LCL,LCLC,LCLCK,6,9,11,6,4,2,2,light,light,heavy,o,o,c,L,CL,CKCC,,C,C,,,CC,L,L,K,1,2,4,0,0,2,0,1,1,2,2,1,VV,CVV,CVCC,0,0,3,A,R,F,1,evident,ultima
denz,ø,z,nz,enz,denz,idenz,A,CA,KCA,CKCA,LCKCA,E,ø,E,Ev,Evi,Evid,Evide,L,LC,LCL,LCLC,LCLCK,6,9,11,6,4,2,2,light,light,heavy,o,o,c,L,CL,CKCA,,C,C,,,CA,L,L,K,1,2,4,0,0,2,0,1,1,2,2,1,VV,CVV,CVCC,0,0,3,N,R,T,1,Evidenz,ultima
keit,keit,t,it,eit,keit,gkeit,C,DC,CDC,CCDC,KCCDC,E,ø,E,Ew,Ewi,Ewig,Ewigk,L,LC,LCK,LCKC,LCKCC,6,10,12,6,3,4,3,light,light,light,o,c,c,L,CKC,CDC,,C,C,,C,C,L,K,D,1,3,4,0,1,1,0,1,1,2,1,2,VV,CVC,CVVC,0,2,1,N,A,T,1,Ewigkeit,antepaenultima
lich,ø,h,ch,ich,lich,glich,C,KC,CKC,CCKC,KCCKC,e,ø,e,ew,ewi,ewig,ewigl,L,LC,LCK,LCKC,LCKCC,6,10,13,6,3,4,3,light,light,light,o,c,c,L,CKC,CKC,,C,C,,C,C,L,K,K,1,3,4,0,1,1,0,1,1,2,1,1,VV,CVC,CVC,0,2,2,ADV,A,F,1,ewiglich,antepaenultima
heit,heit,t,it,eit,heit,theit,C,DC,CDC,CCDC,CCCDC,Ex,ø,E,Ex,Exa,Exak,Exakt,K,KC,KCC,KCCK,KCCKC,6,10,12,6,2,4,3,light,heavy,light,c,c,c,K,CCKCC,CDC,,CC,C,,CC,C,K,K,D,2,3,4,1,2,1,0,2,1,1,1,2,VC,CCVCC,CVVC,1,4,1,N,A,T,1,Exaktheit,paenultima
tiert,ø,t,rt,ert,iert,tiert,C,CC,LCC,CLCC,CCLCC,ex,ø,e,ex,exa,exal,exalt,K,KC,KCC,KCCK,KCCKC,6,12,14,6,3,3,4,light,light,heavy,c,c,c,K,CCKC,CLCC,,CC,C,,C,CC,K,K,L,2,2,5,1,1,2,0,2,1,1,1,2,VC,CCVC,CVVCC,1,3,1,A,F,F,1,exaltiert,ultima
men,ø,n,en,men,amen,xamen,C,KC,CKC,LCKC,CLCKC,Ex,ø,E,Ex,Exa,Exam,Exame,K,KC,KCC,KCCL,KCCLC,6,12,12,6,4,4,3,light,light,schwa,c,o,c,K,CCL,CKC,,CC,C,,,C,K,L,K,2,1,3,1,0,1,0,2,1,1,2,1,VC,CCVV,CVC,1,1,2,N,ø,T,0,Examen,paenultima
pel,ø,l,el,pel,mpel,empel,C,KC,CKC,CCKC,KCCKC,Ex,ø,E,Ex,Exe,Exem,Exemp,K,KC,KCC,KCCK,KCCKC,6,11,11,6,2,3,2,light,light,schwa,c,c,c,K,CCKC,CKC,,CC,C,,C,C,K,K,K,2,2,3,1,1,1,0,2,1,1,1,1,VC,CCVC,CVC,1,3,2,N,ø,T,0,Exempel,paenultima
