syl_suffix,signi_suffix,suffix1,suffix2,suffix3,suffix4,suffix5,suffix_phoncat1,suffix_phoncat2,suffix_phoncat3,suffix_phoncat4,suffix_phoncat5,syl_praefix,signi_praefix,praefix1,praefix2,praefix3,praefix4,praefix5,praefix_phoncat1,praefix_phoncat2,praefix_phoncat3,praefix_phoncat4,praefix_phoncat5,sonority0,sonority1,sonority2,sonority3,sonority4,sonority5,sonority_ratio0,sonority_ratio1,sonority_ratio2,sonority_ratio3,sonority_ratio4,sonority_ratio5,sonority_dir,syl_weight0,syl_weight1,syl_weight2,syl_weight3,syl_weight4,syl_weight5,syl_open0,syl_open1,syl_open2,syl_open3,syl_open4,syl_open5,syl_phoncat0,syl_phoncat1,syl_phoncat2,syl_phoncat3,syl_phoncat4,syl_phoncat5,onset_phoncat0,onset_phoncat1,onset_phoncat2,onset_phoncat3,onset_phoncat4,onset_phoncat5,koda_phoncat0,koda_phoncat1,koda_phoncat2,koda_phoncat3,koda_phoncat4,koda_phoncat5,nucleus_phoncat0,nucleus_phoncat1,nucleus_phoncat2,nucleus_phoncat3,nucleus_phoncat4,nucleus_phoncat5,syl_len0,syl_len1,syl_len2,syl_len3,syl_len4,syl_len5,koda_len0,koda_len1,koda_len2,koda_len3,koda_len4,koda_len5,onset_len0,onset_len1,onset_len2,onset_len3,onset_len4,onset_len5,nucleus_len0,nucleus_len1,nucleus_len2,nucleus_len3,nucleus_len4,nucleus_len5,syl_cv0,syl_cv1,syl_cv2,syl_cv3,syl_cv4,syl_cv5,cv_ratio0,cv_ratio1,cv_ratio2,cv_ratio3,cv_ratio4,cv_ratio5,pos,comp_struct,nomen,comp_len,Word,stress_class
keit,keit,t,it,eit,keit,gkeit,C,DC,CDC,CCDC,KCCDC,Ab,ø,A,Ab,Abb,Abba,Abbau,K,KC,KCC,KCCD,KCCDC,7,11,7,11,10,12,3,5,3,3,3,4,0,light,light,schwa,light,light,light,c,o,o,c,c,c,KC,CD,CK,CKC,CKC,CDC,,C,C,C,C,C,C,,,C,C,C,K,D,K,K,K,D,2,3,2,4,3,4,1,0,0,1,1,1,0,1,1,1,1,1,1,2,1,1,1,2,VC,CVV,CV,CVC,CVC,CVVC,1,0,1,2,2,1,N,VN,T,2,Abbaugerechtigkeit,prima
um,um,m,um,ium,sium,asium,C,KC,LKC,CLKC,LCLKC,A,ø,A,Ab,Abe,Aben,Abend,L,LC,LCK,LCKC,LCKCC,10,11,12,13,9,11,10,2,4,6,4,5,0,light,schwa,light,light,light,light,o,c,c,o,o,c,L,CKCC,CKC,CL,CL,KC,,C,C,C,C,,,CC,C,,,C,L,K,K,L,L,K,1,4,3,2,2,2,0,2,1,0,0,1,0,1,1,1,1,0,2,1,1,2,2,1,VV,CVCC,CVC,CVV,CVV,VC,0,3,2,0,0,1,N,NN,T,2,Abendgymnasium,prima
haus,ø,s,us,aus,haus,nhaus,C,DC,CDC,CCDC,KCCDC,Ab,ø,A,Ab,Abg,Abge,Abgeo,K,KC,KCC,KCCK,KCCKK,7,7,10,10,10,12,3,3,5,3,3,4,0,light,schwa,light,schwa,schwa,light,c,o,c,o,c,c,KC,CK,KC,CCK,CKC,CDC,,C,,CC,C,C,C,,C,,C,C,K,K,K,K,K,D,2,2,3,2,3,4,1,0,1,0,1,1,0,1,0,2,1,1,1,1,1,1,1,2,VC,CV,VC,CCV,CVC,CVVC,1,1,1,2,2,1,N,NN,T,2,Abgeordnetenhaus,prima
nis,nis,s,is,nis,hnis,chnis,C,KC,CKC,CCKC,DCCKC,Ab,ø,A,Ab,Abk,Abku,Abkue,K,KC,KCC,KCCK,KCCKC,7,13,13,11,12,12,3,4,3,3,4,4,0,light,light,heavy,light,light,light,c,c,c,c,c,c,KC,CKC,AKCC,CKC,ADC,CKC,,C,A,C,A,C,C,C,CC,C,C,C,K,K,K,K,D,K,2,3,5,3,5,3,1,1,2,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1,VC,CVC,CVCC,CVC,CVVC,CVC,1,2,3,2,1,2,N,NN,T,2,Abkuerzungsverzeichnis,prima
ver,ø,r,er,ver,ever,oever,C,KC,CKC,LCKC,CLCKC,Ab,ø,A,Ab,Abl,Able,Ablen,K,KC,KCC,KCCK,KCCKC,7,13,13,9,9,11,3,4,3,4,4,3,0,light,light,heavy,light,light,schwa,c,c,c,c,o,c,KC,CKC,CKCC,CK,CL,CKC,,C,C,C,C,C,C,C,CC,,,C,K,K,K,K,L,K,2,3,5,2,2,3,1,1,2,1,0,1,0,1,1,1,1,1,1,1,1,1,2,1,VC,CVC,CVCC,CVC,CVV,CVC,1,2,3,2,0,2,N,NN,T,2,Ablenkungsmanoever,multa
te,ø,e,te,rte,arte,karte,K,CK,CCK,KCCK,CKCCK,A,ø,A,Ab,Abo,Abon,Abonn,K,KC,KCK,KCKC,KCKCK,6,7,9,12,11,7,6,3,4,4,3,3,0,light,light,schwa,light,light,schwa,c,c,o,c,c,o,K,CK,CK,CNC,CKC,CK,,C,C,C,C,C,,,,C,C,,K,K,K,N,K,K,1,3,2,5,3,2,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,2,1,1,VC,CVC,CV,CVVC,CVC,CV,1,2,1,1,2,1,N,NN,T,2,Abonnementskarte,antepaenultima
renz,ø,z,nz,enz,renz,erenz,A,CA,KCA,CKCA,LCKCA,Ab,ø,A,Ab,Abr,Abru,Abrue,K,KC,KCC,KCCK,KCCKC,7,13,13,10,7,14,3,4,3,3,3,3,0,light,light,heavy,light,light,heavy,c,c,c,c,o,c,KC,CKC,CKCC,CKC,CL,CKCA,,C,C,C,C,C,C,C,CC,C,,CA,K,K,K,K,L,K,2,2,6,3,2,4,1,1,2,1,0,2,0,1,1,1,1,1,1,1,1,1,2,1,VC,CVC,CVCC,CVC,CVV,CVCC,1,2,3,2,0,3,N,NN,T,2,Abruestungskonferenz,prima
nis,nis,s,is,nis,bnis,ebnis,C,KC,CKC,CCKC,LCCKC,Ab,ø,A,Ab,Abs,Abst,Absti,K,KC,KCC,KCCC,KCCCK,7,10,15,10,8,12,3,3,3,5,2,4,0,light,light,heavy,light,light,light,c,c,c,c,c,c,KC,CCK,CKCC,KC,CLC,CKC,,CC,C,,C,C,C,,CC,C,C,C,K,K,K,K,L,K,2,4,5,2,3,3,1,1,2,1,1,1,0,2,1,0,1,1,1,1,1,1,2,1,VC,CCVC,CVCC,VC,CVVC,CVC,1,3,3,1,1,2,N,NN,T,2,Abstimmungsergebnis,prima
mal,ø,l,al,mal,nmal,enmal,C,LC,CLC,CCLC,KCCLC,acht,ø,a,ac,ach,acht,achtm,K,KC,KCC,KCCC,KCCCL,8,11,12,6,12,17,2,5,6,6,4,5,1,heavy,light,light,light,schwa,light,c,o,o,o,c,c,KCC,CL,CL,L,CKC,CLC,,C,C,,C,C,CC,,,,C,C,K,L,L,L,K,L,4,3,2,1,3,3,2,0,0,0,1,1,0,1,1,0,1,1,1,2,2,2,1,2,VCC,CVV,CVV,VV,CVC,CVVC,2,0,0,0,2,1,ADV,ø,F,2,achtmillionenmal,sekunda
tor,ø,r,or,tor,otor,motor,C,KC,CKC,LCKC,CLCKC,Acht,ø,A,Ac,Ach,Acht,Achtz,K,KC,KCC,KCCA,KCCAL,8,9,15,11,9,11,2,4,5,3,4,3,0,heavy,light,light,schwa,light,light,c,o,c,c,o,c,KCC,AL,CKC,CKC,CL,CKC,,A,C,C,C,C,CC,,C,C,,C,K,L,K,K,L,K,4,2,3,3,2,3,2,0,1,1,0,1,0,1,1,1,1,1,1,2,1,1,2,1,VCC,CVV,CVC,CVC,CVV,CVC,2,0,2,2,0,2,N,NN,T,2,Achtzylindermotor,prima
ne,ø,e,ne,ine,hine,chine,K,CK,LCK,CLCK,KCLCK,A,ø,A,Ad,Adr,Adre,Adres,K,KC,KCC,KCCK,KCCKC,6,11,13,9,9,9,6,3,4,4,4,4,0,light,light,light,light,light,schwa,c,c,c,c,o,o,K,CCK,CLC,CK,CL,CK,,CC,C,C,C,C,,,C,,,,K,K,L,K,L,K,1,4,4,2,4,2,1,1,1,1,0,0,0,2,1,1,1,1,1,1,2,1,2,1,VC,CCVC,CVVC,CVC,CVV,CV,1,3,1,2,0,1,N,VN,T,2,Adressiermaschine,undef
jekt,ø,t,kt,ekt,jekt,bjekt,C,CC,KCC,CKCC,CCKCC,Ak,ø,A,Ak,Akk,Akku,Akkus,K,KC,KCL,KCLC,KCLCK,6,9,7,10,7,14,6,4,3,3,3,3,1,light,light,light,light,light,heavy,c,o,c,c,c,c,K,CL,CK,CLC,KC,CKCC,,C,C,C,,C,,,,C,C,CC,K,L,K,L,K,K,2,2,2,3,2,4,1,0,1,1,1,2,0,1,1,1,0,1,1,2,1,2,1,1,VC,CVV,CVC,CVVC,VC,CVCC,1,0,2,1,1,3,N,NN,T,2,Akkusativobjekt,prima
schaft,schaft,t,ft,aft,haft,chaft,C,CC,KCC,CKCC,CCKCC,Ak,ø,A,Ak,Akt,Akti,Aktie,K,KC,KCA,KCAL,KCALK,7,9,9,7,11,9,3,4,4,3,3,2,0,light,light,schwa,schwa,light,heavy,c,o,c,o,c,c,KC,AL,KC,CK,CKC,CKCC,,A,,C,C,C,C,,C,,C,CC,K,L,K,K,K,K,2,2,2,2,4,6,1,0,1,0,1,2,0,1,0,1,1,1,1,2,1,1,1,1,VC,CVV,VC,CV,CVC,CVCC,1,0,1,1,2,3,N,NN,T,2,Aktiengesellschaft,prima
tal,ø,l,al,tal,ital,pital,C,LC,CLC,LCLC,CLCLC,Ak,ø,A,Ak,Akt,Akti,Aktie,K,KC,KCA,KCAL,KCALK,7,9,9,7,9,15,3,4,4,3,4,5,1,light,light,schwa,light,light,light,c,o,c,c,o,c,KC,AL,KC,CK,CL,CLC,,A,,C,C,C,C,,C,,,C,K,L,K,K,L,L,2,2,2,2,2,3,1,0,1,1,0,1,0,1,0,1,1,1,1,2,1,1,2,2,VC,CVV,VC,CVC,CVV,CVVC,1,0,1,2,0,1,N,NN,T,2,Aktienkapital,prima
us,us,s,us,ius,dius,adius,C,KC,LKC,CLKC,LCLKC,Ak,ø,A,Ak,Akt,Akti,Aktio,K,KC,KCA,KCAL,KCALL,7,9,10,14,9,9,3,4,3,7,4,4,0,light,light,heavy,light,light,light,c,o,c,o,o,c,KC,AL,LCC,CL,CL,KC,,A,,C,C,,C,,CC,,,C,K,L,L,L,L,K,2,2,3,2,2,2,1,0,2,0,0,1,0,1,0,1,1,0,1,2,2,2,2,1,VC,CVV,VVCC,CVV,CVV,VC,1,0,1,0,0,1,N,NN,T,2,Aktionsradius,undef
chend,ø,d,nd,end,hend,chend,C,CC,KCC,CKCC,KCKCC,al,ø,a,al,all,alle,allei,K,KC,KCD,KCDC,KCDCC,6,17,7,13,9,11,6,5,3,4,4,2,0,light,light,light,light,light,schwa,c,c,o,c,c,c,K,CDC,CL,CKC,CK,CKCC,,C,C,C,C,C,,C,,C,,CC,K,D,L,K,K,K,2,4,2,3,2,5,1,1,0,1,1,2,0,1,1,1,1,1,1,2,2,1,1,1,VC,CVVC,CVV,CVC,CVC,CVCC,1,1,0,2,2,3,A,AA,F,2,alleinseligmachend,multa
ter,ø,r,er,ter,lter,alter,C,KC,CKC,CCKC,KCCKC,Al,ø,A,Al,All,Alle,Allei,K,KC,KCD,KCDC,KCDCK,6,17,11,11,11,11,6,5,5,3,3,3,0,light,light,light,schwa,light,schwa,c,c,c,c,c,c,K,CDC,KC,CKC,CKC,CKC,,C,,C,C,C,,C,C,C,C,C,K,D,K,K,K,K,2,4,2,3,3,3,1,1,1,1,1,1,0,1,0,1,1,1,1,2,1,1,1,1,VC,CVVC,VC,CVC,CVC,CVC,1,1,1,2,2,2,N,AV,T,2,Alleinunterhalter,sekunda
ser,ø,r,er,ser,sser,isser,C,KC,CKC,KCKC,CKCKC,Al,ø,A,Al,All,Alle,Alles,K,KC,KCK,KCKC,KCKCC,6,11,7,11,9,11,6,3,3,3,4,3,0,light,schwa,light,schwa,light,schwa,c,c,c,c,c,c,K,CKC,CK,CKC,CK,CKC,,C,C,C,C,C,,C,,C,,C,K,K,K,K,K,K,2,3,3,3,3,3,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,VC,CVC,CVC,CVC,CVC,CVC,1,2,2,2,2,2,N,ø,T,2,Allesbesserwisser,multa
den,ø,n,en,den,nden,inden,C,KC,CKC,CCKC,KCCKC,All,ø,A,Al,All,Allg,Allge,K,KC,KCC,KCCK,KCCKC,10,7,16,7,12,10,5,3,5,3,4,3,0,light,schwa,light,schwa,light,schwa,c,o,c,o,c,c,KC,CK,CDC,CK,CKC,CKC,,C,C,C,C,C,C,,C,,C,C,K,K,D,K,K,K,3,2,4,2,3,3,1,0,1,0,1,1,0,1,1,1,1,1,1,1,2,1,1,1,VC,CV,CVVC,CV,CVC,CVC,1,1,1,1,2,2,N,AN,T,2,Allgemeinbefinden,multa
lich,ø,h,ch,ich,lich,dlich,C,KC,CKC,CCKC,CCCKC,all,ø,a,al,all,allg,allge,K,KC,KCC,KCCK,KCCKC,10,7,16,11,12,13,5,3,5,3,2,4,0,light,schwa,light,light,heavy,light,c,o,c,c,c,c,KC,CK,CDC,CKC,CCKCC,CKC,,C,C,C,CC,C,C,,C,C,CC,C,K,K,D,K,K,K,3,2,4,3,5,4,1,0,1,1,2,1,0,1,1,1,2,1,1,1,2,1,1,1,VC,CV,CVVC,CVC,CCVCC,CVC,1,1,1,2,4,2,A,AA,F,2,allgemeinverstaendlich,multa
cke,ø,e,ke,cke,ecke,uecke,K,CK,KCK,CKCK,LCKCK,Al,ø,A,Al,All,Allo,Allon,K,KC,KCN,KCNC,KCNCK,6,12,7,7,12,7,6,6,3,3,6,3,0,light,light,schwa,light,light,schwa,c,o,o,o,c,o,K,CN,CK,CL,CK,CK,,C,C,C,C,C,,,,,,,K,N,K,L,K,K,2,3,2,2,2,3,1,0,0,0,1,0,0,1,1,1,1,1,1,2,1,2,1,1,VC,CVV,CV,CVV,CVC,CV,1,0,1,0,2,1,N,NN,T,2,Allongeperuecke,sekunda
dent,ø,t,nt,ent,dent,ident,C,CC,KCC,CKCC,LCKCC,Alt,ø,A,Al,Alt,Altb,Altbu,L,LC,LCK,LCKC,LCKCC,6,12,8,11,9,11,6,4,2,3,4,2,0,heavy,light,schwa,light,light,heavy,c,c,c,c,o,c,L,CKC,CKC,CCK,CL,CKCC,,C,C,CC,C,C,,C,C,,,CC,L,K,K,K,L,K,3,3,3,3,2,4,2,1,1,1,0,2,0,1,1,2,1,1,1,1,1,1,2,1,VCC,CVC,CVC,CCVC,CVV,CVCC,2,2,2,3,0,3,N,AN,T,2,Altbundespraesident,multa
de,ø,e,de,ide,mide,amide,K,CK,LCK,CLCK,KCLCK,Al,ø,A,Al,Alt,Alte,Alter,K,KC,KCC,KCCK,KCCKC,10,12,9,10,11,7,5,3,4,5,5,3,-1,light,schwa,light,light,light,schwa,c,c,o,c,o,o,KC,CKCC,CL,CK,CL,CK,,C,C,C,C,C,C,CC,,,,,K,K,L,K,L,K,2,4,2,2,2,2,1,2,0,1,0,0,0,1,1,1,1,1,1,1,2,1,2,1,VC,CVCC,CVV,CVC,CVV,CV,1,3,0,2,0,1,N,NN,T,2,Alterspyramide,prima
rung,ø,g,ng,ung,rung,erung,C,KC,CKC,KCKC,CKCKC,Al,ø,A,Al,Alt,Alte,Alter,K,KC,KCC,KCCK,KCCKC,10,12,11,9,7,15,5,3,3,4,3,5,0,light,schwa,light,light,schwa,light,c,c,c,c,o,c,KC,CKCC,CKC,CK,CK,CKC,,C,C,C,C,C,C,CC,C,,,C,K,K,K,K,K,K,2,4,3,2,3,4,1,2,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,VC,CVCC,CVC,CVC,CV,CVC,1,3,2,2,1,2,N,NN,T,2,Altersversicherung,prima
mus,ø,s,us,mus,smus,ismus,C,KC,CKC,CCKC,KCCKC,Alt,ø,A,Al,Alt,Altk,Altka,L,LC,LCK,LCKC,LCKCL,6,7,7,12,10,12,6,3,3,6,3,4,1,heavy,light,light,light,light,light,c,c,o,o,c,c,L,CK,CL,CL,AKC,CKC,,C,C,C,A,C,,,,,C,C,L,K,L,L,K,K,3,2,3,2,3,3,2,1,0,0,1,1,0,1,1,1,1,1,1,1,2,2,1,1,VCC,CVC,CVV,CVV,CVC,CVC,2,2,0,0,2,2,N,AN,T,2,Altkatholizismus,multa
risch,ø,h,ch,sch,isch,risch,C,KC,CKC,LCKC,CLCKC,alt,ø,a,al,alt,altt,altte,L,LC,LCK,LCKC,LCKCC,6,8,7,12,11,13,6,2,3,4,5,4,1,heavy,light,light,light,light,light,c,c,c,c,o,c,L,CKC,CK,CKC,CL,CKC,,C,C,C,C,C,,C,,C,,C,L,K,K,K,L,K,3,2,3,3,2,5,2,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,2,1,VCC,CVC,CVC,CVC,CVV,CVC,2,2,2,2,0,2,A,AN,F,2,alttestamentarisch,multa
druck,ø,k,ck,uck,ruck,druck,C,KC,CKC,CCKC,CCCKC,A,ø,A,Al,Alu,Alum,Alumi,K,KC,KCL,KCLC,KCLCL,6,12,11,11,11,14,6,6,5,5,5,3,1,light,light,light,light,light,light,c,o,o,o,c,c,K,CL,CL,CL,KC,CCKC,,C,C,C,,CC,,,,,C,C,K,L,L,L,K,K,1,2,2,2,2,5,1,0,0,0,1,1,0,1,1,1,0,2,1,2,2,2,1,1,VC,CVV,CVV,CVV,VC,CCVC,1,0,0,0,1,3,N,NN,T,2,Aluminiumdruck,undef
dung,ø,g,ng,ung,dung,ldung,C,KC,CKC,CCKC,KCCKC,A,ø,A,An,Ana,Anal,Analo,K,KC,KCK,KCKC,KCKCL,6,9,10,9,13,12,6,4,5,4,4,4,1,light,light,light,light,light,light,c,c,o,o,c,c,K,CK,CL,CL,CKC,CKC,,C,C,C,C,C,,,,,C,C,K,K,L,L,K,K,1,2,2,3,3,4,1,1,0,0,1,1,0,1,1,1,1,1,1,1,2,2,1,1,VC,CVC,CVV,CVV,CVC,CVC,1,2,0,0,2,2,N,NN,T,2,Analogiebildung,antepaenultima
kind,ø,d,nd,ind,kind,rkind,C,CC,KCC,CKCC,CCKCC,An,ø,A,An,And,Ande,Ander,K,KC,KCC,KCCK,KCCKC,9,11,7,11,11,13,4,3,3,2,3,3,0,light,schwa,schwa,light,schwa,heavy,c,c,o,c,c,c,KC,CKC,CK,CCKC,CKC,CKCC,,C,C,CC,C,C,C,C,,C,C,CC,K,K,K,K,K,K,2,3,2,5,4,4,1,1,0,1,1,2,0,1,1,2,1,1,1,1,1,1,1,1,VC,CVC,CV,CCVC,CVC,CVCC,1,2,1,3,2,3,N,ø,T,2,Andergeschwisterkind,prima
gen,ø,n,en,gen,egen,uegen,C,KC,CKC,LCKC,CLCKC,an,an,a,an,ane,anei,anein,K,KC,KCD,KCDC,KCDCK,9,13,9,11,9,10,4,6,4,3,4,3,-1,light,light,light,schwa,light,schwa,c,c,c,c,o,c,KC,DC,KC,CKC,CL,CKC,,,,C,C,C,C,C,C,C,,C,K,D,K,K,L,K,2,3,2,3,2,3,1,1,1,1,0,1,0,0,0,1,1,1,1,2,1,1,2,1,VC,VVC,VC,CVC,CVV,CVC,1,0,1,2,0,2,V,BV,F,2,aneinanderfuegen,undef
zen,ø,n,en,zen,nzen,enzen,C,KC,AKC,CAKC,KCAKC,an,an,a,an,ane,anei,anein,K,KC,KCD,KCDC,KCDCK,9,13,9,11,14,10,4,6,4,3,3,3,0,light,light,light,schwa,light,schwa,c,c,c,c,c,c,KC,DC,KC,CKC,CCKC,AKC,,,,C,CC,A,C,C,C,C,C,C,K,D,K,K,K,K,2,3,2,3,4,3,1,1,1,1,1,1,0,0,0,1,2,1,1,2,1,1,1,1,VC,VVC,VC,CVC,CCVC,CVC,1,0,1,2,3,2,V,BV,F,2,aneinandergrenzen,undef
gen,ø,n,en,gen,egen,legen,C,KC,CKC,LCKC,CLCKC,an,an,a,an,ane,anei,anein,K,KC,KCD,KCDC,KCDCK,9,13,9,11,10,10,4,6,4,3,5,3,-1,light,light,light,schwa,light,schwa,c,c,c,c,o,c,KC,DC,KC,CKC,CL,CKC,,,,C,C,C,C,C,C,C,,C,K,D,K,K,L,K,2,3,2,3,2,3,1,1,1,1,0,1,0,0,0,1,1,1,1,2,1,1,2,1,VC,VVC,VC,CVC,CVV,CVC,1,0,1,2,0,2,V,BV,F,2,aneinanderlegen,undef
hen,ø,n,en,hen,ihen,eihen,C,KC,DKC,CDKC,CCDKC,an,an,a,an,ane,anei,anein,K,KC,KCD,KCDC,KCDCK,9,13,9,11,14,9,4,6,4,3,7,4,0,light,light,light,schwa,light,schwa,c,c,c,c,o,c,KC,DC,KC,CKC,CD,KC,,,,C,C,,C,C,C,C,,C,K,D,K,K,D,K,2,3,2,3,3,3,1,1,1,1,0,1,0,0,0,1,1,0,1,2,1,1,2,1,VC,VVC,VC,CVC,CVV,VC,1,0,1,2,0,1,V,BV,F,2,aneinanderreihen,undef
sen,ø,n,en,sen,hsen,chsen,C,KC,CKC,CCKC,KCCKC,an,an,a,an,ane,anei,anein,K,KC,KCD,KCDC,KCDCK,9,13,9,11,8,10,4,6,4,3,2,3,-1,light,light,light,schwa,light,schwa,c,c,c,c,c,c,KC,DC,KC,CKC,CKC,CKC,,,,C,C,C,C,C,C,C,C,C,K,D,K,K,K,K,2,3,2,3,4,3,1,1,1,1,1,1,0,0,0,1,1,1,1,2,1,1,1,1,VC,VVC,VC,CVC,CVC,CVC,1,0,1,2,2,2,V,BV,F,2,aneinanderwachsen,undef
ne,ø,e,ne,ine,bine,abine,K,CK,LCK,CLCK,KCLCK,An,ø,A,An,Ank,Ankl,Ankle,K,KC,KCC,KCCC,KCCCD,9,15,7,7,9,9,4,5,3,3,4,4,-1,light,light,schwa,light,light,schwa,c,o,o,c,o,o,KC,CCD,CK,CK,CL,CK,,CC,C,C,C,C,C,,,,,,K,D,K,K,L,K,2,4,2,2,2,2,1,0,0,1,0,0,0,2,1,1,1,1,1,2,1,1,2,1,VC,CCVV,CV,CVC,CVV,CV,1,1,1,2,0,1,N,VN,T,2,Ankleidekabine,prima
ter,ø,r,er,ter,ater,rater,C,KC,CKC,LCKC,CLCKC,An,ø,A,An,Anl,Anla,Anlag,K,KC,KCC,KCCL,KCCLC,9,14,7,7,14,11,4,7,3,3,7,3,0,light,light,schwa,schwa,light,schwa,c,o,o,o,o,c,KC,CL,CK,CK,CL,CKC,,C,C,C,C,C,C,,,,,C,K,L,K,K,L,K,2,2,2,2,2,3,1,0,0,0,0,1,0,1,1,1,1,1,1,2,1,1,2,1,VC,CVV,CV,CV,CVV,CVC,1,0,1,1,0,2,N,NN,T,2,Anlageberater,prima
tig,ø,g,ig,tig,ftig,rftig,C,KC,CKC,CCKC,CCCKC,an,an,a,an,anl,anle,anleh,K,KC,KCC,KCCL,KCCLC,9,10,15,7,14,10,4,5,3,3,3,3,0,light,light,heavy,schwa,heavy,light,c,o,c,o,c,c,KC,CL,CKCC,CK,CKCC,CKC,,C,C,C,C,C,C,,CC,,CC,C,K,L,K,K,K,K,2,3,5,2,4,3,1,0,2,0,2,1,0,1,1,1,1,1,1,2,1,1,1,1,VC,CVV,CVCC,CV,CVCC,CVC,1,0,3,1,3,2,A,NA,F,2,anlehnungsbeduerftig,prima
sung,ø,g,ng,ung,sung,esung,C,KC,CKC,LCKC,CLCKC,An,ø,A,An,Anl,Anle,Anlei,K,KC,KCC,KCCD,KCCDK,9,14,6,7,10,12,4,7,6,3,5,4,0,light,light,schwa,light,light,light,c,o,o,c,o,c,KC,CD,K,KC,CL,CKC,,C,,,C,C,C,,,C,,C,K,D,K,K,L,K,2,3,2,2,2,4,1,0,0,1,0,1,0,1,0,0,1,1,1,2,1,1,2,1,VC,CVV,V,VC,CVV,CVC,1,0,0,1,0,2,N,NV,T,2,Anleiheabloesung,prima
lar,ø,r,ar,lar,ular,mular,C,LC,CLC,LCLC,CLCLC,An,ø,A,An,Anm,Anme,Anmel,K,KC,KCC,KCCK,KCCKC,9,13,7,11,11,18,4,4,3,3,5,6,1,light,light,schwa,light,light,light,c,c,o,c,o,c,KC,CKC,CK,CKC,CL,CLC,,C,C,C,C,C,C,C,,C,,C,K,K,K,K,L,L,2,3,2,3,2,3,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,2,2,VC,CVC,CV,CVC,CVV,CVVC,1,2,1,2,0,1,N,VN,T,2,Anmeldeformular,prima
such,ø,h,ch,uch,such,rsuch,C,LC,CLC,CCLC,KCCLC,An,ø,A,An,Ann,Anna,Annae,K,KC,KCC,KCCL,KCCLK,9,9,6,16,11,10,4,4,6,4,3,3,0,light,light,schwa,heavy,light,light,c,o,o,c,c,c,KC,CL,K,CKCC,CKC,CLC,,C,,C,C,C,C,,,CC,C,C,K,L,K,K,K,L,2,2,2,5,3,4,1,0,0,2,1,1,0,1,0,1,1,1,1,2,1,1,1,2,VC,CVV,V,CVCC,CVC,CVVC,1,0,0,3,2,1,N,NN,T,2,Annaeherungsversuch,prima
se,ø,e,se,ise,eise,weise,K,CK,DCK,CDCK,CCDCK,an,an,a,an,ann,anna,annae,K,KC,KCC,KCCL,KCCLK,9,9,6,16,11,7,4,4,6,4,5,3,0,light,light,schwa,heavy,light,schwa,c,o,o,c,o,o,KC,CL,K,CKCC,CD,CK,,C,,C,C,C,C,,,CC,,,K,L,K,K,D,K,2,2,2,5,3,2,1,0,0,2,0,0,0,1,0,1,1,1,1,2,1,1,2,1,VC,CVV,V,CVCC,CVV,CV,1,0,0,3,0,1,ADV,NA,F,2,annaeherungsweise,prima
rung,ø,g,ng,ung,rung,erung,C,KC,CKC,LCKC,CLCKC,An,ø,A,An,Ann,Anna,Annah,K,KC,KCC,KCCL,KCCLC,9,13,9,10,11,15,4,6,4,5,3,5,0,light,light,schwa,light,light,light,c,o,o,c,o,c,KC,CL,CK,KC,CCL,CKC,,C,C,,CC,C,C,,,C,,C,K,L,K,K,L,K,2,3,2,2,3,4,1,0,0,1,0,1,0,1,1,0,2,1,1,2,1,1,2,1,VC,CVV,CV,VC,CCVV,CVC,1,0,1,1,1,2,N,NV,T,2,Annahmeerklaerung,prima
rie,ø,e,ie,rie,erie,terie,L,CL,KCL,CKCL,KCKCL,A,ø,A,An,Ano,Anod,Anode,K,KC,KCL,KCLC,KCLCK,6,9,10,7,7,12,6,4,3,3,3,6,0,light,light,schwa,light,schwa,light,c,o,c,c,o,o,K,CL,CKC,CK,CK,CL,,C,C,C,C,C,,,C,,,,K,L,K,K,K,L,1,2,3,3,2,3,1,0,1,1,0,0,0,1,1,1,1,1,1,2,1,1,1,2,VC,CVV,CVC,CVC,CV,CVV,1,0,2,2,1,0,N,NN,T,2,Anodenbatterie,sekunda
richt,ø,t,ht,cht,icht,richt,C,CC,KCC,CKCC,CCKCC,An,ø,A,An,Ans,Ansc,Ansch,K,KC,KCC,KCCD,KCCDK,9,11,12,11,11,14,4,5,4,5,3,3,0,light,light,heavy,light,schwa,heavy,c,o,c,c,c,c,KC,CD,KCC,KC,CKC,CKCC,,C,,,C,C,C,,CC,C,C,CC,K,D,K,K,K,K,2,5,4,2,3,5,1,0,2,1,1,2,0,1,0,0,1,1,1,2,1,1,1,1,VC,CVV,VCC,VC,CVC,CVCC,1,0,2,1,2,3,N,NN,T,2,Anschauungsunterricht,prima
