syl_suffix,signi_suffix,suffix1,suffix2,suffix3,suffix4,suffix5,suffix_phoncat1,suffix_phoncat2,suffix_phoncat3,suffix_phoncat4,suffix_phoncat5,syl_praefix,signi_praefix,praefix1,praefix2,praefix3,praefix4,praefix5,praefix_phoncat1,praefix_phoncat2,praefix_phoncat3,praefix_phoncat4,praefix_phoncat5,sonority0,sonority1,sonority2,sonority3,sonority4,sonority5,sonority_ratio0,sonority_ratio1,sonority_ratio2,sonority_ratio3,sonority_ratio4,sonority_ratio5,sonority_dir,syl_weight0,syl_weight1,syl_weight2,syl_weight3,syl_weight4,syl_weight5,syl_open0,syl_open1,syl_open2,syl_open3,syl_open4,syl_open5,syl_phoncat0,syl_phoncat1,syl_phoncat2,syl_phoncat3,syl_phoncat4,syl_phoncat5,onset_phoncat0,onset_phoncat1,onset_phoncat2,onset_phoncat3,onset_phoncat4,onset_phoncat5,koda_phoncat0,koda_phoncat1,koda_phoncat2,koda_phoncat3,koda_phoncat4,koda_phoncat5,nucleus_phoncat0,nucleus_phoncat1,nucleus_phoncat2,nucleus_phoncat3,nucleus_phoncat4,nucleus_phoncat5,syl_len0,syl_len1,syl_len2,syl_len3,syl_len4,syl_len5,koda_len0,koda_len1,koda_len2,koda_len3,koda_len4,koda_len5,onset_len0,onset_len1,onset_len2,onset_len3,onset_len4,onset_len5,nucleus_len0,nucleus_len1,nucleus_len2,nucleus_len3,nucleus_len4,nucleus_len5,syl_cv0,syl_cv1,syl_cv2,syl_cv3,syl_cv4,syl_cv5,cv_ratio0,cv_ratio1,cv_ratio2,cv_ratio3,cv_ratio4,cv_ratio5,pos,comp_struct,nomen,comp_len,Word,stress_class
verb,ø,b,rb,erb,verb,dverb,C,CC,KCC,CKCC,CCKCC,Pro,ø,P,Pr,Pro,Pron,Prono,C,CC,CCL,CCLC,CCLCL,11,9,11,17,7,12,3,4,5,5,3,3,0,light,light,light,light,light,heavy,o,o,o,c,c,c,CCL,CL,CL,CLC,KC,CKCC,CC,C,C,C,,C,,,,C,C,CC,L,L,L,L,K,K,3,2,2,3,2,4,0,0,0,1,1,2,2,1,1,1,0,1,2,2,2,2,1,1,CCVV,CVV,CVV,CVVC,VC,CVCC,1,0,0,1,1,3,N,AN,T,2,Pronominaladverb,antepaenultima
ne,ø,e,ne,ine,bine,rbine,K,CK,LCK,CLCK,CCLCK,Pro,ø,P,Pr,Pro,Prop,Prope,C,CC,CCL,CCLC,CCLCK,11,7,14,13,9,9,3,3,4,4,4,4,-1,light,light,schwa,light,light,schwa,o,c,c,c,o,o,CCL,CK,CKC,CKC,CL,CK,CC,C,C,C,C,C,,,C,C,,,L,K,K,K,L,K,3,3,3,3,2,2,0,1,1,1,0,0,2,1,1,1,1,1,2,1,1,1,2,1,CCVV,CVC,CVC,CVC,CVV,CV,1,2,2,2,0,1,N,NN,T,2,Propellerturbine,sekunda
wahl,ø,l,hl,ahl,wahl,lwahl,C,LC,CLC,CCLC,LCCLC,Pro,ø,P,Pr,Pro,Prop,Propo,C,CC,CCL,CCLC,CCLCK,11,11,9,6,17,15,3,3,4,6,5,5,1,light,light,light,light,light,light,o,c,o,o,c,c,CCL,CKC,AL,L,CLC,CLC,CC,C,A,,C,C,,C,,,C,C,L,K,L,L,L,L,3,3,2,1,3,4,0,1,0,0,1,1,2,1,1,0,1,1,2,1,2,2,2,2,CCVV,CVC,CVV,VV,CVVC,CVVC,1,2,0,0,1,1,N,AN,T,2,Proportionalwahl,paenultima
se,ø,e,se,yse,lyse,alyse,K,CK,LCK,CLCK,KCLCK,Psy,ø,P,Ps,Psy,Psyc,Psych,C,CC,CCL,CCLC,CCLCL,10,7,6,9,12,7,3,3,6,4,6,3,0,light,light,light,light,light,schwa,o,o,c,c,o,o,CCL,CL,K,CK,CL,CK,CC,C,,C,C,C,,,,,,,L,L,K,K,L,K,3,3,1,2,2,2,0,0,1,1,0,0,2,1,0,1,1,1,2,2,1,1,2,1,CCVV,CVV,VC,CVC,CVV,CV,1,0,1,2,0,1,N,NN,T,2,Psychoanalyse,paenultima
tisch,ø,h,ch,sch,isch,tisch,C,KC,CKC,LCKC,CLCKC,psy,ø,p,ps,psy,psyc,psych,C,CC,CCL,CCLC,CCLCL,10,7,6,9,12,10,3,3,6,4,6,3,0,light,light,light,light,light,light,o,o,c,c,o,c,CCL,CL,K,CK,CL,CKC,CC,C,,C,C,C,,,,,,C,L,L,K,K,L,K,3,3,1,2,2,5,0,0,1,1,0,1,2,1,0,1,1,1,2,2,1,1,2,1,CCVV,CVV,VC,CVC,CVV,CVC,1,0,1,2,0,2,A,NA,F,2,psychoanalytisch,paenultima
mig,ø,g,ig,mig,rmig,ermig,C,KC,CKC,CCKC,KCCKC,py,ø,p,py,pyr,pyra,pyram,C,CL,CLC,CLCK,CLCKC,9,10,11,10,11,12,4,5,5,3,3,4,0,light,light,light,schwa,light,light,o,c,o,c,c,c,CL,CK,CL,CKC,CKC,CKC,C,C,C,C,C,C,,,,C,C,C,L,K,L,K,K,K,2,2,2,3,3,3,0,1,0,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,CVV,CVC,CVV,CVC,CVC,CVC,0,2,0,2,2,2,A,NN,F,2,pyramidenfoermig,undef
ter,ø,r,er,ter,eter,meter,C,KC,CKC,LCKC,CLCKC,Qua,ø,Q,Qu,Qua,Quad,Quadr,C,CC,CCK,CCKC,CCKCC,8,16,7,9,9,11,2,4,3,4,4,3,-1,light,light,light,light,light,schwa,c,c,o,o,o,c,CCK,CCLC,CL,AL,CL,CKC,CC,CC,C,A,C,C,,C,,,,C,K,L,L,L,L,K,3,4,2,2,2,3,1,1,0,0,0,1,2,2,1,1,1,1,1,2,2,2,2,1,CCVC,CCVVC,CVV,CVV,CVV,CVC,3,1,0,0,0,2,N,NN,T,2,Quadratdezimeter,sekunda
ter,ø,r,er,ter,eter,meter,C,KC,CKC,LCKC,CLCKC,Qua,ø,Q,Qu,Qua,Quad,Quadr,C,CC,CCK,CCKC,CCKCC,8,16,9,10,9,11,2,4,4,5,4,3,-1,light,light,light,light,light,schwa,c,c,o,o,o,c,CCK,CCLC,CL,CL,CL,CKC,CC,CC,C,C,C,C,,C,,,,C,K,L,L,L,L,K,3,4,2,2,2,3,1,1,0,0,0,1,2,2,1,1,1,1,1,2,2,2,2,1,CCVC,CCVVC,CVV,CVV,CVV,CVC,3,1,0,0,0,2,N,NN,T,2,Quadratkilometer,sekunda
ter,ø,r,er,ter,eter,meter,C,KC,CKC,LCKC,CLCKC,Qua,ø,Q,Qu,Qua,Quad,Quadr,C,CC,CCK,CCKC,CCKCC,8,16,10,9,9,11,2,4,3,4,4,3,-1,light,light,light,light,light,schwa,c,c,c,o,o,c,CCK,CCLC,AKC,CL,CL,CKC,CC,CC,A,C,C,C,,C,C,,,C,K,L,K,L,L,K,3,4,3,2,2,3,1,1,1,0,0,1,2,2,1,1,1,1,1,2,1,2,2,1,CCVC,CCVVC,CVC,CVV,CVV,CVC,3,1,2,0,0,2,N,NN,T,2,Quadratzentimeter,sekunda
le,ø,e,le,lle,olle,rolle,K,CK,KCK,CKCK,CCKCK,Qua,ø,Q,Qu,Qua,Qual,Quali,C,CC,CCK,CCKC,CCKCL,8,12,8,10,11,10,2,6,2,3,3,5,0,light,light,light,light,light,schwa,c,o,c,c,c,o,CCK,CL,CLA,CKC,CCK,CK,CC,C,C,C,CC,C,,,A,C,,,K,L,L,K,K,K,3,2,4,3,4,2,1,0,1,1,1,0,2,1,1,1,2,1,1,2,2,1,1,1,CCVC,CVV,CVVC,CVC,CCVC,CV,3,0,1,2,3,1,N,NN,T,2,Qualitaetskontrolle,undef
rat,ø,t,at,rat,arat,parat,C,LC,CLC,KCLC,CKCLC,Q2eck,ø,Q,Qu,Que,Quec,Queck,C,CC,CCK,CCKC,CCKCC,9,13,11,11,7,15,2,4,3,3,3,5,0,light,light,schwa,light,light,light,c,c,c,c,c,c,CCKC,CKC,CKC,CCK,CK,CLC,CC,C,C,CC,C,C,C,C,C,,,C,K,K,K,K,K,L,5,3,3,3,2,3,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,2,CCVC,CVC,CVC,CCVC,CVC,CVVC,3,2,2,3,2,1,N,NN,T,2,Quecksilberpraeparat,prima
tung,ø,g,ng,ung,tung,ftung,C,KC,CKC,CCKC,KCCKC,Q2eck,ø,Q,Qu,Que,Quec,Queck,C,CC,CCK,CCKC,CCKCC,9,13,11,11,10,12,2,4,3,3,3,4,0,light,light,schwa,light,light,light,c,c,c,c,c,c,CCKC,CKC,CKC,CKC,CKC,CKC,CC,C,C,C,C,C,C,C,C,C,C,C,K,K,K,K,K,K,5,3,3,3,3,4,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,CCVC,CVC,CVC,CVC,CVC,CVC,3,2,2,2,2,2,N,NN,T,2,Quecksilbervergiftung,prima
al,al,l,al,ial,rial,erial,C,LC,LLC,CLLC,LCLLC,Q2el,ø,Q,Qu,Que,Quel,Quell,C,CC,CCK,CCKC,CCKCK,8,13,9,7,12,14,2,4,4,3,6,7,0,light,schwa,light,light,light,light,c,c,c,o,o,c,CCK,CKC,CK,CL,CL,LC,CC,C,C,C,C,,,C,,,,C,K,K,K,L,L,L,4,3,2,2,2,2,1,1,1,0,0,1,2,1,1,1,1,0,1,1,1,2,2,2,CCVC,CVC,CVC,CVV,CVV,VVC,3,2,2,0,0,0,N,NN,T,2,Quellenmaterial,prima
teur,ø,r,ur,eur,teur,ateur,C,LC,CLC,KCLC,CKCLC,Ra,ø,R,Ra,Rad,Radi,Radio,C,CL,CLC,CLCL,CLCLL,14,9,6,6,9,11,7,4,6,6,4,3,-1,light,light,light,light,light,light,o,o,o,c,c,c,CL,CL,L,K,CK,CLC,C,C,,,C,C,,,,,,C,L,L,L,K,K,L,2,2,1,1,2,4,0,0,0,1,1,1,1,1,0,0,1,1,2,2,2,1,1,2,CVV,CVV,VV,VC,CVC,CVVC,0,0,0,1,2,1,N,NN,T,2,Radioamateur,prima
rat,ø,t,at,rat,arat,parat,C,LC,CLC,KCLC,CKCLC,Ra,ø,R,Ra,Rad,Radi,Radio,C,CL,CLC,CLCL,CLCLL,14,9,6,6,7,15,7,4,6,6,3,5,0,light,light,light,light,light,light,o,o,o,c,c,c,CL,CL,L,K,CK,CLC,C,C,,,C,C,,,,,,C,L,L,L,K,K,L,2,2,1,2,2,3,0,0,0,1,1,1,1,1,0,0,1,1,2,2,2,1,1,2,CVV,CVV,VV,VC,CVC,CVVC,0,0,0,1,2,1,N,NN,T,2,Radioapparat,prima
on,ø,n,on,ion,tion,ation,C,LC,LLC,ALLC,KALLC,Ra,ø,R,Ra,Rad,Radi,Radio,C,CL,CLC,CLCL,CLCLL,14,9,6,8,9,9,7,4,6,2,4,4,-1,light,light,light,light,light,light,o,o,o,c,o,c,CL,CL,L,CCK,AL,LC,C,C,,CC,A,,,,,,,C,L,L,L,K,L,L,2,2,1,3,2,2,0,0,0,1,0,1,1,1,0,2,1,0,2,2,2,1,2,2,CVV,CVV,VV,CCVC,CVV,VVC,0,0,0,3,0,0,N,NN,T,2,Radiostation,prima
pie,ø,e,ie,pie,apie,rapie,L,CL,KCL,CKCL,LCKCL,Ra,ø,R,Ra,Rad,Radi,Radio,C,CL,CLC,CLCL,CLCLL,14,9,6,7,10,9,7,4,6,3,5,4,-1,light,light,light,light,light,light,o,o,o,o,c,o,CL,CL,L,CL,CK,CL,C,C,,C,C,C,,,,,,,L,L,L,L,K,L,2,2,1,3,2,3,0,0,0,0,1,0,1,1,0,1,1,1,2,2,2,2,1,2,CVV,CVV,VV,CVV,CVC,CVV,0,0,0,0,2,0,N,ø,T,2,Radiotherapie,ultima
