syl_suffix,signi_suffix,suffix1,suffix2,suffix3,suffix4,suffix5,suffix_phoncat1,suffix_phoncat2,suffix_phoncat3,suffix_phoncat4,suffix_phoncat5,syl_praefix,signi_praefix,praefix1,praefix2,praefix3,praefix4,praefix5,praefix_phoncat1,praefix_phoncat2,praefix_phoncat3,praefix_phoncat4,praefix_phoncat5,sonority0,sonority1,sonority2,sonority3,sonority4,sonority5,sonority6,sonority_ratio0,sonority_ratio1,sonority_ratio2,sonority_ratio3,sonority_ratio4,sonority_ratio5,sonority_ratio6,sonority_dir,syl_weight0,syl_weight1,syl_weight2,syl_weight3,syl_weight4,syl_weight5,syl_weight6,syl_open0,syl_open1,syl_open2,syl_open3,syl_open4,syl_open5,syl_open6,syl_phoncat0,syl_phoncat1,syl_phoncat2,syl_phoncat3,syl_phoncat4,syl_phoncat5,syl_phoncat6,onset_phoncat0,onset_phoncat1,onset_phoncat2,onset_phoncat3,onset_phoncat4,onset_phoncat5,onset_phoncat6,koda_phoncat0,koda_phoncat1,koda_phoncat2,koda_phoncat3,koda_phoncat4,koda_phoncat5,koda_phoncat6,nucleus_phoncat0,nucleus_phoncat1,nucleus_phoncat2,nucleus_phoncat3,nucleus_phoncat4,nucleus_phoncat5,nucleus_phoncat6,syl_len0,syl_len1,syl_len2,syl_len3,syl_len4,syl_len5,syl_len6,koda_len0,koda_len1,koda_len2,koda_len3,koda_len4,koda_len5,koda_len6,onset_len0,onset_len1,onset_len2,onset_len3,onset_len4,onset_len5,onset_len6,nucleus_len0,nucleus_len1,nucleus_len2,nucleus_len3,nucleus_len4,nucleus_len5,nucleus_len6,syl_cv0,syl_cv1,syl_cv2,syl_cv3,syl_cv4,syl_cv5,syl_cv6,cv_ratio0,cv_ratio1,cv_ratio2,cv_ratio3,cv_ratio4,cv_ratio5,cv_ratio6,pos,comp_struct,nomen,comp_len,Word,stress_class
kung,ø,g,ng,ung,kung,lkung,C,KC,CKC,CCKC,KCCKC,Ar,ø,A,Ar,Art,Arte,Arter,K,KC,KCC,KCCL,KCCLC,10,7,12,9,11,11,12,5,3,6,4,3,3,4,0,light,light,light,schwa,light,light,light,c,o,o,c,c,c,c,KC,CL,CL,KC,CKC,CKC,CKC,,C,C,,C,C,C,C,,,C,C,C,C,K,L,L,K,K,K,K,2,2,2,2,3,3,4,1,0,0,1,1,1,1,0,1,1,0,1,1,1,1,2,2,1,1,1,1,VC,CVV,CVV,VC,CVC,CVC,CVC,1,0,0,1,2,2,2,N,NV,T,2,Arterienverkalkung,sekunda
se,ø,e,se,ose,rose,erose,K,CK,LCK,CLCK,LCLCK,Ar,ø,A,Ar,Art,Arte,Arter,K,KC,KCC,KCCL,KCCLC,10,7,12,6,12,10,7,5,3,6,6,3,5,3,-1,light,light,light,light,light,light,schwa,c,o,o,o,o,o,o,KC,CL,CL,L,CCCL,CL,CK,,C,C,,CCC,C,C,C,,,,,,,K,L,L,L,L,L,K,2,2,2,2,3,2,2,1,0,0,0,0,0,0,0,1,1,0,3,1,1,1,2,2,2,2,2,1,VC,CVV,CVV,VV,CCCVV,CVV,CV,1,0,0,0,1,0,1,N,NN,T,2,Arteriosklerose,paenultima
druck,ø,k,ck,uck,ruck,druck,C,KC,CKC,CCKC,CCCKC,At,ø,A,At,Atm,Atmo,Atmos,K,KC,KCC,KCCL,KCCLC,7,9,8,13,8,11,14,3,4,2,4,8,3,3,0,light,light,light,schwa,light,schwa,light,c,o,o,c,o,c,c,KC,CL,CCL,CKC,L,CKC,CCKC,,C,CC,C,,C,CC,C,,,C,,C,C,K,L,L,K,L,K,K,2,2,4,3,1,3,5,1,0,0,1,0,1,1,0,1,2,1,0,1,2,1,2,2,1,2,1,1,VC,CVV,CCVV,CVC,VV,CVC,CCVC,1,0,1,2,0,2,3,N,NN,T,2,Atmosphaerenueberdruck,undef
tig,ø,g,ig,tig,ftig,rftig,C,KC,CKC,CCKC,CCCKC,aus,aus,a,au,aus,ausb,ausbe,D,DC,DCC,DCCK,DCCKC,11,7,7,16,7,14,10,5,3,3,4,3,3,3,0,light,light,schwa,heavy,schwa,heavy,light,c,c,o,c,o,c,c,DC,CK,CK,CKCC,CK,CKCC,CKC,,C,C,C,C,C,C,C,,,CC,,CC,C,D,K,K,K,K,K,K,3,3,2,5,2,4,3,1,1,0,2,0,2,1,0,1,1,1,1,1,1,2,1,1,1,1,1,1,VVC,CVC,CV,CVCC,CV,CVCC,CVC,0,2,1,3,1,3,2,A,NA,F,2,ausbesserungsbeduerftig,prima
gung,ø,g,ng,ung,gung,igung,C,KC,CKC,KCKC,CKCKC,Aus,ø,A,Au,Aus,Ausr,Ausre,D,DC,DCC,DCCD,DCCDC,11,14,7,7,9,11,12,5,7,3,3,4,5,4,-1,light,light,schwa,schwa,light,light,light,c,o,o,o,o,c,c,DC,CD,CK,CK,CL,CK,CKC,,C,C,C,C,C,C,C,,,,,,C,D,D,K,K,L,K,K,3,3,2,2,3,2,4,1,0,0,0,0,1,1,0,1,1,1,1,1,1,2,2,1,1,2,1,1,VVC,CVV,CV,CV,CVV,CVC,CVC,0,0,1,1,0,2,2,N,NV,T,2,Ausreisegenehmigung,prima
tik,ø,k,ik,tik,itik,litik,C,LC,CLC,LCLC,CLCLC,Au,ø,A,Au,Aus,Auss,Ausse,D,DC,DCK,DCKC,DCKCC,10,10,10,12,7,12,10,10,3,3,3,3,6,3,0,light,schwa,light,schwa,light,light,light,o,c,c,c,o,o,c,D,CKC,CKC,CKCC,CL,CL,CLC,,C,C,C,C,C,C,,C,C,CC,,,C,D,K,K,K,L,L,L,2,3,3,4,2,2,3,0,1,1,2,0,0,1,0,1,1,1,1,1,1,2,1,1,1,2,2,2,VV,CVC,CVC,CVCC,CVV,CVV,CVVC,0,2,2,3,0,0,1,N,NN,T,2,Aussenhandelspolitik,prima
um,um,m,um,ium,rium,erium,C,KC,LKC,CLKC,LCLKC,Au,ø,A,Au,Aus,Auss,Ausse,D,DC,DCK,DCKC,DCKCC,10,10,11,12,7,12,11,10,3,5,4,3,6,5,0,light,schwa,light,light,light,light,light,o,c,o,c,o,o,c,D,CKC,CL,CKC,CL,CL,KC,,C,C,C,C,C,,,C,,C,,,C,D,K,L,K,L,L,K,2,3,2,2,3,2,2,0,1,0,1,0,0,1,0,1,1,1,1,1,0,2,1,2,1,2,2,1,VV,CVC,CVV,CVC,CVV,CVV,VC,0,2,0,2,0,0,1,N,ø,T,2,Aussenministerium,prima
risch,ø,h,ch,sch,isch,risch,C,KC,CKC,LCKC,CLCKC,au,ø,a,au,aus,auss,ausse,D,DC,DCK,DCKC,DCKCC,10,11,11,10,12,11,13,10,3,3,5,4,5,4,0,light,schwa,light,light,light,light,light,o,c,c,c,c,o,c,D,CKC,CKC,CK,CKC,CL,CKC,,C,C,C,C,C,C,,C,C,,C,,C,D,K,K,K,K,L,K,2,3,3,2,3,2,5,0,1,1,1,1,0,1,0,1,1,1,1,1,1,2,1,1,1,1,2,1,VV,CVC,CVC,CVC,CVC,CVV,CVC,0,2,2,2,2,0,2,A,ø,F,2,ausserparlamentarisch,prima
rant,ø,t,nt,ant,rant,urant,N,CN,LCN,CLCN,CCLCN,Au,ø,A,Au,Aut,Auto,Autom,D,DC,DCL,DCLC,DCLCL,10,7,13,10,11,7,12,10,3,6,3,3,3,6,0,light,light,light,schwa,light,light,light,o,o,o,c,c,o,o,D,CL,CL,CKC,CLC,CL,CN,,C,C,C,C,C,C,,,,C,C,,,D,L,L,K,L,L,N,2,2,2,3,2,4,4,0,0,0,1,1,0,0,0,1,1,1,1,1,1,2,2,2,1,2,2,2,VV,CVV,CVV,CVC,CVVC,CVV,CVV,0,0,0,2,1,0,0,N,NN,T,2,Automatenrestaurant,undef
strie,ø,e,ie,rie,trie,strie,L,CL,CCL,CCCL,KCCCL,Au,ø,A,Au,Aut,Auto,Autom,D,DC,DCL,DCLC,DCLCL,10,7,9,13,11,10,13,10,3,4,4,5,3,4,0,light,light,light,light,light,light,light,o,o,o,c,c,c,o,D,CL,CL,CLC,KC,CKC,CCL,,C,C,C,,C,CC,,,,C,C,C,,D,L,L,L,K,K,L,2,2,2,3,2,2,5,0,0,0,1,1,1,0,0,1,1,1,0,1,2,2,2,2,2,1,1,2,VV,CVV,CVV,CVVC,VC,CVC,CCVV,0,0,0,1,1,2,1,N,NN,T,2,Automobilindustrie,undef
