syl_suffix,signi_suffix,suffix1,suffix2,suffix3,suffix4,suffix5,suffix_phoncat1,suffix_phoncat2,suffix_phoncat3,suffix_phoncat4,suffix_phoncat5,syl_praefix,signi_praefix,praefix1,praefix2,praefix3,praefix4,praefix5,praefix_phoncat1,praefix_phoncat2,praefix_phoncat3,praefix_phoncat4,praefix_phoncat5,sonority0,sonority1,sonority_ratio0,sonority_ratio1,sonority_dir,syl_weight0,syl_weight1,syl_open0,syl_open1,syl_phoncat0,syl_phoncat1,onset_phoncat0,onset_phoncat1,koda_phoncat0,koda_phoncat1,nucleus_phoncat0,nucleus_phoncat1,syl_len0,syl_len1,koda_len0,koda_len1,onset_len0,onset_len1,nucleus_len0,nucleus_len1,syl_cv0,syl_cv1,cv_ratio0,cv_ratio1,pos,comp_struct,nomen,comp_len,Word,stress_class
land,ø,d,nd,and,land,nland,C,CC,KCC,CKCC,CCKCC,Gr3n,ø,G,Gr,Gro,Groe,Groen,C,CC,CCL,CCLC,CCLCC,14,14,3,3,0,light,heavy,c,c,CCLC,CKCC,CC,C,C,CC,L,K,4,4,1,2,2,1,2,1,CCVVC,CVCC,1,3,N,ø,T,0,Groenland,paenultima
ben,ø,n,en,ben,eben,Beben,C,KC,CKC,LCKC,CLCKC,Be,ø,B,Be,Beb,Bebe,Beben,C,CL,CLC,CLCK,CLCKC,7,10,3,3,2,light,schwa,o,c,CL,CKC,C,C,?,C,L,K,2,3,0,1,1,1,2,1,CVV,CVC,0,2,N,F,T,1,Beben,paenultima
ter,ø,r,er,ter,fter,efter,C,KC,CKC,CCKC,KCCKC,3f,ø,o,oe,oef,oeft,oefte,K,KC,KCC,KCCK,KCCKC,7,11,3,3,2,light,schwa,c,c,KC,CKC,?,C,C,C,K,K,2,3,1,1,0,1,1,1,VC,CVC,1,2,ADV,F,F,1,oefter,paenultima
ne,ø,e,ne,ene,aene,Daene,K,CK,LCK,CLCK,ø,D1,ø,D,Da,Dae,Daen,Daene,C,CL,CLC,CLCK,ø,7,9,3,4,1,light,schwa,o,o,CL,CK,C,C,?,?,L,K,2,2,0,0,1,1,2,1,CVV,CV,0,1,N,ø,T,0,Daene,paenultima
selbst,ø,t,st,bst,lbst,elbst,C,CC,CCC,CCCC,KCCCC,wo,ø,w,wo,wos,wose,wosel,C,CL,CLC,CLCK,CLCKC,7,14,3,2,4,light,heavy,o,c,CL,CKCCCC,C,C,?,CCCC,L,K,2,6,0,4,1,1,2,1,CVV,CVCCCC,0,5,ADV,ø,F,2,woselbst,ultima
risch,ø,h,ch,sch,isch,risch,C,KC,CKC,LCKC,ø,a,ø,a,ar,ari,aris,arisc,L,LC,LCK,LCKC,ø,10,13,10,4,2,light,light,o,c,L,CKC,?,C,?,C,L,K,1,5,0,1,0,1,2,1,VV,CVC,0,2,A,R,F,1,arisch,ultima
schnitt,ø,t,tt,itt,nitt,hnitt,C,KC,CKC,CCKC,CCCKC,L1ngs,ø,L,La,Lae,Laen,Laeng,C,CK,CKC,CKCC,CKCCC,14,13,3,3,0,heavy,light,c,c,CKCC,CCKC,C,CC,CC,C,K,K,5,7,2,1,1,2,1,1,CVCC,CCVC,3,3,N,NN,T,2,Laengsschnitt,paenultima
fall,ø,l,ll,all,fall,nfall,C,KC,CKC,CCKC,LCCKC,Ton,ø,T,To,Ton,Tonf,Tonfa,C,CL,CLC,CLCC,CLCCK,10,11,3,3,1,light,light,c,c,CLC,CKC,C,C,C,C,L,K,3,4,1,1,1,1,2,1,CVVC,CVC,1,2,N,NN,T,2,Tonfall,paenultima
horn,ø,n,rn,orn,horn,shorn,C,CC,KCC,CKCC,CCKCC,Nas,ø,N,Na,Nas,Nash,Nasho,C,CL,CLC,CLCC,CLCCK,14,14,4,3,0,light,heavy,c,c,CLC,CKCC,C,C,C,CC,L,K,3,4,1,2,1,1,2,1,CVVC,CVCC,1,3,N,ø,T,0,Nashorn,paenultima
de,ø,e,de,nde,ende,lende,K,CK,CCK,KCCK,CKCCK,Blen,ø,B,Bl,Ble,Blen,Blend,C,CC,CCK,CCKC,CCKCC,14,7,3,3,-3,light,schwa,c,o,CCKC,CK,CC,C,C,?,K,K,4,2,1,0,2,1,1,1,CCVC,CV,3,1,N,V,T,1,Blende,paenultima
lung,ø,g,ng,ung,lung,llung,C,KC,CKC,KCKC,CKCKC,Stal,ø,S,St,Sta,Stal,Stall,C,CC,CCK,CCKC,CCKCK,8,15,2,5,4,light,light,c,c,CCK,CKC,CC,C,?,C,K,K,4,4,1,1,2,1,1,1,CCVC,CVC,3,2,N,V,T,1,Stallung,paenultima
sto$,ø,s,ss,oss,toss,stoss,C,LC,CLC,CCLC,CCCLC,Durch,ø,D,Du,Dur,Durc,Durch,C,CK,CKC,CKCC,CKCCC,14,9,3,2,-2,heavy,light,c,c,CKCC,CCLC,C,CC,CC,C,K,L,5,4,2,1,1,2,1,2,CVCC,CCVVC,3,1,N,V,T,1,Durchstoss,paenultima
zig,ø,g,ig,zig,uzig,auzig,C,KC,AKC,DAKC,CDAKC,schnau,ø,s,sc,sch,schn,schna,C,CC,CCD,CCDA,CCDAK,14,10,4,3,-2,light,light,o,c,CCD,AKC,CC,A,?,C,D,K,6,3,0,1,2,1,2,1,CCVV,CVC,1,2,A,V,F,1,schnauzig,paenultima
geln,ø,n,ln,eln,geln,ageln,C,CC,KCC,CKCC,LCKCC,na,ø,n,na,nag,nage,nagel,C,CL,CLC,CLCK,CLCKC,13,14,6,3,1,light,schwa,o,c,CL,CKCC,C,C,?,CC,L,K,2,4,0,2,1,1,2,1,CVV,CVCC,0,3,V,N,F,1,nageln,paenultima
fe,ø,e,fe,pfe,mpfe,ampfe,K,AK,CAK,KCAK,CKCAK,Stamp,ø,S,St,Sta,Stam,Stamp,C,CC,CCK,CCKC,CCKCA,11,7,2,3,-2,light,schwa,c,o,CCKC,AK,CC,A,C,?,K,K,5,2,1,0,2,1,1,1,CCVC,CV,3,1,N,V,T,1,Stampfe,paenultima
che,ø,e,he,che,uche,euche,K,CK,DCK,CDCK,ø,Seu,ø,S,Se,Seu,Seuc,Seuch,C,CD,CDC,CDCK,ø,11,7,5,3,-2,light,schwa,o,o,CD,CK,C,C,?,?,D,K,3,3,0,0,1,1,2,1,CVV,CV,0,1,N,N,T,1,Seuche,paenultima
ner,ø,r,er,ner,fner,ffner,C,KC,CKC,CCKC,KCCKC,Schaff,ø,S,Sc,Sch,Scha,Schaf,C,CK,CKC,CKCC,CKCCK,8,13,2,4,3,light,schwa,c,c,CKC,CKC,C,C,C,C,K,K,6,3,1,1,1,1,1,1,CVC,CVC,2,2,N,V,T,1,Schaffner,paenultima
bar,bar,r,ar,bar,nbar,nnbar,C,LC,CLC,CCLC,KCCLC,nenn,ø,n,ne,nen,nenn,nennb,C,CK,CKC,CKCC,CKCCL,12,15,4,5,2,light,light,c,c,CKC,CLC,C,C,C,C,K,L,4,3,1,1,1,1,1,2,CVC,CVVC,2,1,A,V,F,1,nennbar,paenultima
ler,ler,r,er,ler,mler,mmler,C,KC,CKC,CCKC,KCCKC,Gamm,ø,G,Ga,Gam,Gamm,Gamml,C,CK,CKC,CKCC,CKCCK,7,17,3,4,5,light,schwa,c,c,CK,CCKC,C,CC,?,C,K,K,4,3,1,1,1,2,1,1,CVC,CCVC,2,3,N,V,T,1,Gammler,paenultima
hand,ø,d,nd,and,hand,khand,C,CC,KCC,CKCC,CCKCC,R2ck,ø,R,Ru,Rue,Ruec,Rueck,C,CK,CKC,CKCC,CKCCK,13,11,4,2,-1,light,heavy,c,c,CKC,CKCC,C,C,C,CC,K,K,4,4,1,2,1,1,1,1,CVC,CVCC,2,3,N,N,T,1,Rueckhand,paenultima
schank,ø,k,nk,ank,hank,chank,C,CC,KCC,CKCC,CCKCC,Aus,ø,A,Au,Aus,Auss,Aussc,D,DC,DCC,DCCK,DCCKC,11,11,5,2,0,light,heavy,c,c,DC,CKCC,?,C,C,CC,D,K,3,6,1,2,0,1,2,1,VVC,CVCC,0,3,N,N,T,1,Ausschank,paenultima
strauch,ø,h,ch,uch,auch,rauch,C,DC,CDC,CCDC,CCCDC,Tee,ø,T,Te,Tee,Tees,Teest,C,CL,CLC,CLCC,CLCCC,7,17,3,3,5,light,light,o,c,CL,CCCDC,C,CCC,?,C,L,D,3,7,0,1,1,3,2,2,CVV,CCCVVC,0,2,N,NN,T,2,Teestrauch,paenultima
feln,ø,n,ln,eln,feln,ofeln,C,CC,KCC,CKCC,LCKCC,mo,ø,m,mo,mof,mofe,mofel,C,CL,CLC,CLCK,CLCKC,9,14,4,3,3,light,schwa,o,c,CL,CKCC,C,C,?,CC,L,K,2,4,0,2,1,1,2,1,CVV,CVCC,0,3,V,N,F,1,mofeln,paenultima
ler,ler,r,er,ler,mler,mmler,C,KC,CKC,CCKC,KCCKC,T2mm,ø,T,Tu,Tue,Tuem,Tuemm,C,CK,CKC,CKCC,CKCCK,12,14,4,4,1,light,schwa,c,c,CKC,CKC,C,C,C,C,K,K,4,3,1,1,1,1,1,1,CVC,CVC,2,2,N,N,T,1,Tuemmler,paenultima
bleib,ø,b,ib,eib,leib,bleib,C,DC,CDC,CCDC,CCCDC,Ver,ø,V,Ve,Ver,Verb,Verbl,C,CK,CKC,CKCC,CKCCC,11,16,3,4,3,light,light,c,c,CKC,CCDC,C,CC,C,C,K,D,3,5,1,1,1,2,1,2,CVC,CCVVC,2,1,N,V,T,1,Verbleib,ultima
ckern,ø,n,rn,ern,kern,ckern,C,CC,KCC,CKCC,KCKCC,schla,ø,s,sc,sch,schl,schla,C,CC,CCK,CCKC,CCKCK,11,14,3,3,2,light,schwa,c,c,CCK,CKCC,CC,C,?,CC,K,K,5,5,1,2,2,1,1,1,CCVC,CVCC,3,3,V,V,F,1,schlackern,paenultima
ling,ling,g,ng,ing,ling,mling,C,KC,CKC,CCKC,DCCKC,D1um,ø,D,Da,Dae,Daeu,Daeum,C,CD,CDC,CDCC,CDCCK,14,15,4,5,1,light,light,c,c,CDC,CKC,C,C,C,C,D,K,4,4,1,1,1,1,2,1,CVVC,CVC,1,2,N,N,T,1,Daeumling,paenultima
fer,ø,r,er,fer,efer,aefer,C,KC,CKC,LCKC,CLCKC,Sch1,ø,S,Sc,Sch,Scha,Schae,C,CL,CLC,CLCK,CLCKC,7,11,3,3,2,light,schwa,o,c,CL,CKC,C,C,?,C,L,K,4,3,0,1,1,1,2,1,CVV,CVC,0,2,N,N,T,1,Schaefer,paenultima
trat,ø,t,at,rat,trat,itrat,C,LC,CLC,CCLC,LCCLC,Zi,ø,Z,Zi,Zit,Zitr,Zitra,A,AL,ALC,ALCC,ALCCL,10,15,3,5,3,light,light,c,c,ALC,CLC,A,C,C,C,L,L,2,4,1,1,1,1,2,2,CVVC,CVVC,1,1,N,ø,T,0,Zitrat,ultima
