syl_suffix,signi_suffix,suffix1,suffix2,suffix3,suffix4,suffix5,suffix_phoncat1,suffix_phoncat2,suffix_phoncat3,suffix_phoncat4,suffix_phoncat5,syl_praefix,signi_praefix,praefix1,praefix2,praefix3,praefix4,praefix5,praefix_phoncat1,praefix_phoncat2,praefix_phoncat3,praefix_phoncat4,praefix_phoncat5,sonority0,sonority1,sonority_ratio0,sonority_ratio1,sonority_dir,syl_weight0,syl_weight1,syl_open0,syl_open1,syl_phoncat0,syl_phoncat1,onset_phoncat0,onset_phoncat1,koda_phoncat0,koda_phoncat1,nucleus_phoncat0,nucleus_phoncat1,syl_len0,syl_len1,koda_len0,koda_len1,onset_len0,onset_len1,nucleus_len0,nucleus_len1,syl_cv0,syl_cv1,cv_ratio0,cv_ratio1,pos,comp_struct,nomen,comp_len,Word,stress_class
deich,ø,h,ch,ich,eich,deich,C,DC,CDC,CCDC,CCCDC,Sturm,ø,S,St,Stu,Stur,Sturm,C,CC,CCK,CCKC,CCKCC,17,12,3,4,-2,heavy,light,c,c,CCKCC,CDC,CC,C,CC,C,K,D,5,5,2,1,2,1,1,2,CCVCC,CVVC,4,1,N,NN,T,2,Sturmdeich,paenultima
flut,ø,t,ut,lut,flut,mflut,C,LC,CLC,CCLC,CCCLC,Sturm,ø,S,St,Stu,Stur,Sturm,C,CC,CCK,CCKC,CCKCC,17,14,3,3,-1,heavy,light,c,c,CCKCC,CCLC,CC,CC,CC,C,K,L,5,4,2,1,2,2,1,2,CCVCC,CCVVC,4,1,N,NN,T,2,Sturmflut,paenultima
flug,ø,g,ug,lug,flug,zflug,C,LC,CLC,CCLC,ACCLC,Sturz,ø,S,St,Stu,Stur,Sturz,C,CC,CCK,CCKC,CCKCA,15,14,3,3,0,heavy,light,c,c,CCKCA,CCLC,CC,CC,CA,C,K,L,5,4,2,1,2,2,1,2,CCVCC,CCVVC,4,1,N,NN,T,2,Sturzflug,paenultima
helm,ø,m,lm,elm,helm,zhelm,C,CC,KCC,CKCC,ACKCC,Sturz,ø,S,St,Stu,Stur,Sturz,C,CC,CCK,CCKC,CCKCA,15,14,3,3,0,heavy,heavy,c,c,CCKCA,CKCC,CC,C,CA,CC,K,K,5,4,2,2,2,1,1,1,CCVCC,CVCC,4,3,N,VN,T,2,Sturzhelm,paenultima
dienst,ø,t,st,nst,enst,ienst,C,CC,CCC,LCCC,CLCCC,Such,ø,S,Su,Suc,Such,Suchd,C,CL,CLC,CLCC,CLCCL,10,14,3,2,2,light,heavy,c,c,CLC,CLCCC,C,C,C,CCC,L,L,4,6,1,3,1,1,2,2,CVVC,CVVCCC,1,2,N,VN,T,2,Suchdienst,paenultima
deutsch,ø,h,ch,sch,tsch,utsch,A,DA,CDA,CCDA,LCCDA,s2d,ø,s,su,sue,sued,suedd,C,CL,CLC,CLCC,CLCCD,10,12,3,4,1,light,light,c,c,CLC,CDA,C,C,C,A,L,D,3,7,1,1,1,1,2,2,CVVC,CVVC,1,1,A,NA,F,2,sueddeutsch,paenultima
frucht,ø,t,ht,cht,ucht,rucht,C,CC,LCC,CLCC,CCLCC,S2d,ø,S,Su,Sue,Sued,Suedf,C,CL,CLC,CLCC,CLCCC,10,15,3,3,3,light,heavy,c,c,CLC,CCLCC,C,CC,C,CC,L,L,3,6,1,2,1,2,2,2,CVVC,CCVVCC,1,2,N,NN,T,2,Suedfrucht,paenultima
hang,ø,g,ng,ang,hang,dhang,C,KC,CKC,CCKC,LCCKC,S2d,ø,S,Su,Sue,Sued,Suedh,C,CL,CLC,CLCC,CLCCK,10,10,3,3,0,light,light,c,c,CLC,CKC,C,C,C,C,L,K,3,4,1,1,1,1,2,1,CVVC,CVC,1,2,N,NN,T,2,Suedhang,paenultima
ost,ø,t,st,ost,dost,edost,C,CC,KCC,CKCC,LCKCC,S2d,ø,S,Su,Sue,Sued,Suedo,C,CL,CLC,CLCK,CLCKC,10,8,3,2,-1,light,heavy,c,c,CLC,KCC,C,,C,CC,L,K,3,3,1,2,1,0,2,1,CVVC,VCC,1,2,N,NN,T,2,Suedost,ultima
pol,ø,l,ol,pol,dpol,edpol,C,LC,CLC,CCLC,LCCLC,S2d,ø,S,Su,Sue,Sued,Suedp,C,CL,CLC,CLCC,CLCCL,10,11,3,3,1,light,light,c,c,CLC,CLC,C,C,C,C,L,L,3,3,1,1,1,1,2,2,CVVC,CVVC,1,1,N,NN,T,2,Suedpol,paenultima
see,ø,e,ee,see,dsee,edsee,L,CL,CCL,LCCL,CLCCL,S2d,ø,S,Su,Sue,Sued,Sueds,C,CL,CLC,CLCC,CLCCL,10,7,3,3,-1,light,light,c,o,CLC,CL,C,C,C,,L,L,3,3,1,0,1,1,2,2,CVVC,CVV,1,0,N,NN,T,2,Suedsee,paenultima
west,ø,t,st,est,west,dwest,C,CC,KCC,CKCC,CCKCC,S2d,ø,S,Su,Sue,Sued,Suedw,C,CL,CLC,CLCC,CLCCK,10,9,3,2,0,light,heavy,c,c,CLC,CKCC,C,C,C,CC,L,K,3,4,1,2,1,1,2,1,CVVC,CVCC,1,3,N,NN,T,2,Suedwest,ultima
wind,ø,d,nd,ind,wind,dwind,C,CC,KCC,CKCC,CCKCC,S2d,ø,S,Su,Sue,Sued,Suedw,C,CL,CLC,CLCC,CLCCK,10,13,3,3,2,light,heavy,c,c,CLC,CKCC,C,C,C,CC,L,K,3,4,1,2,1,1,2,1,CVVC,CVCC,1,3,N,NN,T,2,Suedwind,paenultima
ton,ø,n,on,ton,mton,mmton,C,LC,CLC,CCLC,KCCLC,Summ,ø,S,Su,Sum,Summ,Summt,C,CK,CKC,CKCC,CKCCL,12,10,4,3,-1,light,light,c,c,CKC,CLC,C,C,C,C,K,L,4,3,1,1,1,1,1,2,CVC,CVVC,2,1,N,ø,T,2,Summton,paenultima
land,ø,d,nd,and,land,fland,C,CC,KCC,CKCC,ACKCC,Sumpf,ø,S,Su,Sum,Sump,Sumpf,C,CK,CKC,CKCA,CKCAC,13,14,3,3,1,heavy,heavy,c,c,CKCA,CKCC,C,C,CA,CC,K,K,5,4,2,2,1,1,1,1,CVCC,CVCC,3,3,N,NN,T,2,Sumpfland,paenultima
holz,ø,z,lz,olz,holz,sholz,A,CA,KCA,CKCA,CCKCA,S2$,ø,S,Su,Sue,Sues,Suess,C,CL,CLC,CLCC,CLCCK,10,12,3,3,1,light,heavy,c,c,CLC,CKCA,C,C,C,CA,L,K,3,4,1,2,1,1,2,1,CVVC,CVCC,1,3,N,AN,T,2,Suessholz,paenultima
most,ø,t,st,ost,most,smost,C,CC,KCC,CKCC,CCKCC,S2$,ø,S,Su,Sue,Sues,Suess,C,CL,CLC,CLCC,CLCCK,10,11,3,2,1,light,heavy,c,c,CLC,CKCC,C,C,C,CC,L,K,3,4,1,2,1,1,2,1,CVVC,CVCC,1,3,N,AN,T,2,Suessmost,paenultima
wein,ø,n,in,ein,wein,swein,C,DC,CDC,CCDC,LCCDC,S2$,ø,S,Su,Sue,Sues,Suess,C,CL,CLC,CLCC,CLCCD,10,14,3,4,2,light,light,c,c,CLC,CDC,C,C,C,C,L,D,3,4,1,1,1,1,2,2,CVVC,CVVC,1,1,N,AN,T,2,Suesswein,paenultima
kleid,ø,d,id,eid,leid,kleid,C,DC,CDC,CCDC,CCCDC,Taft,ø,T,Ta,Taf,Taft,Taftk,C,CK,CKC,CKCC,CKCCC,9,16,2,4,4,heavy,light,c,c,CKCC,CCDC,C,CC,CC,C,K,D,4,5,2,1,1,2,1,2,CVCC,CCVVC,3,1,N,NN,T,2,Taftkleid,paenultima
aus,ø,s,us,aus,gaus,agaus,C,DC,CDC,LCDC,CLCDC,tag,ø,t,ta,tag,taga,tagau,C,CL,CLC,CLCD,CLCDC,12,11,4,5,0,light,light,c,c,CLC,DC,C,,C,C,L,D,3,3,1,1,1,0,2,2,CVVC,VVC,1,0,ADV,ø,F,2,tagaus,ultima
dienst,ø,t,st,nst,enst,ienst,C,CC,CCC,LCCC,CLCCC,Tag,ø,T,Ta,Tag,Tagd,Tagdi,C,CL,CLC,CLCC,CLCCL,12,14,4,2,1,light,heavy,c,c,CLC,CLCCC,C,C,C,CCC,L,L,3,6,1,3,1,1,2,2,CVVC,CVVCCC,1,2,N,NN,T,2,Tagdienst,paenultima
ein,ø,n,in,ein,gein,agein,C,DC,CDC,LCDC,CLCDC,tag,ø,t,ta,tag,tage,tagei,C,CL,CLC,CLCD,CLCDC,12,13,4,6,1,light,light,c,c,CLC,DC,C,,C,C,L,D,3,3,1,1,1,0,2,2,CVVC,VVC,1,0,ADV,ø,F,2,tagein,ultima
fahrt,ø,t,rt,hrt,ahrt,fahrt,C,CC,LCC,CLCC,CCLCC,Tag,ø,T,Ta,Tag,Tagf,Tagfa,C,CL,CLC,CLCC,CLCCL,12,16,4,4,2,light,heavy,c,c,CLC,CLCC,C,C,C,CC,L,L,3,5,1,2,1,1,2,2,CVVC,CVVCC,1,1,N,NN,T,2,Tagfahrt,paenultima
hell,ø,l,ll,ell,hell,ghell,C,KC,CKC,CCKC,LCCKC,tag,ø,t,ta,tag,tagh,taghe,C,CL,CLC,CLCC,CLCCK,12,11,4,3,0,light,light,c,c,CLC,CKC,C,C,C,C,L,K,3,4,1,1,1,1,2,1,CVVC,CVC,1,2,A,NA,F,2,taghell,multa
lohn,ø,n,hn,ohn,lohn,glohn,C,LC,CLC,CCLC,LCCLC,Tag,ø,T,Ta,Tag,Tagl,Taglo,C,CL,CLC,CLCC,CLCCL,12,13,4,4,1,light,light,c,c,CLC,CLC,C,C,C,C,L,L,3,4,1,1,1,1,2,2,CVVC,CVVC,1,1,N,NN,T,2,Taglohn,paenultima
raum,ø,m,um,aum,raum,graum,C,DC,CDC,CCDC,LCCDC,Tag,ø,T,Ta,Tag,Tagr,Tagra,C,CL,CLC,CLCC,CLCCD,12,17,4,5,3,light,light,c,c,CLC,CDC,C,C,C,C,L,D,3,4,1,1,1,1,2,2,CVVC,CVVC,1,1,N,NN,T,2,Tagraum,paenultima
schicht,ø,t,ht,cht,icht,hicht,C,CC,KCC,CKCC,CCKCC,Tag,ø,T,Ta,Tag,Tags,Tagsc,C,CL,CLC,CLCC,CLCCK,12,11,4,2,0,light,heavy,c,c,CLC,CKCC,C,C,C,CC,L,K,3,7,1,2,1,1,2,1,CVVC,CVCC,1,3,N,NN,T,2,Tagschicht,paenultima
wacht,ø,t,ht,cht,acht,wacht,C,CC,KCC,CKCC,CCKCC,Tag,ø,T,Ta,Tag,Tagw,Tagwa,C,CL,CLC,CLCC,CLCCK,12,9,4,2,-1,light,heavy,c,c,CLC,CKCC,C,C,C,CC,L,K,3,5,1,2,1,1,2,1,CVVC,CVCC,1,3,N,NN,T,2,Tagwacht,paenultima
werk,ø,k,rk,erk,werk,gwerk,C,CC,KCC,CKCC,CCKCC,Tag,ø,T,Ta,Tag,Tagw,Tagwe,C,CL,CLC,CLCC,CLCCK,12,12,4,3,0,light,heavy,c,c,CLC,CKCC,C,C,C,CC,L,K,3,4,1,2,1,1,2,1,CVVC,CVCC,1,3,N,NN,T,2,Tagwerk,paenultima
ma$,ø,s,ss,ass,mass,tmass,C,LC,CLC,CCLC,CCCLC,Takt,ø,T,Ta,Tak,Takt,Taktm,C,CK,CKC,CKCC,CKCCC,9,14,2,4,3,heavy,light,c,c,CKCC,CLC,C,C,CC,C,K,L,4,3,2,1,1,1,1,2,CVCC,CVVC,3,1,N,NN,T,2,Taktmass,paenultima
stock,ø,k,ck,ock,tock,stock,C,KC,CKC,CCKC,CCCKC,Takt,ø,T,Ta,Tak,Takt,Takts,C,CK,CKC,CKCC,CKCCC,9,9,2,2,0,heavy,light,c,c,CKCC,CCKC,C,CC,CC,C,K,K,4,5,2,1,1,2,1,1,CVCC,CCVC,3,3,N,NN,T,2,Taktstock,paenultima
voll,ø,l,ll,oll,voll,tvoll,C,KC,CKC,CCKC,CCCKC,takt,ø,t,ta,tak,takt,taktv,C,CK,CKC,CKCC,CKCCC,9,11,2,3,1,heavy,light,c,c,CKCC,CKC,C,C,CC,C,K,K,4,4,2,1,1,1,1,1,CVCC,CVC,3,2,A,NA,F,2,taktvoll,paenultima
fahrt,ø,t,rt,hrt,ahrt,fahrt,C,CC,LCC,CLCC,CCLCC,Tal,ø,T,Ta,Tal,Talf,Talfa,C,CL,CLC,CLCC,CLCCL,15,16,5,4,1,light,heavy,c,c,CLC,CLCC,C,C,C,CC,L,L,3,5,1,2,1,1,2,2,CVVC,CVVCC,1,1,N,NN,T,2,Talfahrt,paenultima
licht,ø,t,ht,cht,icht,licht,C,CC,KCC,CKCC,CCKCC,Talg,ø,T,Ta,Tal,Talg,Talgl,C,CK,CKC,CKCC,CKCCC,12,14,3,3,1,heavy,heavy,c,c,CKCC,CKCC,C,C,CC,CC,K,K,4,5,2,2,1,1,1,1,CVCC,CVCC,3,3,N,NN,T,2,Talglicht,paenultima
schiff,ø,f,ff,iff,hiff,chiff,C,KC,CKC,CCKC,CCCKC,Tank,ø,T,Ta,Tan,Tank,Tanks,C,CK,CKC,CKCC,CKCCC,11,10,2,3,0,heavy,light,c,c,CKCC,CKC,C,C,CC,C,K,K,4,6,2,1,1,1,1,1,CVCC,CVC,3,2,N,NN,T,2,Tankschiff,paenultima
wart,ø,t,rt,art,wart,kwart,C,CC,KCC,CKCC,CCKCC,Tank,ø,T,Ta,Tan,Tank,Tankw,C,CK,CKC,CKCC,CKCCC,11,12,2,3,1,heavy,heavy,c,c,CKCC,CKCC,C,C,CC,CC,K,K,4,4,2,2,1,1,1,1,CVCC,CVCC,3,3,N,VN,T,2,Tankwart,paenultima
bar,bar,r,ar,bar,zbar,nzbar,C,LC,CLC,ACLC,CACLC,Tanz,ø,T,Ta,Tan,Tanz,Tanzb,C,CK,CKC,CKCA,CKCAC,11,15,2,5,2,heavy,light,c,c,CKCA,CLC,C,C,CA,C,K,L,4,3,2,1,1,1,1,2,CVCC,CVVC,3,1,N,VN,T,2,Tanzbar,paenultima
b1r,ø,r,er,aer,baer,zbaer,C,LC,CLC,ACLC,CACLC,Tanz,ø,T,Ta,Tan,Tanz,Tanzb,C,CK,CKC,CKCA,CKCAC,11,11,2,3,0,heavy,light,c,c,CKCA,CLC,C,C,CA,C,K,L,4,3,2,1,1,1,1,2,CVCC,CVVC,3,1,N,VN,T,2,Tanzbaer,paenultima
bein,ø,n,in,ein,bein,zbein,C,DC,CDC,ACDC,CACDC,Tanz,ø,T,Ta,Tan,Tanz,Tanzb,C,CK,CKC,CKCA,CKCAC,11,14,2,4,2,heavy,light,c,c,CKCA,CDC,C,C,CA,C,K,D,4,4,2,1,1,1,1,2,CVCC,CVVC,3,1,N,VN,T,2,Tanzbein,paenultima
kurs,ø,s,rs,urs,kurs,zkurs,C,CC,KCC,CKCC,ACKCC,Tanz,ø,T,Ta,Tan,Tanz,Tanzk,C,CK,CKC,CKCA,CKCAC,11,14,2,3,2,heavy,heavy,c,c,CKCA,CKCC,C,C,CA,CC,K,K,4,4,2,2,1,1,1,1,CVCC,CVCC,3,3,N,VN,T,2,Tanzkurs,paenultima
lied,ø,d,ed,ied,lied,zlied,C,LC,CLC,ACLC,CACLC,Tanz,ø,T,Ta,Tan,Tanz,Tanzl,C,CK,CKC,CKCA,CKCAC,11,13,2,4,1,heavy,light,c,c,CKCA,CLC,C,C,CA,C,K,L,4,4,2,1,1,1,1,2,CVCC,CVVC,3,1,N,NN,T,2,Tanzlied,paenultima
platz,ø,z,tz,atz,latz,platz,A,KA,CKA,CCKA,ACCKA,Tanz,ø,T,Ta,Tan,Tanz,Tanzp,C,CK,CKC,CKCA,CKCAC,11,12,2,3,1,heavy,light,c,c,CKCA,CCKA,C,CC,CA,A,K,K,4,5,2,1,1,2,1,1,CVCC,CCVC,3,3,N,VN,T,2,Tanzplatz,paenultima
saal,ø,l,al,aal,saal,zsaal,C,LC,CLC,ACLC,CACLC,Tanz,ø,T,Ta,Tan,Tanz,Tanzs,C,CK,CKC,CKCA,CKCAC,11,15,2,5,2,heavy,light,c,c,CKCA,CLC,C,C,CA,C,K,L,4,4,2,1,1,1,1,2,CVCC,CVVC,3,1,N,VN,T,2,Tanzsaal,paenultima
schritt,ø,t,tt,itt,ritt,hritt,C,KC,CKC,CCKC,ACCKC,Tanz,ø,T,Ta,Tan,Tanz,Tanzs,C,CK,CKC,CKCA,CKCAC,11,14,2,3,2,heavy,light,c,c,CKCA,CCKC,C,CC,CA,C,K,K,4,7,2,1,1,2,1,1,CVCC,CCVC,3,3,N,NN,T,2,Tanzschritt,paenultima
sport,ø,t,rt,ort,port,sport,C,CC,KCC,CKCC,CCKCC,Tanz,ø,T,Ta,Tan,Tanz,Tanzs,C,CK,CKC,CKCA,CKCAC,11,13,2,2,1,heavy,heavy,c,c,CKCA,CCKCC,C,CC,CA,CC,K,K,4,5,2,2,1,2,1,1,CVCC,CCVCC,3,4,N,NN,T,2,Tanzsport,paenultima
tee,ø,e,ee,tee,ztee,nztee,L,CL,ACL,CACL,KCACL,Tanz,ø,T,Ta,Tan,Tanz,Tanzt,C,CK,CKC,CKCA,CKCAC,11,7,2,3,-2,heavy,light,c,o,CKCA,CL,C,C,CA,,K,L,4,3,2,0,1,1,1,2,CVCC,CVV,3,0,N,VN,T,2,Tanztee,paenultima
sinn,ø,n,nn,inn,sinn,tsinn,C,KC,CKC,CCKC,CCCKC,Tast,ø,T,Ta,Tas,Tast,Tasts,C,CK,CKC,CKCC,CKCCC,9,12,2,4,2,heavy,light,c,c,CKCC,CKC,C,C,CC,C,K,K,4,4,2,1,1,1,1,1,CVCC,CVC,3,2,N,VN,T,2,Tastsinn,paenultima
form,ø,m,rm,orm,form,tform,C,CC,KCC,CKCC,CCKCC,Tat,ø,T,Ta,Tat,Tatf,Tatfo,C,CL,CLC,CLCC,CLCCK,12,14,4,3,1,light,heavy,c,c,CLC,CKCC,C,C,C,CC,L,K,3,4,1,2,1,1,2,1,CVVC,CVCC,1,3,N,NN,T,2,Tatform,paenultima
froh,ø,h,oh,roh,froh,tfroh,L,CL,CCL,CCCL,LCCCL,tat,ø,t,ta,tat,tatf,tatfr,C,CL,CLC,CLCC,CLCCC,12,11,4,3,0,light,light,c,o,CLC,CCL,C,CC,C,,L,L,3,4,1,0,1,2,2,2,CVVC,CCVV,1,1,A,NA,F,2,tatfroh,paenultima
