syl_suffix,signi_suffix,suffix1,suffix2,suffix3,suffix4,suffix5,suffix_phoncat1,suffix_phoncat2,suffix_phoncat3,suffix_phoncat4,suffix_phoncat5,suff_class,syl_praefix,signi_praefix,praefix1,praefix2,praefix3,praefix4,praefix5,praefix_phoncat1,praefix_phoncat2,praefix_phoncat3,praefix_phoncat4,praefix_phoncat5,prae_class,sonority0,sonority1,sonority2,sonority3,sonority_ratio0,sonority_ratio1,sonority_ratio2,sonority_ratio3,sonority_dir,syl_weight0,syl_weight1,syl_weight2,syl_weight3,syl_open0,syl_open1,syl_open2,syl_open3,syl_phoncat0,syl_phoncat1,syl_phoncat2,syl_phoncat3,onset_phoncat0,onset_phoncat1,onset_phoncat2,onset_phoncat3,koda_phoncat0,koda_phoncat1,koda_phoncat2,koda_phoncat3,nucleus_phoncat0,nucleus_phoncat1,nucleus_phoncat2,nucleus_phoncat3,syl_len0,syl_len1,syl_len2,syl_len3,koda_len0,koda_len1,koda_len2,koda_len3,onset_len0,onset_len1,onset_len2,onset_len3,nucleus_len0,nucleus_len1,nucleus_len2,nucleus_len3,syl_cv0,syl_cv1,syl_cv2,syl_cv3,cv_ratio0,cv_ratio1,cv_ratio2,cv_ratio3,pos,comp_struct,nomen,comp_len,Word,stress_class
len,ø,n,en,len,elen,eelen,C,KC,CKC,LCKC,CLCKC,ø,Al,ø,A,Al,All,Alle,Aller,K,KC,KCK,KCKC,KCKCC,ø,6,14,7,13,6,4,3,4,1,light,schwa,light,schwa,c,c,o,c,K,CKC,CL,CKC,,C,C,C,,C,,C,K,K,L,K,2,3,3,3,1,1,0,1,0,1,1,1,1,1,2,1,VC,CVC,CVV,CVC,1,2,0,2,N,N,T,1,Allerseelen,multa
test,ø,t,st,est,test,etest,C,CC,KCC,CKCC,LCKCC,ø,al,ø,a,al,all,alle,aller,K,KC,KCK,KCKC,KCKCC,ø,6,14,8,9,6,4,2,2,0,light,schwa,light,schwa,c,c,o,c,K,CKC,CCL,CKCC,,C,CC,C,,C,,CC,K,K,L,K,2,3,3,4,1,1,0,2,0,1,2,1,1,1,2,1,VC,CVC,CCVV,CVCC,1,2,1,3,ADV,F,F,1,allerspaetest,multa
gen,ø,n,en,gen,egen,wegen,C,KC,CKC,LCKC,CLCKC,ø,al,ø,a,al,all,alle,aller,K,KC,KCK,KCKC,KCKCC,ø,6,14,7,10,6,4,3,3,0,light,schwa,light,schwa,c,c,o,c,K,CKC,CL,CKC,,C,C,C,,C,,C,K,K,L,K,2,3,2,3,1,1,0,1,0,1,1,1,1,1,2,1,VC,CVC,CVV,CVC,1,2,0,2,ADV,ø,F,2,allerwegen,multa
wort,ø,t,rt,ort,wort,swort,C,CC,KCC,CKCC,ACKCC,ø,Al,ø,A,Al,All,Alle,Aller,K,KC,KCK,KCKC,KCKCC,ø,6,14,12,12,6,4,3,3,1,light,schwa,heavy,heavy,c,c,c,c,K,CKC,CKCA,CKCC,,C,C,C,,C,CA,CC,K,K,K,K,2,3,5,4,1,1,2,2,0,1,1,1,1,1,1,1,VC,CVC,CVCC,CVCC,1,2,3,3,N,ø,T,2,Allerweltswort,multa
nigst,ø,t,st,gst,igst,nigst,C,CC,CCC,KCCC,CKCCC,ø,al,ø,a,al,all,alle,aller,K,KC,KCK,KCKC,KCKCC,ø,6,14,7,14,6,4,3,2,1,light,schwa,light,heavy,c,c,o,c,K,CKC,CL,CKCCC,,C,C,C,,C,,CCC,K,K,L,K,2,3,2,5,1,1,0,3,0,1,1,1,1,1,2,1,VC,CVC,CVV,CVCCC,1,2,0,4,A,F,F,1,allerwenigst,multa
ser,ø,r,er,ser,sser,esser,C,KC,CKC,KCKC,CKCKC,ø,Al,ø,A,Al,All,Alle,Alles,K,KC,KCK,KCKC,KCKCC,ø,6,11,11,11,6,3,3,3,1,light,schwa,light,schwa,c,c,c,c,K,CKC,CCK,CKC,,C,CC,C,,C,,C,K,K,K,K,2,3,4,3,1,1,1,1,0,1,2,1,1,1,1,1,VC,CVC,CCVC,CVC,1,2,3,2,N,ø,T,2,Allesfresser,multa
ge,ø,e,ge,ege,wege,ewege,K,CK,LCK,CLCK,KCLCK,ø,al,ø,a,al,all,alle,allew,K,KC,KCK,KCKC,KCKCL,ø,6,10,7,7,6,5,3,3,0,light,schwa,light,schwa,c,o,o,o,K,CK,CL,CK,,C,C,C,,,,,K,K,L,K,2,2,2,2,1,0,0,0,0,1,1,1,1,1,2,1,VC,CV,CVV,CV,1,1,0,1,ADV,ø,F,2,allewege,multa
gut,ø,t,ut,gut,ngut,ingut,C,LC,CLC,CCLC,DCCLC,ø,All,ø,A,Al,All,Allg,Allge,K,KC,KCC,KCCK,KCCKC,ø,10,7,16,10,5,3,5,3,1,light,schwa,light,light,c,o,c,c,KC,CK,CDC,CLC,,C,C,C,C,,C,C,K,K,D,L,3,2,4,3,1,0,1,1,0,1,1,1,1,1,2,2,VC,CV,CVVC,CVVC,1,1,1,1,N,AN,T,2,Allgemeingut,multa
heit,heit,t,it,eit,heit,nheit,C,DC,CDC,CCDC,DCCDC,ø,All,ø,A,Al,All,Allg,Allge,K,KC,KCC,KCCK,KCCKC,ø,10,7,16,12,5,3,5,4,1,light,schwa,light,light,c,o,c,c,KC,CK,CDC,CDC,,C,C,C,C,,C,C,K,K,D,D,3,2,4,4,1,0,1,1,0,1,1,1,1,1,2,2,VC,CV,CVVC,CVVC,1,1,1,1,N,A,T,1,Allgemeinheit,multa
wohl,ø,l,hl,ohl,wohl,nwohl,C,LC,CLC,CCLC,DCCLC,ø,All,ø,A,Al,All,Allg,Allge,K,KC,KCC,KCCK,KCCKC,ø,10,7,16,11,5,3,5,3,1,light,schwa,light,light,c,o,c,c,KC,CK,CDC,CLC,,C,C,C,C,,C,C,K,K,D,L,3,2,4,4,1,0,1,1,0,1,1,1,1,1,2,2,VC,CV,CVVC,CVVC,1,1,1,1,N,AN,T,2,Allgemeinwohl,multa
