syl_suffix,signi_suffix,suffix1,suffix2,suffix3,suffix4,suffix5,suffix_phoncat1,suffix_phoncat2,suffix_phoncat3,suffix_phoncat4,suffix_phoncat5,syl_praefix,signi_praefix,praefix1,praefix2,praefix3,praefix4,praefix5,praefix_phoncat1,praefix_phoncat2,praefix_phoncat3,praefix_phoncat4,praefix_phoncat5,sonority0,sonority1,sonority2,sonority_ratio0,sonority_ratio1,sonority_ratio2,sonority_dir,syl_weight0,syl_weight1,syl_weight2,syl_open0,syl_open1,syl_open2,syl_phoncat0,syl_phoncat1,syl_phoncat2,onset_phoncat0,onset_phoncat1,onset_phoncat2,koda_phoncat0,koda_phoncat1,koda_phoncat2,nucleus_phoncat0,nucleus_phoncat1,nucleus_phoncat2,syl_len0,syl_len1,syl_len2,koda_len0,koda_len1,koda_len2,onset_len0,onset_len1,onset_len2,nucleus_len0,nucleus_len1,nucleus_len2,syl_cv0,syl_cv1,syl_cv2,cv_ratio0,cv_ratio1,cv_ratio2,pos,comp_struct,nomen,comp_len,Word,stress_class
er,er,r,er,ier,eier,geier,C,KC,DKC,CDKC,CCDKC,Aas,ø,A,Aa,Aas,Aasg,Aasge,L,LC,LCC,LCCD,LCCDK,11,11,10,5,5,5,-1,light,light,schwa,c,o,c,LC,CD,KC,,C,,C,,C,L,D,K,3,3,2,1,0,1,0,1,0,2,2,1,VVC,CVV,VC,0,0,1,N,NN,T,2,Aasgeier,antepaenultima
feld,ø,d,ld,eld,feld,ufeld,C,CC,KCC,CKCC,DCKCC,Ab,ø,A,Ab,Abb,Abba,Abbau,K,KC,KCC,KCCD,KCCDC,7,11,12,3,5,3,2,light,light,heavy,c,o,c,KC,CD,CKCC,,C,C,C,,CC,K,D,K,2,3,4,1,0,2,0,1,1,1,2,1,VC,CVV,CVCC,1,0,3,N,VN,T,2,Abbaufeld,antepaenultima
recht,ø,t,ht,cht,echt,recht,C,CC,KCC,CKCC,DCKCC,Ab,ø,A,Ab,Abb,Abba,Abbau,K,KC,KCC,KCCD,KCCDC,7,11,12,3,5,3,2,light,light,heavy,c,o,c,KC,CD,CKCC,,C,C,C,,CC,K,D,K,2,3,5,1,0,2,0,1,1,1,2,1,VC,CVV,CVCC,1,0,3,N,VN,T,2,Abbaurecht,antepaenultima
$en,ø,n,en,sen,ssen,issen,C,KC,CKC,DCKC,CDCKC,ab,ab,a,ab,abb,abbe,abbei,K,KC,KCC,KCCD,KCCDC,7,11,10,3,5,3,1,light,light,schwa,c,o,c,KC,CD,CKC,,C,C,C,,C,K,D,K,2,3,3,1,0,1,0,1,1,1,2,1,VC,CVV,CVC,1,0,2,V,PV,F,2,abbeissen,antepaenultima
licht,ø,t,ht,cht,icht,licht,C,CC,KCC,CKCC,CCKCC,Ab,ø,A,Ab,Abb,Abbl,Abble,K,KC,KCC,KCCC,KCCCK,7,15,14,3,3,3,3,light,heavy,heavy,c,c,c,KC,CCKCC,CKCC,,CC,C,C,CC,CC,K,K,K,2,5,5,1,2,2,0,2,1,1,1,1,VC,CCVCC,CVCC,1,4,3,N,VN,T,2,Abblendlicht,antepaenultima
brot,ø,t,ot,rot,brot,dbrot,C,LC,CLC,CCLC,CCCLC,A,ø,A,Ab,Abe,Aben,Abend,L,LC,LCK,LCKC,LCKCC,10,11,12,10,2,3,1,light,schwa,light,o,c,c,L,CKCC,CCLC,,C,CC,,CC,C,L,K,L,1,4,4,0,2,1,0,1,2,2,1,2,VV,CVCC,CCVVC,0,3,1,N,NN,T,2,Abendbrot,antepaenultima
kleid,ø,d,id,eid,leid,kleid,C,DC,CDC,CCDC,CCCDC,A,ø,A,Ab,Abe,Aben,Abend,L,LC,LCK,LCKC,LCKCC,10,11,16,10,2,4,3,light,schwa,light,o,c,c,L,CKCC,CCDC,,C,CC,,CC,C,L,K,D,1,4,5,0,2,1,0,1,2,2,1,2,VV,CVCC,CCVVC,0,3,1,N,NN,T,2,Abendkleid,antepaenultima
kurs,ø,s,rs,urs,kurs,dkurs,C,CC,KCC,CKCC,CCKCC,A,ø,A,Ab,Abe,Aben,Abend,L,LC,LCK,LCKC,LCKCC,10,11,14,10,2,3,2,light,schwa,heavy,o,c,c,L,CKCC,CKCC,,C,C,,CC,CC,L,K,K,1,4,4,0,2,2,0,1,1,2,1,1,VV,CVCC,CVCC,0,3,3,N,NN,T,2,Abendkurs,antepaenultima
land,ø,d,nd,and,land,dland,C,CC,KCC,CKCC,CCKCC,A,ø,A,Ab,Abe,Aben,Abend,L,LC,LCK,LCKC,LCKCC,10,11,14,10,2,3,2,light,schwa,heavy,o,c,c,L,CKCC,CKCC,,C,C,,CC,CC,L,K,K,1,4,4,0,2,2,0,1,1,2,1,1,VV,CVCC,CVCC,0,3,3,N,NN,T,2,Abendland,antepaenultima
mahl,ø,l,hl,ahl,mahl,dmahl,C,LC,CLC,CCLC,CCCLC,A,ø,A,Ab,Abe,Aben,Abend,L,LC,LCK,LCKC,LCKCC,10,11,17,10,2,5,3,light,schwa,light,o,c,c,L,CKCC,CLC,,C,C,,CC,C,L,K,L,1,4,4,0,2,1,0,1,1,2,1,2,VV,CVCC,CVVC,0,3,1,N,NN,T,2,Abendmahl,antepaenultima
rot,ø,t,ot,rot,drot,ndrot,C,LC,CLC,CCLC,CCCLC,A,ø,A,Ab,Abe,Aben,Abend,L,LC,LCK,LCKC,LCKCC,10,11,11,10,2,3,0,light,schwa,light,o,c,c,L,CKCC,CLC,,C,C,,CC,C,L,K,L,1,4,3,0,2,1,0,1,1,2,1,2,VV,CVCC,CVVC,0,3,1,N,NN,T,2,Abendrot,antepaenultima
zeit,ø,t,it,eit,zeit,szeit,C,DC,ADC,AADC,CAADC,Ab,ø,A,Ab,Abf,Abfa,Abfah,K,KC,KCC,KCCL,KCCLC,7,16,12,3,4,4,2,light,heavy,light,c,c,c,KC,CLCA,ADC,,C,A,C,CA,C,K,L,D,2,6,4,1,2,1,0,1,1,1,2,2,VC,CVVCC,CVVC,1,1,1,N,NN,T,2,Abfahrtszeit,antepaenultima
hahn,ø,n,hn,ahn,hahn,shahn,C,LC,CLC,CCLC,KCCLC,Ab,ø,A,Ab,Abf,Abfl,Abflu,K,KC,KCC,KCCC,KCCCK,7,14,14,3,3,4,3,light,light,light,c,c,c,KC,CCKC,CLC,,CC,C,C,C,C,K,K,L,2,4,4,1,1,1,0,2,1,1,1,2,VC,CCVC,CVVC,1,3,1,N,NN,T,2,Abflusshahn,antepaenultima
tief,ø,f,ef,ief,tief,dtief,C,LC,CLC,CCLC,CCCLC,ab,ab,a,ab,abg,abgr,abgru,K,KC,KCC,KCCC,KCCCK,7,17,10,3,3,3,1,light,heavy,light,c,c,c,KC,CCKCC,CLC,,CC,C,C,CC,C,K,K,L,2,5,4,1,2,1,0,2,1,1,1,2,VC,CCVCC,CVVC,1,4,1,A,NA,F,2,abgrundtief,antepaenultima
dig,ø,g,ig,dig,ndig,andig,C,KC,CKC,CCKC,KCCKC,ab,ab,a,ab,abl,abla,ablan,K,KC,KCC,KCCK,KCCKC,7,13,10,3,4,3,1,light,light,light,c,c,c,KC,CKC,CKC,,C,C,C,C,C,K,K,K,2,3,3,1,1,1,0,1,1,1,1,1,VC,CVC,CVC,1,2,2,A,PN,F,2,ablandig,antepaenultima
brief,ø,f,ef,ief,rief,brief,C,LC,CLC,CCLC,CCCLC,Ab,ø,A,Ab,Abl,Abla,Ablas,K,KC,KCC,KCCK,KCCKC,7,11,14,3,3,3,3,light,light,light,c,c,c,KC,CKC,CCLC,,C,CC,C,C,C,K,K,L,2,3,5,1,1,1,0,1,2,1,1,2,VC,CVC,CCVVC,1,2,1,N,NN,T,2,Ablassbrief,antepaenultima
salz,ø,z,lz,alz,salz,msalz,A,CA,KCA,CKCA,CCKCA,Ab,ø,A,Ab,Abr,Abra,Abrau,K,KC,KCC,KCCD,KCCDC,7,17,12,3,5,3,2,light,light,heavy,c,c,c,KC,CDC,CKCA,,C,C,C,C,CA,K,D,K,2,4,4,1,1,2,0,1,1,1,2,1,VC,CVVC,CVCC,1,1,3,N,VN,T,2,Abraumsalz,antepaenultima
chen,chen,n,en,hen,chen,ichen,C,KC,CKC,DCKC,CDCKC,ab,ab,a,ab,abr,abre,abrei,K,KC,KCC,KCCD,KCCDC,7,14,10,3,7,3,1,light,light,schwa,c,o,c,KC,CD,CKC,,C,C,C,,C,K,D,K,2,3,4,1,0,1,0,1,1,1,2,1,VC,CVV,CVC,1,0,2,V,PV,F,2,abreichen,antepaenultima
block,ø,k,ck,ock,lock,block,C,KC,CKC,CCKC,CCCKC,Ab,ø,A,Ab,Abr,Abre,Abrei,K,KC,KCC,KCCD,KCCDC,7,15,12,3,5,3,2,light,light,light,c,c,c,KC,CDC,CCKC,,C,CC,C,C,C,K,D,K,2,4,5,1,1,1,0,1,2,1,2,1,VC,CVVC,CCVC,1,1,3,N,VN,T,2,Abreissblock,antepaenultima
brief,ø,f,ef,ief,rief,brief,C,LC,CLC,CCLC,ACCLC,Ab,ø,A,Ab,Abs,Absc,Absch,K,KC,KCC,KCCL,KCCLA,7,10,14,3,3,3,3,light,light,light,c,c,c,KC,CLA,CCLC,,C,CC,C,A,C,K,L,L,2,7,5,1,1,1,0,1,2,1,2,2,VC,CVVC,CCVVC,1,1,1,N,NN,T,2,Abschiedsbrief,antepaenultima
tag,ø,g,ag,tag,stag,dstag,C,LC,CLC,ACLC,LACLC,Ab,ø,A,Ab,Abs,Absc,Absch,K,KC,KCC,KCCL,KCCLA,7,10,12,3,3,4,2,light,light,light,c,c,c,KC,CLA,CLC,,C,C,C,A,C,K,L,L,2,7,3,1,1,1,0,1,1,1,2,2,VC,CVVC,CVVC,1,1,1,N,NN,T,2,Abschiedstag,antepaenultima
dienst,ø,t,st,nst,enst,ienst,C,CC,CCC,LCCC,CLCCC,Ab,ø,A,Ab,Abs,Absc,Absch,K,KC,KCC,KCCC,KCCCK,7,12,14,3,3,2,3,light,light,heavy,c,c,c,KC,CCKC,CLCCC,,CC,C,C,C,CCC,K,K,L,2,7,6,1,1,3,0,2,1,1,1,2,VC,CCVC,CVVCCC,1,3,2,N,VN,T,2,Abschleppdienst,antepaenultima
voll,ø,l,ll,oll,voll,svoll,C,KC,CKC,ACKC,CACKC,ab,ab,a,ab,abs,absi,absic,K,KC,KCC,KCCK,KCCKC,7,11,11,3,2,3,2,light,heavy,light,c,c,c,KC,CKCA,CKC,,C,C,C,CA,C,K,K,K,2,6,4,1,2,1,0,1,1,1,1,1,VC,CVCC,CVC,1,3,2,A,NA,F,2,absichtsvoll,antepaenultima
hahn,ø,n,hn,ahn,hahn,rhahn,C,LC,CLC,CCLC,KCCLC,Ab,ø,A,Ab,Abs,Absp,Abspe,K,KC,KCC,KCCC,KCCCK,7,12,14,3,3,4,3,light,light,light,c,c,c,KC,CCKC,CLC,,CC,C,C,C,C,K,K,L,2,5,4,1,1,1,0,2,1,1,1,2,VC,CCVC,CVVC,1,3,1,N,VN,T,2,Absperrhahn,antepaenultima
gleis,ø,s,is,eis,leis,gleis,C,DC,CDC,CCDC,CCCDC,Ab,ø,A,Ab,Abs,Abst,Abste,K,KC,KCC,KCCC,KCCCK,7,12,16,3,3,4,4,light,light,light,c,c,c,KC,CCKC,CCDC,,CC,CC,C,C,C,K,K,D,2,5,5,1,1,1,0,2,2,1,1,2,VC,CCVC,CCVVC,1,3,1,N,VN,T,2,Abstellgleis,antepaenultima
raum,ø,m,um,aum,raum,lraum,C,DC,CDC,CCDC,KCCDC,Ab,ø,A,Ab,Abs,Abst,Abste,K,KC,KCC,KCCC,KCCCK,7,12,17,3,3,5,5,light,light,light,c,c,c,KC,CCKC,CDC,,CC,C,C,C,C,K,K,D,2,5,4,1,1,1,0,2,1,1,1,2,VC,CCVC,CVVC,1,3,1,N,VN,T,2,Abstellraum,antepaenultima
kreis,ø,s,is,eis,reis,kreis,C,DC,CDC,CCDC,CCCDC,Ab,ø,A,Ab,Abs,Abst,Absti,K,KC,KCC,KCCC,KCCCK,7,13,16,3,3,4,4,light,light,light,c,c,c,KC,CCKC,CCDC,,CC,CC,C,C,C,K,K,D,2,5,5,1,1,1,0,2,2,1,1,2,VC,CCVC,CCVVC,1,3,1,N,VN,T,2,Abstimmkreis,antepaenultima
ren,ø,n,en,ren,eren,ieren,C,KC,CKC,LCKC,CLCKC,ab,ab,a,ab,abv,abvi,abvie,K,KC,KCC,KCCL,KCCLC,7,9,13,3,4,4,3,light,light,schwa,c,o,c,KC,CL,CKC,,C,C,C,,C,K,L,K,2,3,3,1,0,1,0,1,1,1,2,1,VC,CVV,CVC,1,0,2,V,ø,F,2,abvieren,antepaenultima
kampf,ø,f,pf,mpf,ampf,kampf,A,CA,KCA,CKCA,CCKCA,Ab,ø,A,Ab,Abw,Abwe,Abweh,K,KC,KCC,KCCL,KCCLC,7,11,11,3,3,2,2,light,light,heavy,c,c,c,KC,CLC,CKCA,,C,C,C,C,CA,K,L,K,2,4,5,1,1,2,0,1,1,1,2,1,VC,CVVC,CVCC,1,1,3,N,VN,T,2,Abwehrkampf,antepaenultima
reim,ø,m,im,eim,reim,lreim,C,DC,CDC,CCDC,LCCDC,Ab,ø,A,Ab,Abz,Abza,Abzae,K,KC,KCA,KCAL,KCALC,7,11,17,3,3,5,5,light,light,light,c,c,c,KC,ALC,CDC,,A,C,C,C,C,K,L,D,2,4,4,1,1,1,0,1,1,1,2,2,VC,CVVC,CVVC,1,1,1,N,VN,T,2,Abzaehlreim,antepaenultima
bild,ø,d,ld,ild,bild,hbild,C,CC,KCC,CKCC,LCKCC,Ab,ø,A,Ab,Abz,Abzi,Abzie,K,KC,KCA,KCAL,KCALC,7,9,14,3,4,3,3,light,light,heavy,c,o,c,KC,AL,CKCC,,A,C,C,,CC,K,L,K,2,4,4,1,0,2,0,1,1,1,2,1,VC,CVV,CVCC,1,0,3,N,VN,T,2,Abziehbild,antepaenultima
griff,ø,f,ff,iff,riff,griff,C,KC,CKC,CCKC,CCCKC,Ach,ø,A,Ac,Ach,Achs,Achse,K,KC,KCC,KCCK,KCCKC,7,11,14,3,3,3,3,light,schwa,light,c,c,c,KC,CKC,CCKC,,C,CC,C,C,C,K,K,K,3,3,5,1,1,1,0,1,2,1,1,1,VC,CVC,CCVC,1,2,3,N,NN,T,2,Achselgriff,antepaenultima
bruch,ø,h,ch,uch,ruch,bruch,C,KC,CKC,CCKC,CCCKC,Ach,ø,A,Ac,Ach,Achs,Achse,K,KC,KCC,KCCK,KCCKC,7,10,14,3,3,3,3,light,schwa,light,c,c,c,KC,CKC,CCKC,,C,CC,C,C,C,K,K,K,3,3,5,1,1,1,0,1,2,1,1,1,VC,CVC,CCVC,1,2,3,N,NN,T,2,Achsenbruch,antepaenultima
ger,ø,r,er,ger,ager,lager,C,KC,CKC,LCKC,CLCKC,Achs,ø,A,Ac,Ach,Achs,Achsl,K,KC,KCC,KCCC,KCCCL,8,14,11,2,7,3,1,heavy,light,schwa,c,o,c,KCC,CL,CKC,,C,C,CC,,C,K,L,K,4,2,3,2,0,1,0,1,1,1,2,1,VCC,CVV,CVC,2,0,2,N,NN,T,2,Achslager,antepaenultima
mig,ø,g,ig,mig,rmig,armig,C,KC,CKC,CCKC,KCCKC,acht,ø,a,ac,ach,acht,achta,K,KC,KCC,KCCK,KCCKC,8,10,12,2,5,4,2,heavy,light,light,c,c,c,KCC,KC,CKC,,,C,CC,C,C,K,K,K,4,2,3,2,1,1,0,0,1,1,1,1,VCC,VC,CVC,2,1,2,A,ø,F,2,achtarmig,antepaenultima
dig,ø,g,ig,dig,ndig,endig,C,KC,CKC,CCKC,KCCKC,acht,ø,a,ac,ach,acht,achtb,K,KC,KCC,KCCC,KCCCK,8,10,10,2,3,3,1,heavy,light,light,c,c,c,KCC,CKC,CKC,,C,C,CC,C,C,K,K,K,4,3,3,2,1,1,0,1,1,1,1,1,VCC,CVC,CVC,2,2,2,A,ø,F,2,achtbaendig,antepaenultima
ckig,ø,g,ig,kig,ckig,eckig,C,KC,CKC,KCKC,CKCKC,acht,ø,a,ac,ach,acht,achte,K,KC,KCC,KCCK,KCCKC,8,6,10,2,6,3,1,heavy,light,light,c,c,c,KCC,K,CKC,,,C,CC,,C,K,K,K,4,1,4,2,1,1,0,0,1,1,1,1,VCC,VC,CVC,2,1,2,A,ø,F,2,achteckig,antepaenultima
halb,ø,b,lb,alb,halb,nhalb,C,CC,KCC,CKCC,CCKCC,acht,ø,a,ac,ach,acht,achte,K,KC,KCC,KCCD,KCCDC,8,13,12,2,6,3,2,heavy,light,heavy,c,c,c,KCC,DC,CKCC,,,C,CC,C,CC,K,D,K,4,3,4,2,1,2,0,0,1,1,2,1,VCC,VVC,CVCC,2,0,3,X,ø,F,2,achteinhalb,multa
der,ø,r,er,der,nder,ender,C,KC,CKC,CCKC,KCCKC,Acht,ø,A,Ac,Ach,Acht,Achte,K,KC,KCC,KCCK,KCCKC,8,9,11,2,4,3,1,heavy,light,schwa,c,c,c,KCC,KC,CKC,,,C,CC,C,C,K,K,K,4,2,3,2,1,1,0,0,1,1,1,1,VCC,VC,CVC,2,1,2,N,ø,T,2,Achtender,antepaenultima
bahn,ø,n,hn,ahn,bahn,rbahn,C,LC,CLC,CCLC,KCCLC,Ach,ø,A,Ac,Ach,Acht,Achte,K,KC,KCC,KCCK,KCCKC,7,11,14,3,3,4,3,light,schwa,light,c,c,c,KC,CKC,CLC,,C,C,C,C,C,K,K,L,3,3,4,1,1,1,0,1,1,1,1,2,VC,CVC,CVVC,1,2,1,N,ø,T,2,Achterbahn,antepaenultima
deck,ø,k,ck,eck,deck,rdeck,C,KC,CKC,CCKC,KCCKC,Ach,ø,A,Ac,Ach,Acht,Achte,K,KC,KCC,KCCK,KCCKC,7,11,8,3,3,2,0,light,schwa,light,c,c,c,KC,CKC,CKC,,C,C,C,C,C,K,K,K,3,3,4,1,1,1,0,1,1,1,1,1,VC,CVC,CVC,1,2,2,N,AN,T,2,Achterdeck,antepaenultima
tig,ø,g,ig,tig,ltig,altig,C,KC,CKC,CCKC,KCCKC,acht,ø,a,ac,ach,acht,achtf,K,KC,KCC,KCCC,KCCCK,8,11,10,2,3,3,1,heavy,light,light,c,c,c,KCC,CKC,CKC,,C,C,CC,C,C,K,K,K,4,3,3,2,1,1,0,1,1,1,1,1,VCC,CVC,CVC,2,2,2,A,ø,F,2,achtfaltig,antepaenultima
ner,ø,r,er,ner,hner,chner,C,KC,CKC,CCKC,KCCKC,Acht,ø,A,Ac,Ach,Acht,Achtf,K,KC,KCC,KCCC,KCCCC,8,12,13,2,3,4,2,heavy,light,schwa,c,c,c,KCC,CCKC,CKC,,CC,C,CC,C,C,K,K,K,4,5,3,2,1,1,0,2,1,1,1,1,VCC,CCVC,CVC,2,3,2,N,ø,T,2,Achtflaechner,antepaenultima
$er,ø,r,er,ser,sser,esser,C,KC,CKC,LCKC,CLCKC,Acht,ø,A,Ac,Ach,Acht,Achtf,K,KC,KCC,KCCC,KCCCL,8,9,11,2,4,3,1,heavy,light,schwa,c,o,c,KCC,CL,CKC,,C,C,CC,,C,K,L,K,4,2,3,2,0,1,0,1,1,1,2,1,VCC,CVV,CVC,2,0,2,N,ø,T,2,Achtfuesser,antepaenultima
ben,ø,n,en,ben,eben,geben,C,KC,CKC,LCKC,CLCKC,acht,ø,a,ac,ach,acht,achtg,K,KC,KCC,KCCC,KCCCL,8,7,10,2,3,3,1,heavy,light,schwa,c,o,c,KCC,CL,CKC,,C,C,CC,,C,K,L,K,4,2,3,2,0,1,0,1,1,1,2,1,VCC,CVV,CVC,2,0,2,V,NV,F,2,achtgeben,antepaenultima
ben,ø,n,en,ben,aben,haben,C,KC,CKC,LCKC,CLCKC,acht,ø,a,ac,ach,acht,achth,K,KC,KCC,KCCC,KCCCL,8,11,10,2,5,3,1,heavy,light,schwa,c,o,c,KCC,CL,CKC,,C,C,CC,,C,K,L,K,4,2,3,2,0,1,0,1,1,1,2,1,VCC,CVV,CVC,2,0,2,V,NV,F,2,achthaben,antepaenultima
dert,ø,t,rt,ert,dert,ndert,C,CC,KCC,CKCC,CCKCC,acht,ø,a,ac,ach,acht,achth,K,KC,KCC,KCCC,KCCCK,8,12,12,2,4,3,2,heavy,light,schwa,c,c,c,KCC,CKC,CKCC,,C,C,CC,C,CC,K,K,K,4,3,4,2,1,2,0,1,1,1,1,1,VCC,CVC,CVCC,2,2,3,X,ø,F,2,achthundert,paenultima
rig,ø,g,ig,rig,hrig,ehrig,C,KC,CKC,LCKC,CLCKC,acht,ø,a,ac,ach,acht,achtj,K,KC,KCC,KCCC,KCCCL,8,12,13,2,6,4,2,heavy,light,light,c,o,c,KCC,CL,CKC,,C,C,CC,,C,K,L,K,4,3,3,2,0,1,0,1,1,1,2,1,VCC,CVV,CVC,2,0,2,A,ø,F,2,achtjaehrig,antepaenultima
tig,ø,g,ig,tig,ntig,antig,C,KC,CKC,CCKC,KCCKC,acht,ø,a,ac,ach,acht,achtk,K,KC,KCC,KCCC,KCCCK,8,10,10,2,3,3,1,heavy,light,light,c,c,c,KCC,CKC,CKC,,C,C,CC,C,C,K,K,K,4,3,3,2,1,1,0,1,1,1,1,1,VCC,CVC,CVC,2,2,2,A,ø,F,2,achtkantig,antepaenultima
lig,ø,g,ig,lig,alig,malig,C,KC,CKC,LCKC,CLCKC,acht,ø,a,ac,ach,acht,achtm,K,KC,KCC,KCCC,KCCCL,8,13,13,2,6,4,2,heavy,light,light,c,o,c,KCC,CL,CKC,,C,C,CC,,C,K,L,K,4,2,3,2,0,1,0,1,1,1,2,1,VCC,CVV,CVC,2,0,2,A,ø,F,2,achtmalig,antepaenultima
nig,ø,g,ig,nig,nnig,ennig,C,KC,CKC,KCKC,CKCKC,acht,ø,a,ac,ach,acht,achts,K,KC,KCC,KCCC,KCCCC,8,8,12,2,2,4,2,heavy,light,light,c,c,c,KCC,CCK,CKC,,CC,C,CC,,C,K,K,K,4,4,3,2,1,1,0,2,1,1,1,1,VCC,CCVC,CVC,2,3,2,A,ø,F,2,achtspaennig,paenultima
ckig,ø,g,ig,kig,ckig,eckig,C,KC,CKC,KCKC,CKCKC,acht,ø,a,ac,ach,acht,achts,K,KC,KCC,KCCC,KCCCC,8,8,10,2,2,3,1,heavy,light,light,c,c,c,KCC,CCK,CKC,,CC,C,CC,,C,K,K,K,4,3,4,2,1,1,0,2,1,1,1,1,VCC,CCVC,CVC,2,3,2,A,ø,F,2,achtstoeckig,antepaenultima
send,ø,d,nd,end,send,usend,C,CC,KCC,CKCC,DCKCC,acht,ø,a,ac,ach,acht,achtt,K,KC,KCC,KCCC,KCCCD,8,11,11,2,5,2,1,heavy,light,schwa,c,o,c,KCC,CD,CKCC,,C,C,CC,,CC,K,D,K,4,3,4,2,0,2,0,1,1,1,2,1,VCC,CVV,CVCC,2,0,3,X,ø,F,2,achttausend,antepaenultima
voll,ø,l,ll,oll,voll,svoll,C,KC,CKC,CCKC,CCCKC,ach,ø,a,ac,ach,acht,achtu,K,KC,KCC,KCCK,KCCKC,7,13,11,3,3,3,2,light,heavy,light,c,c,c,KC,CKCC,CKC,,C,C,C,CC,C,K,K,K,3,5,4,1,2,1,0,1,1,1,1,1,VC,CVCC,CVC,1,3,2,A,NA,F,2,achtungsvoll,antepaenultima
mal,ø,l,al,mal,gmal,igmal,C,LC,CLC,CCLC,KCCLC,acht,ø,a,ac,ach,acht,achtz,K,KC,KCA,KCAK,KCAKC,7,10,17,3,3,5,5,light,light,light,c,c,c,KC,AKC,CLC,,A,C,C,C,C,K,K,L,4,3,3,1,1,1,0,1,1,1,1,2,VC,CVC,CVVC,1,2,1,ADV,ø,F,2,achtzigmal,antepaenultima
lig,ø,g,ig,lig,llig,ollig,C,KC,CKC,KCKC,AKCKC,acht,ø,a,ac,ach,acht,achtz,K,KC,KCC,KCCA,KCCAK,8,7,13,2,3,4,2,heavy,light,light,c,c,c,KCC,AK,CKC,,A,C,CC,,C,K,K,K,4,3,3,2,1,1,0,1,1,1,1,1,VCC,CVC,CVC,2,2,2,A,ø,F,2,achtzollig,antepaenultima
lig,ø,g,ig,lig,llig,ellig,C,KC,CKC,KCKC,AKCKC,acht,ø,a,ac,ach,acht,achtz,K,KC,KCC,KCCA,KCCAK,8,7,13,2,3,4,2,heavy,light,light,c,c,c,KCC,AK,CKC,,A,C,CC,,C,K,K,K,4,3,3,2,1,1,0,1,1,1,1,1,VCC,CVC,CVC,2,2,2,A,ø,F,2,achtzoellig,antepaenultima
bau,ø,u,au,bau,rbau,erbau,D,CD,CCD,KCCD,CKCCD,A,ø,A,Ac,Ack,Acke,Acker,K,KC,KCK,KCKC,KCKCC,6,11,11,6,3,5,2,light,schwa,light,c,c,o,K,CKC,CD,,C,C,,C,,K,K,D,1,4,3,1,1,0,0,1,1,1,1,2,VC,CVC,CVV,1,2,0,N,NN,T,2,Ackerbau,antepaenultima
brief,ø,f,ef,ief,rief,brief,C,LC,CLC,CCLC,CCCLC,A,ø,A,Ad,Ade,Adel,Adels,L,LC,LCK,LCKC,LCKCC,10,12,14,10,3,3,2,light,schwa,light,o,c,c,L,CKCC,CCLC,,C,CC,,CC,C,L,K,L,1,4,5,0,2,1,0,1,2,2,1,2,VV,CVCC,CCVVC,0,3,1,N,NN,T,2,Adelsbrief,antepaenultima
stolz,ø,z,lz,olz,tolz,stolz,A,CA,KCA,CKCA,CCKCA,a,ø,a,ad,ade,adel,adels,L,LC,LCK,LCKC,LCKCC,10,12,13,10,3,2,1,light,schwa,heavy,o,c,c,L,CKCC,CCKCA,,C,CC,,CC,CA,L,K,K,1,4,5,0,2,2,0,1,2,2,1,1,VV,CVCC,CCVCC,0,3,4,A,NA,F,2,adelsstolz,antepaenultima
la$,ø,s,ss,ass,lass,rlass,C,KC,CKC,CCKC,KCCKC,A,ø,A,Ad,Ade,Ader,Aderl,L,LC,LCK,LCKC,LCKCC,10,11,11,10,3,3,0,light,schwa,light,o,c,c,L,CKC,CKC,,C,C,,C,C,L,K,K,1,3,3,0,1,1,0,1,1,2,1,1,VV,CVC,CVC,0,2,2,N,NV,T,2,Aderlass,antepaenultima
blick,ø,k,ck,ick,lick,blick,C,KC,CKC,CCKC,CCCKC,Ad,ø,A,Ad,Adl,Adle,Adler,L,LC,LCC,LCCK,LCCKC,10,15,14,10,3,3,2,light,schwa,light,o,c,c,L,CCKC,CCKC,,CC,CC,,C,C,L,K,K,2,3,5,0,1,1,0,2,2,2,1,1,VV,CCVC,CCVC,0,3,3,N,NN,T,2,Adlerblick,antepaenultima
buch,ø,h,ch,uch,buch,sbuch,C,LC,CLC,CCLC,KCCLC,A,ø,A,Ad,Adr,Adre,Adres,K,KC,KCC,KCCK,KCCKC,6,12,10,6,3,3,2,light,light,light,c,c,c,K,CCKC,CLC,,CC,C,,C,C,K,K,L,1,4,4,1,1,1,0,2,1,1,1,2,VC,CCVC,CVVC,1,3,1,N,NN,T,2,Adressbuch,paenultima
kranz,ø,z,nz,anz,ranz,kranz,A,CA,KCA,CKCA,CCKCA,Ad,ø,A,Ad,Adv,Adve,Adven,K,KC,KCC,KCCK,KCCKC,7,11,15,3,2,3,4,light,heavy,heavy,c,c,c,KC,CKCA,CCKCA,,C,CC,C,CA,CA,K,K,K,2,5,5,1,2,2,0,1,2,1,1,1,VC,CVCC,CCVCC,1,3,4,N,NN,T,2,Adventskranz,paenultima
art,ø,t,rt,art,nart,enart,C,CC,LCC,CLCC,KCLCC,Af,ø,A,Af,Aff,Affe,Affen,K,KC,KCK,KCKC,KCKCL,6,10,15,6,3,5,4,light,schwa,heavy,c,c,c,K,CKC,LCC,,C,,,C,CC,K,K,L,2,3,3,1,1,2,0,1,0,1,1,2,VC,CVC,VVCC,1,2,1,N,NN,T,2,Affenart,antepaenultima
