syl_suffix,signi_suffix,suffix1,suffix2,suffix3,suffix4,suffix5,suffix_phoncat1,suffix_phoncat2,suffix_phoncat3,suffix_phoncat4,suffix_phoncat5,syl_praefix,signi_praefix,praefix1,praefix2,praefix3,praefix4,praefix5,praefix_phoncat1,praefix_phoncat2,praefix_phoncat3,praefix_phoncat4,praefix_phoncat5,sonority0,sonority1,sonority2,sonority_ratio0,sonority_ratio1,sonority_ratio2,sonority_dir,syl_weight0,syl_weight1,syl_weight2,syl_open0,syl_open1,syl_open2,syl_phoncat0,syl_phoncat1,syl_phoncat2,onset_phoncat0,onset_phoncat1,onset_phoncat2,koda_phoncat0,koda_phoncat1,koda_phoncat2,nucleus_phoncat0,nucleus_phoncat1,nucleus_phoncat2,syl_len0,syl_len1,syl_len2,koda_len0,koda_len1,koda_len2,onset_len0,onset_len1,onset_len2,nucleus_len0,nucleus_len1,nucleus_len2,syl_cv0,syl_cv1,syl_cv2,cv_ratio0,cv_ratio1,cv_ratio2,pos,comp_struct,nomen,comp_len,Word,stress_class
kind,ø,d,nd,ind,kind,nkind,C,CC,KCC,CKCC,CCKCC,Sor,ø,S,So,Sor,Sorg,Sorge,C,CK,CKC,CKCC,CKCCK,11,10,13,3,3,3,1,light,schwa,heavy,c,c,c,CKC,CKC,CKCC,C,C,C,C,C,CC,K,K,K,3,3,4,1,1,2,1,1,1,1,1,1,CVC,CVC,CVCC,2,2,3,N,NN,T,2,Sorgenkind,antepaenultima
last,ø,t,st,ast,last,nlast,C,CC,KCC,CKCC,CCKCC,Sor,ø,S,So,Sor,Sorg,Sorge,C,CK,CKC,CKCC,CKCCK,11,10,12,3,3,3,0,light,schwa,heavy,c,c,c,CKC,CKC,CKCC,C,C,C,C,C,CC,K,K,K,3,3,4,1,1,2,1,1,1,1,1,1,CVC,CVC,CVCC,2,2,3,N,NN,T,2,Sorgenlast,antepaenultima
schwer,ø,r,er,wer,hwer,chwer,C,LC,CLC,CCLC,CCCLC,sor,ø,s,so,sor,sorg,sorge,C,CK,CKC,CKCC,CKCCK,11,10,12,3,3,3,0,light,schwa,light,c,c,c,CKC,CKC,CCLC,C,C,CC,C,C,C,K,K,L,3,3,6,1,1,1,1,1,2,1,1,2,CVC,CVC,CCVVC,2,2,1,A,NA,F,2,sorgenschwer,antepaenultima
voll,ø,l,ll,oll,voll,nvoll,C,KC,CKC,CCKC,KCCKC,sor,ø,s,so,sor,sorg,sorge,C,CK,CKC,CKCC,CKCCK,11,10,11,3,3,3,0,light,schwa,light,c,c,c,CKC,CKC,CKC,C,C,C,C,C,C,K,K,K,3,3,4,1,1,1,1,1,1,1,1,1,CVC,CVC,CVC,2,2,2,A,NA,F,2,sorgenvoll,antepaenultima
pflicht,ø,t,ht,cht,icht,licht,C,CC,KCC,CKCC,ACKCC,Sor,ø,S,So,Sor,Sorg,Sorge,C,CK,CKC,CKCC,CKCCK,11,7,15,3,3,3,2,light,schwa,heavy,c,o,c,CKC,CK,ACKCC,C,C,AC,C,,CC,K,K,K,3,2,7,1,0,2,1,1,2,1,1,1,CVC,CV,CCVCC,2,1,4,N,VN,T,2,Sorgepflicht,antepaenultima
mal,ø,l,al,mal,lmal,elmal,C,LC,CLC,CCLC,LCCLC,so,ø,s,so,sov,sovi,sovie,C,CL,CLC,CLCL,CLCLC,7,13,17,3,4,5,5,light,light,light,o,c,c,CL,CLC,CLC,C,C,C,,C,C,L,L,L,2,4,3,0,1,1,1,1,1,2,2,2,CVV,CVVC,CVVC,0,1,1,X,ø,F,2,sovielmal,paenultima
nig,ø,g,ig,nig,enig,wenig,C,KC,CKC,LCKC,CLCKC,so,ø,s,so,sow,sowe,sowen,C,CL,CLC,CLCL,CLCLC,7,7,12,3,3,4,2,light,light,light,o,o,c,CL,CL,CKC,C,C,C,,,C,L,L,K,2,2,3,0,0,1,1,1,1,2,2,1,CVV,CVV,CVC,0,0,2,X,ø,F,2,sowenig,paenultima
nig,ø,g,ig,nig,enig,wenig,C,KC,CKC,LCKC,CLCKC,so,ø,s,so,sow,sowe,sowen,C,CL,CLC,CLCL,CLCLC,7,7,12,3,3,4,2,light,light,light,o,o,c,CL,CL,CKC,C,C,C,,,C,L,L,K,2,2,3,0,0,1,1,1,1,2,2,1,CVV,CVV,CVC,0,0,2,X,ø,F,2,sowenig,paenultima
stern,ø,n,rn,ern,tern,stern,C,CC,KCC,CKCC,CCKCC,So,ø,S,So,Sow,Sowj,Sowje,C,CK,CKC,CKCC,CKCCK,7,14,15,3,3,3,4,light,light,heavy,c,c,c,CK,CCKC,CCKCC,C,CC,CC,,C,CC,K,K,K,2,4,5,1,1,2,1,2,2,1,1,1,CVC,CCVC,CCVCC,2,3,4,N,NN,T,2,Sowjetstern,paenultima
volk,ø,k,lk,olk,volk,tvolk,C,CC,KCC,CKCC,CCKCC,So,ø,S,So,Sow,Sowj,Sowje,C,CK,CKC,CKCC,CKCCK,7,14,12,3,3,3,2,light,light,heavy,c,c,c,CK,CCKC,CKCC,C,CC,C,,C,CC,K,K,K,2,4,4,1,1,2,1,2,1,1,1,1,CVC,CCVC,CVCC,2,3,3,N,NN,T,2,Sowjetvolk,paenultima
