syl_suffix,signi_suffix,suffix1,suffix2,suffix3,suffix4,suffix5,suffix_phoncat1,suffix_phoncat2,suffix_phoncat3,suffix_phoncat4,suffix_phoncat5,suff_class,syl_praefix,signi_praefix,praefix1,praefix2,praefix3,praefix4,praefix5,praefix_phoncat1,praefix_phoncat2,praefix_phoncat3,praefix_phoncat4,praefix_phoncat5,prae_class,sonority0,sonority1,sonority_ratio0,sonority_ratio1,sonority_dir,syl_weight0,syl_weight1,syl_open0,syl_open1,syl_phoncat0,syl_phoncat1,onset_phoncat0,onset_phoncat1,koda_phoncat0,koda_phoncat1,nucleus_phoncat0,nucleus_phoncat1,syl_len0,syl_len1,koda_len0,koda_len1,onset_len0,onset_len1,nucleus_len0,nucleus_len1,syl_cv0,syl_cv1,cv_ratio0,cv_ratio1,pos,comp_struct,nomen,comp_len,Word,stress_class
hin,ø,n,in,hin,zhin,rzhin,C,KC,CKC,ACKC,CACKC,ø,kurz,ø,k,ku,kur,kurz,kurzh,C,CK,CKC,CKCA,CKCAC,ø,14,12,3,4,-1,heavy,light,c,c,CKCA,CKC,C,C,CA,C,K,K,4,3,2,1,1,1,1,1,CVCC,CVC,3,2,ADV,ø,F,2,kurzhin,multa
fromm,ø,m,mm,omm,romm,fromm,C,KC,CKC,CCKC,CCCKC,ø,lamm,ø,l,la,lam,lamm,lammf,C,CK,CKC,CKCC,CKCCC,ø,13,14,4,3,1,light,light,c,c,CKC,CCKC,C,CC,C,C,K,K,4,5,1,1,1,2,1,1,CVC,CCVC,2,3,A,NA,F,2,lammfromm,multa
hin,ø,n,in,hin,ghin,nghin,C,KC,CKC,CCKC,KCCKC,ø,lang,ø,l,la,lan,lang,langh,C,CK,CKC,CKCC,CKCCK,ø,13,12,4,4,0,light,light,c,c,CKC,CKC,C,C,C,C,K,K,4,3,1,1,1,1,1,1,CVC,CVC,2,2,ADV,ø,F,2,langhin,multa
mehr,ø,r,hr,ehr,mehr,nmehr,C,LC,CLC,CCLC,LCCLC,ø,nun,ø,n,nu,nun,nunm,nunme,C,CL,CLC,CLCC,CLCCL,ø,14,13,4,4,0,light,light,c,c,CLC,CLC,C,C,C,C,L,L,3,4,1,1,1,1,2,2,CVVC,CVVC,1,1,ADV,ø,F,2,nunmehr,multa
na$,ø,s,ss,ass,nass,hnass,C,KC,CKC,ACKC,KACKC,ø,patsch,ø,p,pa,pat,pats,patsc,C,CK,CKA,CKAC,CKACK,ø,8,10,2,3,1,light,light,c,c,CKA,CKC,C,C,A,C,K,K,6,3,1,1,1,1,1,1,CVC,CVC,2,2,A,ø,F,2,patschnass,multa
schwarz,ø,z,rz,arz,warz,hwarz,A,CA,KCA,CKCA,CCKCA,ø,pech,ø,p,pe,pec,pech,pechs,C,CK,CKC,CKCC,CKCCC,ø,8,13,2,2,3,light,heavy,c,c,CKC,CCKCA,C,CC,C,CA,K,K,4,7,1,2,1,2,1,1,CVC,CCVCC,2,4,A,NA,F,2,pechschwarz,multa
na$,ø,s,ss,ass,nass,hnass,C,KC,CKC,ACKC,KACKC,ø,pitsch,ø,p,pi,pit,pits,pitsc,C,CK,CKA,CKAC,CKACK,ø,10,10,3,3,0,light,light,c,c,CKA,CKC,C,C,A,C,K,K,6,3,1,1,1,1,1,1,CVC,CVC,2,2,A,A,F,1,pitschnass,multa
na$,ø,s,ss,ass,nass,hnass,C,KC,CKC,ACKC,KACKC,ø,platsch,ø,p,pl,pla,plat,plats,C,CC,CCK,CCKA,CCKAC,ø,12,10,3,3,-1,light,light,c,c,CCKA,CKC,CC,C,A,C,K,K,7,3,1,1,2,1,1,1,CCVC,CVC,3,2,A,ø,F,2,platschnass,multa
na$,ø,s,ss,ass,nass,hnass,C,KC,CKC,ACKC,KACKC,ø,quatsch,ø,q,qu,qua,quat,quats,C,CC,CCK,CCKA,CCKAC,ø,9,10,2,3,1,light,light,c,c,CCKA,CKC,CC,C,A,C,K,K,7,3,1,1,2,1,1,1,CCVC,CVC,3,2,A,ø,F,2,quatschnass,multa
um,um,m,um,dum,ndum,undum,C,KC,CKC,CCKC,KCCKC,ø,rund,ø,r,ru,run,rund,rundu,C,CK,CKC,CKCC,CKCCK,ø,16,11,4,5,-2,heavy,light,c,c,CKCC,KC,C,,CC,C,K,K,4,2,2,1,1,0,1,1,CVCC,VC,3,1,ADV,ø,F,2,rundum,multa
