Nennungen der Features in J48:,,,,,
,,,,,
n,attr,ø values,normalized occurences,,
95.0,19.0,0.8,3syl,models-numeric.txt,3syl/models-numeric.txt:(koda_len2 >= 2) and (comp_len <= 1) and (syl_len1 <= 2) and (onset_len0 >= 1) and (nucleus_len0 >= 2) => stress_class=ultima (95.0/19.0)
94.0,4.0,0.957447,6syl,models-numeric.txt,6syl/models-numeric.txt:(comp_len <= 1) and (cv_ratio5 >= 2) and (nucleus_len4 >= 2) and (syl_len4 >= 3) => stress_class=paenultima (94.0/4.0)
93.0,9.0,0.903226,5syl,models-numeric.txt,5syl/models-numeric.txt:(nucleus_len4 >= 2) and (syl_len4 <= 3) and (comp_len <= 1) and (syl_len3 <= 2) => stress_class=ultima (93.0/9.0)
93.0,11.0,0.88172,3syl,models-sparse.txt,3syl/models-sparse.txt:(comp_len <= 1) and (prae_class = ø) and (syl_weight1 = light) and (sonority0 <= 10) and (syl_open2 = o) and (cv_ratio2 >= 1) and (pos = N) => stress_class=paenultima (93.0/11.0)
91.0,6.0,0.934066,3syl,models-all.txt,3syl/models-all.txt:(cv_ratio2 <= 0) and (syl_len2 >= 3) and (comp_len <= 1) and (syl_weight1 = light) => stress_class=ultima (91.0/6.0)
91.0,32.0,0.648352,4syl,models-numeric.txt,4syl/models-numeric.txt:(nucleus_len3 >= 2) and (syl_len3 <= 3) and (comp_len <= 1) and (syl_len2 <= 3) and (syl_len3 >= 3) => stress_class=ultima (91.0/32.0)
91.0,27.0,0.703297,4syl,models-sparse.txt,4syl/models-sparse.txt:(comp_len <= 1) and (sonority0 <= 10) and (sonority_ratio3 <= 3) and (syl_weight1 = light) and (syl_weight3 = light) => stress_class=paenultima (91.0/27.0)
91.0,14.0,0.846154,4syl,models-numeric.txt,4syl/models-numeric.txt:(comp_len <= 1) and (syl_len3 >= 5) and (sonority3 <= 10) and (sonority3 >= 10) => stress_class=paenultima (91.0/14.0)
90.0,38.0,0.577778,4syl,models-meta.txt,4syl/models-meta.txt:(comp_len <= 1) and (pos = A) and (comp_struct = V) => stress_class=paenultima (90.0/38.0)
88.0,34.0,0.613636,4syl,models-numeric.txt,4syl/models-numeric.txt:(koda_len3 >= 2) and (comp_len <= 1) and (syl_len2 <= 2) => stress_class=ultima (88.0/34.0)
86.0,9.0,0.895349,3syl,models-numeric.txt,3syl/models-numeric.txt:(nucleus_len2 >= 2) and (comp_len <= 1) and (sonority2 <= 10) and (koda_len2 >= 1) => stress_class=ultima (86.0/9.0)
80.0,14.0,825,3syl,models-meta.txt,3syl/models-meta.txt:(comp_len <= 1) and (pos = V) and (comp_struct = A) => stress_class=paenultima (80.0/14.0)
77.0,1.0,0.987013,4syl,models-sparse.txt,4syl/models-sparse.txt:(comp_len <= 1) and (syl_len3 >= 5) and (syl_weight2 = light) and (onset_len0 >= 1) and (pos = A) and (syl_weight1 = light) => stress_class=paenultima (77.0/1.0)
77.0,10.0,0.87013,2syl,models-all.txt,2syl/models-all.txt:(comp_struct = ø) and (suffix1 = t) and (syl_len0 <= 3) and (comp_len <= 0) => stress_class=ultima (77.0/10.0)
76.0,10.0,0.868421,4syl,models-sparse.txt,4syl/models-sparse.txt:(comp_len <= 1) and (nucleus_phoncat2 = L) and (syl_weight1 = light) and (syl_open1 = o) and (sonority_ratio2 >= 5) and (sonority_ratio2 <= 5) => stress_class=paenultima (76.0/10.0)
75.0,14.0,0.813333,4syl,models-sparse.txt,4syl/models-sparse.txt:(comp_len <= 1) and (syl_len0 <= 1) and (sonority_ratio3 >= 4) and (syl_len3 >= 4) => stress_class=paenultima (75.0/14.0)
74.0,16.0,0.783784,3syl,models-all.txt,3syl/models-all.txt:(syl_suffix = ø) and (comp_len <= 1) and (syl_weight2 = heavy) and (syl_weight1 = light) and (pos = N) => stress_class=ultima (74.0/16.0)
73.0,4.0,0.945205,6syl,models-meta.txt,6syl/models-meta.txt:(comp_len <= 1) and (pos = V) => stress_class=paenultima (73.0/4.0)
71.0,27.0,0.619718,6syl,models-numeric.txt,6syl/models-numeric.txt:(comp_len >= 2) and (nucleus_len0 <= 1) and (nucleus_len1 >= 2) => stress_class=sekunda (71.0/27.0)
71.0,24.0,0.661972,3syl,models-numeric.txt,3syl/models-numeric.txt:(comp_len <= 1) and (nucleus_len0 <= 1) and (sonority_ratio0 >= 5) and (sonority0 <= 6) and (sonority2 <= 13) => stress_class=paenultima (71.0/24.0)
70.0,6.0,0.914286,3syl,models-all.txt,3syl/models-all.txt:(comp_len <= 1) and (prae_class = ø) and (syl_weight1 = light) and (sonority0 <= 10) and (suffix_phoncat5 = KCCKC) and (syl_suffix = ø) => stress_class=paenultima (70.0/6.0)
70.0,21.0,0.7,3syl,models-all.txt,3syl/models-all.txt:(nucleus_len0 <= 1) and (sonority_ratio0 >= 5) and (syl_weight1 = light) and (sonority0 <= 10) and (comp_len <= 1) => stress_class=paenultima (70.0/21.0)
68.0,26.0,0.617647,3syl,models-all.txt,3syl/models-all.txt:(syl_weight1 = light) and (syl_len0 <= 2) and (comp_len >= 2) and (nomen = F) => stress_class=paenultima (68.0/26.0)
68.0,11.0,0.838235,2syl,models-sparse.txt,2syl/models-sparse.txt:(sonority0 <= 11) and (syl_weight1 = heavy) and (comp_len <= 1) and (cv_ratio0 >= 2) and (syl_len0 <= 3) => stress_class=ultima (68.0/11.0)
68.0,10.0,0.852941,4syl,models-sparse.txt,4syl/models-sparse.txt:(comp_len <= 1) and (sonority_dir >= 1) and (prae_class = ø) and (sonority_ratio3 >= 5) and (sonority_ratio0 >= 5) and (syl_len2 >= 3) => stress_class=paenultima (68.0/10.0)
67.0,10.0,0.850746,4syl,models-all.txt,4syl/models-all.txt:(comp_len <= 1) and (nucleus_phoncat3 = L) and (syl_suffix = bar) => stress_class=paenultima (67.0/10.0)
65.0,9.0,0.861538,2syl,models-sparse.txt,2syl/models-sparse.txt:(comp_len <= 0) and (syl_weight1 = heavy) and (syl_len0 <= 3) and (sonority0 <= 13) => stress_class=ultima (65.0/9.0)
63.0,29.0,0.539683,5syl,models-all.txt,5syl/models-all.txt:(comp_len >= 2) and (syl_weight1 = light) and (syl_weight4 = schwa) and (koda_phoncat1 = C) => stress_class=sekunda (63.0/29.0)
63.0,2.0,0.968254,4syl,models-all.txt,4syl/models-all.txt:(comp_len <= 1) and (comp_struct = R) and (syl_len3 <= 3) => stress_class=paenultima (63.0/2.0)
62.0,13.0,0.790323,4syl,models-numeric.txt,4syl/models-numeric.txt:(comp_len <= 1) and (sonority0 <= 10) and (nucleus_len2 >= 2) and (syl_len2 <= 2) and (onset_len0 >= 1) and (onset_len3 >= 1) => stress_class=paenultima (62.0/13.0)
61.0,6.0,0.901639,5syl,models-numeric.txt,5syl/models-numeric.txt:(comp_len >= 2) and (nucleus_len1 >= 2) and (koda_len1 >= 1) and (syl_len1 <= 3) => stress_class=sekunda (61.0/6.0)
60.0,9.0,0.85,4syl,models-sparse.txt,4syl/models-sparse.txt:(syl_weight3 = heavy) and (comp_len <= 1) and (sonority0 <= 10) and (syl_weight2 = light) => stress_class=ultima (60.0/9.0)
60.0,14.0,0.766667,6syl,models-numeric.txt,6syl/models-numeric.txt:(cv_ratio5 >= 2) and (comp_len <= 1) and (sonority4 >= 10) => stress_class=paenultima (60.0/14.0)
59.0,27.0,0.542373,5syl,models-numeric.txt,5syl/models-numeric.txt:(comp_len >= 2) and (nucleus_len1 >= 2) and (sonority0 <= 9) and (sonority2 >= 10) => stress_class=sekunda (59.0/27.0)
59.0,1.0,0.983051,4syl,models-numeric.txt,4syl/models-numeric.txt:(syl_len0 <= 2) and (comp_len <= 1) and (onset_len0 >= 1) and (syl_len1 <= 2) and (koda_len1 >= 1) and (sonority_ratio3 <= 4) => stress_class=paenultima (59.0/1.0)
57.0,8.0,0.859649,4syl,models-all.txt,4syl/models-all.txt:(nucleus_len1 >= 2) and (suffix5 = ø) and (onset_len3 <= 0) and (comp_len <= 1) and (pos = N) => stress_class=antepaenultima (57.0/8.0)
57.0,7.0,0.877193,3syl,models-numeric.txt,3syl/models-numeric.txt:(koda_len2 >= 2) and (comp_len <= 1) and (syl_len1 <= 2) and (cv_ratio0 >= 2) and (sonority0 <= 10) => stress_class=ultima (57.0/7.0)
57.0,3.0,0.947368,5syl,models-numeric.txt,5syl/models-numeric.txt:(sonority_ratio0 <= 4) and (nucleus_len2 <= 1) and (syl_len0 <= 2) and (comp_len >= 2) and (sonority1 <= 7) => stress_class=sekunda (57.0/3.0)
57.0,2.0,0.964912,4syl,models-all.txt,4syl/models-all.txt:(comp_len <= 1) and (suffix_phoncat5 = KCCKC) and (syl_weight1 = light) and (onset_len0 >= 1) and (syl_len1 <= 2) => stress_class=paenultima (57.0/2.0)
57.0,15.0,0.736842,3syl,models-numeric.txt,3syl/models-numeric.txt:(koda_len2 >= 2) and (comp_len <= 1) and (comp_len <= 0) and (syl_len1 <= 3) => stress_class=ultima (57.0/15.0)
57.0,11.0,0.807018,4syl,models-all.txt,4syl/models-all.txt:(comp_len <= 1) and (nucleus_phoncat2 = L) and (pos = N) and (syl_phoncat1 = CL) and (sonority_ratio0 <= 5) => stress_class=paenultima (57.0/11.0)
56.0,14.0,0.75,2syl,models-numeric.txt,2syl/models-numeric.txt:(sonority0 <= 11) and (koda_len1 >= 2) and (sonority1 <= 13) and (comp_len <= 1) and (cv_ratio0 >= 2) and (syl_len0 <= 3) => stress_class=ultima (56.0/14.0)
56.0,12.0,0.785714,3syl,models-numeric.txt,3syl/models-numeric.txt:(comp_len <= 0) and (nucleus_len2 >= 2) and (syl_len2 >= 3) => stress_class=ultima (56.0/12.0)
56.0,1.0,0.982143,4syl,models-sparse.txt,4syl/models-sparse.txt:(comp_len <= 1) and (prae_class = ø) and (syl_weight1 = light) and (cv_ratio3 >= 2) and (koda_phoncat2 = C) and (sonority_ratio3 >= 4) and (syl_len3 <= 3) => stress_class=paenultima (56.0/1.0)
55.0,12.0,0.781818,4syl,models-all.txt,4syl/models-all.txt:(comp_len <= 1) and (nucleus_phoncat2 = L) and (syl_weight1 = light) and (prae_class = ø) and (suffix_phoncat4 = LCKC) and (sonority_dir >= 0) => stress_class=paenultima (55.0/12.0)
54.0,5.0,0.907407,4syl,models-sparse.txt,4syl/models-sparse.txt:(nucleus_len1 >= 2) and (onset_len3 <= 0) and (comp_len <= 1) and (pos = N) and (sonority2 >= 9) => stress_class=antepaenultima (54.0/5.0)
54.0,5.0,0.907407,4syl,models-numeric.txt,4syl/models-numeric.txt:(nucleus_len1 >= 2) and (onset_len3 <= 0) and (comp_len <= 1) and (syl_len3 <= 2) and (sonority2 >= 9) => stress_class=antepaenultima (54.0/5.0)
54.0,18.0,0.666667,4syl,models-sparse.txt,4syl/models-sparse.txt:(comp_len <= 1) and (nucleus_phoncat2 = L) and (koda_len3 <= 0) and (sonority2 <= 12) => stress_class=paenultima (54.0/18.0)
51.0,7.0,0.862745,2syl,models-all.txt,2syl/models-all.txt:(suffix3 = ø) and (sonority_dir >= 2) and (comp_len <= 1) and (suffix_phoncat2 = LC) and (praefix2 = ø) => stress_class=ultima (51.0/7.0)
50.0,9.0,0.82,4syl,models-all.txt,4syl/models-all.txt:(comp_len <= 1) and (sonority0 <= 10) and (prae_class = ø) and (syl_weight1 = light) and (syl_open3 = o) and (sonority1 <= 12) => stress_class=paenultima (50.0/9.0)
50.0,8.0,0.84,4syl,models-sparse.txt,4syl/models-sparse.txt:(comp_len <= 1) and (nucleus_phoncat2 = L) and (sonority_ratio2 >= 5) and (sonority_ratio0 <= 4) and (cv_ratio3 >= 2) and (sonority1 >= 8) => stress_class=paenultima (50.0/8.0)
50.0,5.0,0.9,4syl,models-all.txt,4syl/models-all.txt:(comp_len <= 1) and (comp_len <= 0) and (koda_len3 <= 0) and (sonority1 <= 10) => stress_class=paenultima (50.0/5.0)
50.0,12.0,0.76,3syl,models-numeric.txt,3syl/models-numeric.txt:(koda_len2 >= 2) and (comp_len <= 1) and (sonority2 <= 11) and (sonority2 >= 10) and (sonority1 >= 9) and (sonority_ratio1 <= 4) and (syl_len2 <= 4) => stress_class=ultima (50.0/12.0)
49.0,7.0,0.857143,5syl,models-all.txt,5syl/models-all.txt:(suffix_phoncat3 = LCK) and (comp_len <= 1) => stress_class=paenultima (49.0/7.0)
49.0,7.0,0.857143,4syl,models-all.txt,4syl/models-all.txt:(syl_weight1 = light) and (syl_len1 >= 4) and (cv_ratio0 >= 2) and (syl_len0 <= 3) and (comp_len >= 2) => stress_class=antepaenultima (49.0/7.0)
49.0,5.0,0.897959,5syl,models-numeric.txt,5syl/models-numeric.txt:(comp_len <= 1) and (syl_len4 >= 5) and (sonority0 <= 10) and (koda_len4 <= 1) => stress_class=paenultima (49.0/5.0)
49.0,20.0,0.591837,6syl,models-meta.txt,6syl/models-meta.txt:(comp_len <= 1) and (pos = A) => stress_class=paenultima (49.0/20.0)
49.0,1.0,0.979592,4syl,models-all.txt,4syl/models-all.txt:(comp_len <= 1) and (nucleus_phoncat2 = L) and (sonority0 <= 10) and (syl_weight1 = light) and (syl_len1 <= 2) and (syl_weight3 = schwa) => stress_class=paenultima (49.0/1.0)
48.0,4.0,0.916667,5syl,models-numeric.txt,5syl/models-numeric.txt:(comp_len <= 1) and (nucleus_len3 >= 2) and (onset_len4 >= 1) and (cv_ratio2 <= 0) and (sonority4 <= 10) => stress_class=paenultima (48.0/4.0)
48.0,18.0,625,4syl,models-numeric.txt,4syl/models-numeric.txt:(comp_len <= 1) and (onset_len0 >= 1) and (syl_len0 <= 3) and (syl_len3 <= 3) and (koda_len2 >= 1) and (sonority_ratio3 >= 4) => stress_class=paenultima (48.0/18.0)
48.0,15.0,0.6875,4syl,models-all.txt,4syl/models-all.txt:(syl_weight3 = heavy) and (comp_len <= 1) and (sonority3 >= 10) and (praefix3 = ø) => stress_class=ultima (48.0/15.0)
47.0,7.0,0.851064,4syl,models-sparse.txt,4syl/models-sparse.txt:(comp_len <= 1) and (comp_len <= 0) and (syl_len1 <= 2) and (syl_open2 = c) => stress_class=paenultima (47.0/7.0)
47.0,19.0,0.595745,2syl,models-sparse.txt,2syl/models-sparse.txt:(syl_weight1 = light) and (comp_len <= 0) and (syl_len1 >= 4) and (syl_len1 <= 4) and (syl_len0 <= 3) => stress_class=ultima (47.0/19.0)
47.0,11.0,0.765957,4syl,models-sparse.txt,4syl/models-sparse.txt:(syl_len0 <= 2) and (syl_len1 <= 3) and (sonority1 >= 11) and (comp_len <= 1) and (syl_weight1 = schwa) and (koda_phoncat0 = C) and (suff_class = ø) => stress_class=paenultima (47.0/11.0)
46.0,8.0,0.826087,2syl,models-all.txt,2syl/models-all.txt:(syl_suffix = ø) and (syl_len0 <= 3) and (syl_weight1 = heavy) and (comp_len <= 1) and (suffix1 = t) and (syl_len1 <= 4) and (nucleus_phoncat1 = K) => stress_class=ultima (46.0/8.0)
46.0,7.0,0.847826,3syl,models-numeric.txt,3syl/models-numeric.txt:(syl_len0 <= 2) and (comp_len <= 0) and (sonority_dir >= 1) and (sonority1 >= 10) and (onset_len2 >= 1) => stress_class=paenultima (46.0/7.0)
46.0,5.0,0.891304,5syl,models-numeric.txt,5syl/models-numeric.txt:(comp_len <= 1) and (syl_len4 <= 3) and (sonority4 >= 11) and (sonority3 >= 10) and (sonority2 >= 9) and (nucleus_len4 <= 1) => stress_class=paenultima (46.0/5.0)
45.0,8.0,0.822222,3syl,models-all.txt,3syl/models-all.txt:(comp_len <= 1) and (prae_class = ø) and (syl_weight1 = light) and (suffix3 = sch) and (nucleus_phoncat1 = L) => stress_class=paenultima (45.0/8.0)
45.0,7.0,0.844444,4syl,models-sparse.txt,4syl/models-sparse.txt:(syl_weight1 = light) and (comp_len >= 2) and (syl_len0 <= 3) and (pos = V) => stress_class=antepaenultima (45.0/7.0)
45.0,16.0,0.644444,3syl,models-all.txt,3syl/models-all.txt:(comp_struct = ø) and (sonority2 >= 14) and (comp_len <= 0) and (koda_phoncat2 = C) => stress_class=ultima (45.0/16.0)
43.0,6.0,0.860465,4syl,models-sparse.txt,4syl/models-sparse.txt:(comp_len <= 1) and (nucleus_phoncat2 = L) and (nucleus_phoncat1 = L) and (syl_len3 <= 2) => stress_class=paenultima (43.0/6.0)
40.0,13.0,675,4syl,models-sparse.txt,4syl/models-sparse.txt:(nucleus_phoncat3 = L) and (comp_len <= 1) and (sonority0 <= 10) and (syl_len3 >= 3) and (sonority2 <= 11) => stress_class=ultima (40.0/13.0)
39.0,2.0,0.948718,4syl,models-sparse.txt,4syl/models-sparse.txt:(comp_len <= 1) and (nucleus_phoncat2 = L) and (nucleus_phoncat1 = L) and (sonority_ratio0 <= 3) and (nomen = F) => stress_class=paenultima (39.0/2.0)
38.0,7.0,0.815789,5syl,models-sparse.txt,5syl/models-sparse.txt:(comp_len >= 2) and (syl_weight1 = light) and (koda_phoncat1 = C) and (syl_len0 <= 2) and (onset_len0 >= 1) => stress_class=sekunda (38.0/7.0)
38.0,10.0,0.736842,5syl,models-sparse.txt,5syl/models-sparse.txt:(comp_len <= 1) and (nucleus_phoncat3 = L) and (onset_len4 >= 1) and (sonority_ratio2 >= 4) and (prae_class = ø) and (syl_weight4 = schwa) => stress_class=paenultima (38.0/10.0)
37.0,8.0,0.783784,4syl,models-numeric.txt,4syl/models-numeric.txt:(nucleus_len3 >= 2) and (koda_len2 <= 0) and (comp_len <= 1) and (koda_len3 >= 1) => stress_class=ultima (37.0/8.0)
37.0,2.0,0.945946,3syl,models-numeric.txt,3syl/models-numeric.txt:(comp_len <= 1) and (onset_len0 >= 1) and (cv_ratio1 <= 0) and (syl_len2 >= 5) and (sonority2 <= 10) => stress_class=paenultima (37.0/2.0)
36.0,5.0,0.861111,4syl,models-all.txt,4syl/models-all.txt:(syl_weight3 = heavy) and (comp_len <= 1) and (syl_len2 <= 2) and (sonority_ratio0 <= 4) => stress_class=ultima (36.0/5.0)
36.0,10.0,0.722222,3syl,models-sparse.txt,3syl/models-sparse.txt:(comp_len <= 0) and (koda_phoncat1 = C) and (syl_weight1 = light) => stress_class=paenultima (36.0/10.0)
36.0,10.0,0.722222,2syl,models-sparse.txt,2syl/models-sparse.txt:(syl_weight1 = light) and (syl_len1 <= 3) and (cv_ratio1 <= 1) and (comp_len <= 1) and (syl_len1 >= 3) and (pos = N) and (cv_ratio0 >= 2) => stress_class=ultima (36.0/10.0)
34.0,3.0,0.911765,3syl,models-all.txt,3syl/models-all.txt:(comp_len <= 0) and (syl_phoncat2 = CK) => stress_class=paenultima (34.0/3.0)
34.0,0.0,1,5syl,models-sparse.txt,5syl/models-sparse.txt:(comp_len <= 1) and (syl_weight4 = schwa) and (nucleus_phoncat2 = L) and (syl_open4 = o) and (nucleus_phoncat3 = L) and (sonority4 >= 7) => stress_class=paenultima (34.0/0.0)
33.0,2.0,0.939394,4syl,models-numeric.txt,4syl/models-numeric.txt:(syl_len0 <= 2) and (syl_len1 <= 3) and (comp_len <= 1) and (comp_len <= 0) and (koda_len3 <= 0) => stress_class=paenultima (33.0/2.0)
33.0,0.0,1,3syl,models-all.txt,3syl/models-all.txt:(comp_len <= 1) and (prae_class = ø) and (syl_weight1 = light) and (suffix_phoncat4 = LCKC) and (suffix4 = eren) => stress_class=paenultima (33.0/0.0)
32.0,9.0,0.71875,3syl,models-numeric.txt,3syl/models-numeric.txt:(nucleus_len2 >= 2) and (comp_len <= 1) and (cv_ratio2 <= 0) and (syl_len2 >= 3) => stress_class=ultima (32.0/9.0)
32.0,5.0,0.84375,4syl,models-numeric.txt,4syl/models-numeric.txt:(syl_len0 <= 2) and (sonority3 >= 13) and (syl_len2 >= 4) and (comp_len <= 1) and (sonority_ratio3 >= 5) => stress_class=paenultima (32.0/5.0)
32.0,5.0,0.84375,3syl,models-numeric.txt,3syl/models-numeric.txt:(koda_len2 >= 2) and (comp_len <= 1) and (sonority2 <= 13) and (sonority2 >= 10) and (cv_ratio2 >= 3) and (syl_len2 <= 4) and (sonority2 >= 13) => stress_class=ultima (32.0/5.0)
28.0,3.0,0.892857,3syl,models-numeric.txt,3syl/models-numeric.txt:(comp_len <= 1) and (onset_len0 >= 1) and (syl_len0 <= 3) and (sonority_ratio0 <= 3) and (sonority_dir <= 0) and (nucleus_len0 <= 1) and (sonority2 <= 10) and (sonority_ratio2 >= 3) => stress_class=paenultima (28.0/3.0)
26.0,3.0,0.884615,4syl,models-numeric.txt,4syl/models-numeric.txt:(cv_ratio3 <= 0) and (syl_len3 >= 3) and (comp_len <= 1) => stress_class=ultima (26.0/3.0)
26.0,0.0,1,5syl,models-all.txt,5syl/models-all.txt:(suffix1 = m) and (comp_len <= 1) => stress_class=antepaenultima (26.0/0.0)
23.0,4.0,0.826087,3syl,models-all.txt,3syl/models-all.txt:(syl_suffix = ø) and (comp_len <= 1) and (suffix_phoncat2 = LC) and (syl_cv1 = CVV) => stress_class=ultima (23.0/4.0)
23.0,1.0,0.956522,4syl,models-all.txt,4syl/models-all.txt:(comp_len <= 1) and (suffix1 = h) and (syl_weight2 = light) and (suffix5 = tisch) => stress_class=paenultima (23.0/1.0)
18.0,5.0,0.722222,3syl,models-all.txt,3syl/models-all.txt:(syl_suffix = ø) and (comp_len <= 1) and (cv_ratio2 <= 0) and (syl_len2 >= 3) => stress_class=ultima (18.0/5.0)
17.0,0.0,1,4syl,models-all.txt,4syl/models-all.txt:(comp_len <= 1) and (suffix1 = s) and (koda_phoncat2 = C) => stress_class=paenultima (17.0/0.0)
16.0,0.0,1,3syl,models-sparse.txt,3syl/models-sparse.txt:(comp_len <= 1) and (prae_class = ø) and (nucleus_phoncat1 = L) and (syl_weight2 = schwa) and (sonority2 >= 12) and (pos = V) and (onset_len0 >= 1) => stress_class=paenultima (16.0/0.0)
13.0,2.0,0.846154,3syl,models-all.txt,3syl/models-all.txt:(syl_suffix = ø) and (comp_len <= 1) and (syl_weight2 = heavy) and (syl_weight1 = light) and (syl_praefix = ø) => stress_class=ultima (13.0/2.0)
8.0,0.0,1,4syl,models-all.txt,4syl/models-all.txt:(syl_cv3 = CVV) and (syl_weight2 = schwa) and (comp_len <= 1) => stress_class=ultima (8.0/0.0)
