attribute,7syl,6syl,5syl,4syl,3syl,2syl,ø Anzahl,,,,,,
nucleus_len5,1,1,,,,,1,,,,,,
nucleus_len6,1,,,,,,1,,,,,,
syl_cv0,4,8,13,17,19,19,"17,7006079961",,,,,,
syl_cv1,3,9,11,15,19,17,"16,5669921595",,,,,,
syl_cv2,3,8,12,17,18,,"16,595616378",,,,,,
syl_cv3,3,8,10,15,,,"13,1394000355",,,,,,
syl_cv4,3,6,10,,,,"8,901651243",,,,,,
syl_cv5,3,8,,,,,"7,0700301205",,,,,,
syl_cv6,7,,,,,,7,,,,,,
cv_ratio0,1,1,1,1,1,1,1,,,,,,
cv_ratio1,1,1,1,1,1,1,1,,,,,,
cv_ratio2,1,1,1,1,1,,1,,,,,,
cv_ratio3,1,1,1,1,,,1,,,,,,
cv_ratio4,1,1,1,,,,1,,,,,,
cv_ratio5,1,1,,,,,1,,,,,,
cv_ratio6,1,,,,,,1,,,,,,
pos,4,4,5,5,5,5,"4,9728141825",,,,,,
comp_struct,2,8,14,17,18,13,"15,8393825872",,,,,,
nomen,2,2,2,2,2,2,2,,,,,,
comp_len,1,1,1,1,1,1,1,,,,,,
stress_class,5,5,5,4,3,2,"3,2022559315",,,,,,
praefix,65,115,237,490,711,430,"530,3358717681",,,,,,
suffix,49,105,213,470,721,437,"529,0856926447",,,,,,
affix,114,220,450,960,1432,867,"1059,4215644128",,,,,,
phoncat,95,124,157,176,157,109,"148,0722225634",,,,,,
sonority,15,13,11,9,7,5,"7,4689962947",,,,,,
weight,35,30,27,22,15,12,"17,3231795943",,,,,,
phon,145,167,195,207,179,126,"172,8643984524",,,,,,
sylstruct,61,77,81,84,71,46,"68,556060513",,,,,,
meta,9,15,22,25,26,21,"23,8121967696",,,,,,
sparse,162,157,151,133,100,80,"108,5056807714",,,,,,
numeric,51,44,37,30,23,16,"24,6414870315",,,,,,
all,334,484,752,1279,1710,1061,"1326,8836618969",,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,all,,,,,,,,,,,
