					
					
(nucleus_phoncat0 = K) and (syl_phoncat0 = CK) and (nucleus_phoncat2 = K) => stress_class=paenultima (1137.0/271.0)	1137.0	271.0	0.761653	3syl	models-phoncat.txt
(nucleus_phoncat0 = K) and (syl_phoncat2 = CKC) and (syl_phoncat0 = CKC) => stress_class=paenultima (1069.0/388.0)	1069.0	388.0	0.637044	3syl	models-phoncat.txt
(syl_cv0 = CVC) and (nucleus_len1 >= 2) and (syl_len0 <= 3) => stress_class=paenultima (896.0/175.0)	896.0	175.0	0.804688	3syl	models-sylstruct.txt
(nucleus_phoncat0 = K) and (syl_weight1 = light) and (sonority0 <= 11) and (sonority0 >= 10) and (syl_phoncat0 = CKC) and (sonority0 >= 11) => stress_class=paenultima (877.0/95.0)	877.0	95.0	0.891676	3syl	models-phon.txt
(sonority0 <= 11) and (sonority_ratio0 <= 3) and (sonority_ratio0 >= 3) and (sonority0 >= 11) and (sonority1 >= 11) and (sonority2 >= 10) => stress_class=paenultima (738.0/217.0)	738.0	217.0	0.705962	3syl	models-sonority.txt
(comp_len <= 1) and (cv_ratio0 >= 2) and (syl_len0 <= 3) and (sonority_ratio0 <= 3) and (nucleus_len1 >= 2) => stress_class=paenultima (729.0/45.0)	729.0	45.0	0.938272	3syl	models-numeric.txt
(syl_weight0 = schwa) => stress_class=paenultima (721.0/0.0)	721.0	0.0	1	3syl	models-weight.txt
(nucleus_phoncat0 = K) and (syl_open0 = o) => stress_class=paenultima (716.0/0.0)	716.0	0.0	1	3syl	models-phon.txt
(nucleus_len0 <= 1) and (syl_len0 <= 3) and (syl_cv0 = CV) => stress_class=paenultima (713.0/0.0)	713.0	0.0	1	3syl	models-sylstruct.txt
(comp_len <= 1) and (sonority_ratio0 <= 3) and (koda_len0 <= 0) and (nucleus_len0 <= 1) => stress_class=paenultima (664.0/0.0)	664.0	0.0	1	3syl	models-numeric.txt
(comp_len <= 1) and (nucleus_len2 >= 2) and (cv_ratio1 <= 0) => stress_class=paenultima (647.0/83.0)	647.0	83.0	0.871716	4syl	models-numeric.txt
(syl_len0 <= 3) and (nucleus_len0 <= 1) and (syl_cv2 = CVC) and (syl_len0 >= 3) and (koda_len1 >= 1) => stress_class=paenultima (637.0/174.0)	637.0	174.0	0.726845	3syl	models-sylstruct.txt
(nucleus_phoncat3 = L) and (nucleus_phoncat2 = L) => stress_class=paenultima (610.0/167.0)	610.0	167.0	0.72623	5syl	models-phoncat.txt
(nucleus_len2 >= 2) and (comp_len <= 1) and (signi_suffix = ø) and (suffix_phoncat2 = LC) and (syl_weight1 = light) => stress_class=ultima (595.0/56.0)	595.0	56.0	0.905882	3syl	models-all.txt
(nucleus_phoncat2 = L) and (nucleus_phoncat1 = L) and (syl_phoncat3 = CKC) => stress_class=paenultima (558.0/71.0)	558.0	71.0	0.87276	4syl	models-phoncat.txt
