(nucleus_len1 >= 2) and (syl_len0 <= 3) and (syl_len1 >= 3) and (koda_len0 <= 0) and (syl_len0 <= 2)  ZZZ Zstress_class=ultima (265.0/29.0) ZZZ Z2syl_models-sylstruct.txt
(nucleus_len1 >= 2) and (syl_len0 <= 3) and (syl_len1 >= 3) and (koda_len0 <= 0) and (syl_len0 <= 2)  ZZZ Zstress_class=ultima (265.0/29.0) ZZZ Z2syl_models-sylstruct.txt
(nucleus_len1 >= 2) and (syl_len0 <= 3) and (syl_len1 >= 3) and (koda_len0 <= 0) and (syl_len0 <= 2)  ZZZ Zstress_class=ultima (265.0/29.0) ZZZ Z2syl_models-sylstruct.txt
(nucleus_len1 >= 2) and (syl_len0 <= 3) and (syl_len1 >= 3) and (koda_len0 <= 0) and (syl_len0 <= 2)  ZZZ Zstress_class=ultima (265.0/29.0) ZZZ Z2syl_models-sylstruct.txt
(nucleus_len2 >= 2) and (cv_ratio1 <= 0)  ZZZ Zstress_class=paenultima (647.0/83.0) ZZZ Z4syl_models-numeric.txt
(nucleus_len2 >= 2) and (cv_ratio1 <= 0)  ZZZ Zstress_class=paenultima (647.0/83.0) ZZZ Z4syl_models-numeric.txt
(nucleus_len2 >= 2) and (cv_ratio1 <= 0)  ZZZ Zstress_class=paenultima (647.0/83.0) ZZZ Z4syl_models-numeric.txt
(nucleus_len2 >= 2) and (signi_suffix = ø) and (suffix_phoncat2 = LC) and (syl_weight1 = light)  ZZZ Zstress_class=ultima (595.0/56.0) ZZZ Z3syl_models-all.txt
(nucleus_len2 >= 2) and (signi_suffix = ø) and (suffix_phoncat2 = LC) and (syl_weight1 = light)  ZZZ Zstress_class=ultima (595.0/56.0) ZZZ Z3syl_models-all.txt
(nucleus_len2 >= 2) and (signi_suffix = ø) and (suffix_phoncat2 = LC) and (syl_weight1 = light)  ZZZ Zstress_class=ultima (595.0/56.0) ZZZ Z3syl_models-all.txt
(nucleus_len2 >= 2) and (signi_suffix = ø) and (suffix_phoncat2 = LC) and (syl_weight1 = light)  ZZZ Zstress_class=ultima (595.0/56.0) ZZZ Z3syl_models-all.txt
(nucleus_len2 >= 2) and (signi_suffix = ø) and (suffix_phoncat2 = LC) and (syl_weight1 = light)  ZZZ Zstress_class=ultima (595.0/56.0) ZZZ Z3syl_models-all.txt
(nucleus_len2 >= 2) and (syl_cv1 = CVV) and (koda_len2 >= 1)  ZZZ Zstress_class=ultima (428.0/80.0) ZZZ Z3syl_models-sylstruct.txt
(nucleus_len2 >= 2) and (syl_cv1 = CVV) and (koda_len2 >= 1)  ZZZ Zstress_class=ultima (428.0/80.0) ZZZ Z3syl_models-sylstruct.txt
(nucleus_len2 >= 2) and (syl_cv1 = CVV) and (koda_len2 >= 1)  ZZZ Zstress_class=ultima (428.0/80.0) ZZZ Z3syl_models-sylstruct.txt
(nucleus_len2 >= 2) and (syl_len1 <= 2) and (onset_len0 >= 1) and (syl_len2 >= 3)  ZZZ Zstress_class=ultima (516.0/44.0) ZZZ Z3syl_models-numeric.txt
(nucleus_len2 >= 2) and (syl_len1 <= 2) and (onset_len0 >= 1) and (syl_len2 >= 3)  ZZZ Zstress_class=ultima (516.0/44.0) ZZZ Z3syl_models-numeric.txt
(nucleus_len2 >= 2) and (syl_len1 <= 2) and (onset_len0 >= 1) and (syl_len2 >= 3)  ZZZ Zstress_class=ultima (516.0/44.0) ZZZ Z3syl_models-numeric.txt
(nucleus_len2 >= 2) and (syl_len1 <= 2) and (onset_len0 >= 1) and (syl_len2 >= 3)  ZZZ Zstress_class=ultima (516.0/44.0) ZZZ Z3syl_models-numeric.txt
(nucleus_len2 >= 2) and (syl_len1 <= 2) and (onset_len0 >= 1) and (syl_len2 >= 3)  ZZZ Zstress_class=ultima (516.0/44.0) ZZZ Z3syl_models-numeric.txt
(nucleus_len2 >= 2) and (syl_len1 <= 2) and (onset_len0 >= 1) and (syl_len2 >= 3)  ZZZ Zstress_class=ultima (516.0/44.0) ZZZ Z3syl_models-sparse.txt
(nucleus_len2 >= 2) and (syl_len1 <= 2) and (onset_len0 >= 1) and (syl_len2 >= 3)  ZZZ Zstress_class=ultima (516.0/44.0) ZZZ Z3syl_models-sparse.txt
(nucleus_len2 >= 2) and (syl_len1 <= 2) and (onset_len0 >= 1) and (syl_len2 >= 3)  ZZZ Zstress_class=ultima (516.0/44.0) ZZZ Z3syl_models-sparse.txt
(nucleus_len2 >= 2) and (syl_len1 <= 2) and (onset_len0 >= 1) and (syl_len2 >= 3)  ZZZ Zstress_class=ultima (516.0/44.0) ZZZ Z3syl_models-sparse.txt
(nucleus_len2 >= 2) and (syl_len1 <= 2) and (onset_len0 >= 1) and (syl_len2 >= 3)  ZZZ Zstress_class=ultima (516.0/44.0) ZZZ Z3syl_models-sparse.txt
(nucleus_len3 >= 2) and (cv_ratio2 <= 0) and (sonority3 <= 9) and (koda_len3 >= 1)  ZZZ Zstress_class=ultima (255.0/3.0) ZZZ Z4syl_models-numeric.txt
(nucleus_len3 >= 2) and (cv_ratio2 <= 0) and (sonority3 <= 9) and (koda_len3 >= 1)  ZZZ Zstress_class=ultima (255.0/3.0) ZZZ Z4syl_models-numeric.txt
(nucleus_len3 >= 2) and (cv_ratio2 <= 0) and (sonority3 <= 9) and (koda_len3 >= 1)  ZZZ Zstress_class=ultima (255.0/3.0) ZZZ Z4syl_models-numeric.txt
(nucleus_len3 >= 2) and (cv_ratio2 <= 0) and (sonority3 <= 9) and (koda_len3 >= 1)  ZZZ Zstress_class=ultima (255.0/3.0) ZZZ Z4syl_models-numeric.txt
(nucleus_len3 >= 2) and (cv_ratio2 <= 0) and (sonority3 <= 9) and (koda_len3 >= 1)  ZZZ Zstress_class=ultima (255.0/3.0) ZZZ Z4syl_models-numeric.txt
(nucleus_len3 >= 2) and (syl_len2 <= 2) and (syl_len3 <= 3) and (syl_len3 >= 3) and (koda_len1 <= 0)  ZZZ Zstress_class=ultima (283.0/44.0) ZZZ Z4syl_models-sylstruct.txt
(nucleus_len3 >= 2) and (syl_len2 <= 2) and (syl_len3 <= 3) and (syl_len3 >= 3) and (koda_len1 <= 0)  ZZZ Zstress_class=ultima (283.0/44.0) ZZZ Z4syl_models-sylstruct.txt
(nucleus_len3 >= 2) and (syl_len2 <= 2) and (syl_len3 <= 3) and (syl_len3 >= 3) and (koda_len1 <= 0)  ZZZ Zstress_class=ultima (283.0/44.0) ZZZ Z4syl_models-sylstruct.txt
(nucleus_len3 >= 2) and (syl_len2 <= 2) and (syl_len3 <= 3) and (syl_len3 >= 3) and (koda_len1 <= 0)  ZZZ Zstress_class=ultima (283.0/44.0) ZZZ Z4syl_models-sylstruct.txt
(nucleus_len3 >= 2) and (syl_len2 <= 2) and (syl_len3 >= 3)  ZZZ Zstress_class=ultima (328.0/40.0) ZZZ Z4syl_models-numeric.txt
(nucleus_len3 >= 2) and (syl_len2 <= 2) and (syl_len3 >= 3)  ZZZ Zstress_class=ultima (328.0/40.0) ZZZ Z4syl_models-numeric.txt
(nucleus_len3 >= 2) and (syl_len2 <= 2) and (syl_len3 >= 3)  ZZZ Zstress_class=ultima (328.0/40.0) ZZZ Z4syl_models-numeric.txt
(nucleus_len3 >= 2) and (syl_len2 <= 2) and (syl_len3 >= 3)  ZZZ Zstress_class=ultima (328.0/40.0) ZZZ Z4syl_models-numeric.txt
(nucleus_phoncat0 = K) and (nucleus_phoncat2 = K) and (onset_phoncat0 = C) and (syl_phoncat2 = CK) and (syl_phoncat3 = CKC)  ZZZ Zstress_class=antepaenultima (276.0/98.0) ZZZ Z4syl_models-phoncat.txt
(nucleus_phoncat0 = K) and (nucleus_phoncat2 = K) and (onset_phoncat0 = C) and (syl_phoncat2 = CK) and (syl_phoncat3 = CKC)  ZZZ Zstress_class=antepaenultima (276.0/98.0) ZZZ Z4syl_models-phoncat.txt
(nucleus_phoncat0 = K) and (nucleus_phoncat2 = K) and (onset_phoncat0 = C) and (syl_phoncat2 = CK) and (syl_phoncat3 = CKC)  ZZZ Zstress_class=antepaenultima (276.0/98.0) ZZZ Z4syl_models-phoncat.txt
(nucleus_phoncat0 = K) and (nucleus_phoncat2 = K) and (onset_phoncat0 = C) and (syl_phoncat2 = CK) and (syl_phoncat3 = CKC)  ZZZ Zstress_class=antepaenultima (276.0/98.0) ZZZ Z4syl_models-phoncat.txt
(nucleus_phoncat0 = K) and (nucleus_phoncat2 = K) and (onset_phoncat0 = C) and (syl_phoncat2 = CK) and (syl_phoncat3 = CKC)  ZZZ Zstress_class=antepaenultima (276.0/98.0) ZZZ Z4syl_models-phoncat.txt
(nucleus_phoncat0 = K) and (syl_open0 = o)  ZZZ Zstress_class=paenultima (716.0/0.0) ZZZ Z3syl_models-phon.txt
(nucleus_phoncat0 = K) and (syl_open0 = o)  ZZZ Zstress_class=paenultima (716.0/0.0) ZZZ Z3syl_models-phon.txt
(nucleus_phoncat0 = K) and (syl_phoncat0 = CK) and (nucleus_phoncat2 = K)  ZZZ Zstress_class=paenultima (1137.0/271.0) ZZZ Z3syl_models-phoncat.txt
(nucleus_phoncat0 = K) and (syl_phoncat0 = CK) and (nucleus_phoncat2 = K)  ZZZ Zstress_class=paenultima (1137.0/271.0) ZZZ Z3syl_models-phoncat.txt
(nucleus_phoncat0 = K) and (syl_phoncat0 = CK) and (nucleus_phoncat2 = K)  ZZZ Zstress_class=paenultima (1137.0/271.0) ZZZ Z3syl_models-phoncat.txt
(nucleus_phoncat0 = K) and (syl_phoncat2 = CKC) and (syl_phoncat0 = CKC)  ZZZ Zstress_class=paenultima (1069.0/388.0) ZZZ Z3syl_models-phoncat.txt
(nucleus_phoncat0 = K) and (syl_phoncat2 = CKC) and (syl_phoncat0 = CKC)  ZZZ Zstress_class=paenultima (1069.0/388.0) ZZZ Z3syl_models-phoncat.txt
(nucleus_phoncat0 = K) and (syl_phoncat2 = CKC) and (syl_phoncat0 = CKC)  ZZZ Zstress_class=paenultima (1069.0/388.0) ZZZ Z3syl_models-phoncat.txt
(nucleus_phoncat0 = K) and (syl_weight1 = light) and (sonority0 <= 11) and (sonority0 >= 10) and (syl_phoncat0 = CKC) and (sonority0 >= 11)  ZZZ Zstress_class=paenultima (877.0/95.0) ZZZ Z3syl_models-phon.txt
(nucleus_phoncat0 = K) and (syl_weight1 = light) and (sonority0 <= 11) and (sonority0 >= 10) and (syl_phoncat0 = CKC) and (sonority0 >= 11)  ZZZ Zstress_class=paenultima (877.0/95.0) ZZZ Z3syl_models-phon.txt
(nucleus_phoncat0 = K) and (syl_weight1 = light) and (sonority0 <= 11) and (sonority0 >= 10) and (syl_phoncat0 = CKC) and (sonority0 >= 11)  ZZZ Zstress_class=paenultima (877.0/95.0) ZZZ Z3syl_models-phon.txt
(nucleus_phoncat0 = K) and (syl_weight1 = light) and (sonority0 <= 11) and (sonority0 >= 10) and (syl_phoncat0 = CKC) and (sonority0 >= 11)  ZZZ Zstress_class=paenultima (877.0/95.0) ZZZ Z3syl_models-phon.txt
(nucleus_phoncat1 = L) and (koda_phoncat1 = C)  ZZZ Zstress_class=antepaenultima (316.0/101.0) ZZZ Z4syl_models-phoncat.txt
(nucleus_phoncat1 = L) and (koda_phoncat1 = C)  ZZZ Zstress_class=antepaenultima (316.0/101.0) ZZZ Z4syl_models-phoncat.txt
(nucleus_phoncat1 = L) and (nucleus_phoncat2 = L) and (onset_phoncat3 = C) and (syl_open1 = o)  ZZZ Zstress_class=paenultima (463.0/77.0) ZZZ Z4syl_models-phon.txt
(nucleus_phoncat1 = L) and (nucleus_phoncat2 = L) and (onset_phoncat3 = C) and (syl_open1 = o)  ZZZ Zstress_class=paenultima (463.0/77.0) ZZZ Z4syl_models-phon.txt
