basic_pos,praefix,stress_class
N,ø,ultima
V,ø,paenultima
V,ent,paenultima
V,ent,paenultima
N,ø,ultima
V,ø,paenultima
N,ø,paenultima
N,ø,paenultima
A,ø,prima
A,ø,None
N,ø,ultima
A,ø,None
N,ø,None
N,ø,paenultima
V,ø,paenultima
